FACGEOGROUP,STATIONGROUP,FACGRP,FACATGROUP,FACVOLCLASS
COFACGEO,CO2,BigCottonwood,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO3,CedarBreaks,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO7,I15PlymouthFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO4,I15Freeway,1-Rural,0-AllVolumes
COFACGEO,CO5,I15Freeway,2-Transition,0-AllVolumes
COFACGEO,CO6,I15Freeway,345-Suburban/Urban/CBD,0-AllVolumes
COFACGEO,CO8,I215Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO9,I70Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,XX3,StatewideFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WD0,StatewideArterial,1-Rural,0-AllVolumes
WDFACGEO,WD1,StatewideArterial,2-Transition,0-AllVolumes
WDFACGEO,WD2,StatewideArterial,3-Suburban,0-AllVolumes
WDFACGEO,WD3,StatewideArterial,45-Urban/CBD,0-AllVolumes
WDFACGEO,WD4,CanyonArterial,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WD5,StatewideExpressway,12-Rural/Transition,0-AllVolumes
WDFACGEO,WD6,StatewideExpressway,3-Suburban,0-AllVolumes
WDFACGEO,WD7,StatewideExpressway,45-Urban/CBD,0-AllVolumes
WDFACGEO,WD8,I15Freeway,1-Rural,0-AllVolumes
WDFACGEO,WD9,I15Freeway,2-Transition,0-AllVolumes
WDFACGEO,WDA,I15Freeway,345-Suburban/Urban/CBD,0-AllVolumes
WDFACGEO,WDB,I215Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDC,I70Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDD,I80Freeway,1-Rural,0-AllVolumes
WDFACGEO,XX2,I80Freeway,2-Transition,0-AllVolumes
WDFACGEO,WDE,I80Freeway,3-Suburban,0-AllVolumes
WDFACGEO,WDF,I80Freeway,45-Urban/CBD,0-AllVolumes
WDFACGEO,WDG,I84EastFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDH,I84WestFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDI,LegacyFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDJ,SR201Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDK,US40Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,XX4,StatewideFreeway,0-AllAreaTypes,0-AllVolumes
