VOLUMEGROUP,VOLUMEFROM,VOLUMETO
All,0,1000000
SERuralLow,0,1500
SERuralMid,1500,1000000
UTRuralLow,0,2500
UTRuralMid,2500,12500
UTRuralHigh,12500,1000000
