DOW,DOWGroup
1,W2-Weekend
2,W1-Weekday
3,W1-Weekday
4,W1-Weekday
5,W1-Weekday
6,W2-Weekend
7,W2-Weekend
1,7-Sunday
2,1-Monday
3,2-Tuesday
4,3-Wednesday
5,4-Thursday
6,5-Friday
7,6-Saturday
