SEASONGROUP,SGFLDNM
M01-Jan,FAC_JAN
M02-Feb,FAC_FEB
M03-Mar,FAC_MAR
M04-Apr,FAC_APR
M05-May,FAC_MAY
M06-Jun,FAC_JUN
M07-Jul,FAC_JUL
M08-Aug,FAC_AUG
M09-Sep,FAC_SEP
M10-Oct,FAC_OCT
M11-Nov,FAC_NOV
M12-Dec,FAC_DEC
S01-Winter,FAC_WIN
S02-Spring,FAC_SPR
S03-Summer,FAC_SUM
S04-Fall,FAC_FAL
S00-Ann,FAC_ANN
