SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,2.0,0.12,0.08,0.11,0.11,0.07,0.1,0.09,0.06,0.09
0006_146.9,2.0,0.14,0.09,0.11,0.12,0.08,0.1,0.1,0.07,0.09
0006_149.9,2.0,0.21,0.12,0.25,0.18,0.11,0.22,0.15,0.09,0.2
0006_150.6,2.0,0.2,0.13,0.25,0.18,0.11,0.22,0.15,0.1,0.2
0006_152.6,3.0,0.25,0.16,0.3,0.22,0.14,0.26,0.18,0.12,0.25
0006_152.9,2.0,0.34,0.23,0.38,0.3,0.2,0.34,0.24,0.18,0.31
0006_155.8,2.0,0.38,0.26,0.46,0.33,0.23,0.41,0.28,0.2,0.36
0006_155.9,2.0,0.44,0.3,0.48,0.39,0.26,0.42,0.32,0.23,0.37
0006_157.3,2.0,0.46,0.37,0.57,0.41,0.32,0.5,0.34,0.28,0.44
0006_157.6,2.0,0.33,0.38,0.7,0.29,0.34,0.61,0.24,0.29,0.54
0006_158.5,2.0,0.87,0.73,0.98,0.8,0.67,0.93,0.67,0.58,0.84
0006_158.9,2.0,0.91,0.71,1.03,0.84,0.65,1.01,0.7,0.57,0.91
0006_159.3,2.0,0.56,0.43,0.67,0.52,0.39,0.62,0.43,0.34,0.56
0006_159.6,2.0,0.62,0.48,0.76,0.57,0.44,0.7,0.47,0.38,0.63
0006_159.8,2.0,0.75,0.64,0.89,0.69,0.58,0.82,0.58,0.51,0.73
0006_160.3,2.0,0.96,0.86,1.13,0.91,0.8,1.11,0.76,0.69,0.99
0006_173.4,33.0,0.97,0.54,0.78,0.93,0.5,0.72,0.79,0.41,0.65
0006_173.7,33.0,1.0,0.56,0.87,0.97,0.52,0.8,0.82,0.41,0.73
0006_174.0,33.0,1.13,0.65,0.97,1.11,0.59,0.92,0.94,0.46,0.83
0006_174.4,33.0,1.0,0.6,0.88,0.97,0.55,0.81,0.83,0.43,0.73
0006_174.9,33.0,1.02,0.7,0.98,0.99,0.65,0.93,0.84,0.51,0.84
0006_175.6,13.0,1.1,0.79,1.04,1.08,0.72,1.02,0.9,0.63,0.91
0006_176.1,13.0,0.92,0.7,0.98,0.85,0.64,0.93,0.71,0.56,0.84
0006_177.0,13.0,0.9,0.68,1.03,0.85,0.63,1.01,0.71,0.54,0.9
0006_177.2,13.0,0.9,0.71,1.05,0.86,0.66,1.03,0.71,0.57,0.93
0006_177.5,13.0,0.84,0.72,1.02,0.78,0.66,0.99,0.65,0.57,0.89
0006_177.9,13.0,0.51,0.38,0.59,0.45,0.33,0.52,0.37,0.29,0.45
0006_178.8,13.0,0.82,0.59,0.89,0.72,0.52,0.79,0.61,0.45,0.72
0006_181.6,13.0,0.82,0.59,0.9,0.72,0.52,0.8,0.62,0.45,0.73
0006_184.1,13.0,0.82,0.59,0.9,0.72,0.52,0.8,0.61,0.45,0.73
0006_187.5,13.0,0.56,0.4,0.69,0.49,0.35,0.6,0.4,0.31,0.56
0006_194.8,13.0,0.53,0.39,0.66,0.47,0.34,0.58,0.39,0.3,0.54
0006_203.6,13.0,0.53,0.38,0.66,0.47,0.34,0.58,0.38,0.3,0.54
0006_211.2,13.0,0.53,0.38,0.66,0.47,0.34,0.58,0.38,0.3,0.54
0006_216.2,13.0,0.47,0.31,0.56,0.41,0.28,0.49,0.34,0.24,0.45
0013_000.0,2.0,0.55,0.52,0.86,0.51,0.48,0.79,0.43,0.42,0.71
0013_000.6,2.0,0.52,0.54,0.83,0.48,0.49,0.76,0.4,0.43,0.69
0013_001.3,2.0,0.54,0.48,0.72,0.5,0.44,0.67,0.41,0.37,0.61
0013_001.6,2.0,0.53,0.48,0.65,0.49,0.44,0.6,0.4,0.37,0.56
0013_001.8,2.0,0.49,0.44,0.6,0.45,0.4,0.56,0.38,0.35,0.5
0013_002.5,2.0,0.52,0.44,0.62,0.48,0.41,0.57,0.4,0.35,0.52
0013_002.9,2.0,0.37,0.32,0.46,0.34,0.29,0.43,0.29,0.25,0.38
0013_003.3,2.0,0.45,0.36,0.57,0.4,0.32,0.5,0.33,0.27,0.44
0013_004.9,2.0,0.71,0.52,0.84,0.62,0.46,0.74,0.53,0.4,0.68
0013_005.6,3.0,0.94,0.74,0.99,0.86,0.65,0.9,0.73,0.57,0.83
0015_241.6,35.0,0.6,0.47,0.81,0.55,0.44,0.75,0.5,0.39,0.71
0015_242.4,35.0,0.62,0.5,0.84,0.57,0.46,0.77,0.52,0.41,0.73
0015_244.8,36.0,0.95,0.75,0.98,0.9,0.69,0.95,0.81,0.61,0.9
0015_246.9,36.0,0.95,0.75,0.98,0.9,0.69,0.95,0.81,0.61,0.9
0015_248.8,35.0,0.79,0.63,0.97,0.73,0.58,0.92,0.66,0.52,0.87
0015_250.9,33.0,0.73,0.57,0.89,0.67,0.53,0.82,0.61,0.47,0.78
0015_251.6,33.0,0.98,0.9,1.29,0.93,0.86,1.26,0.84,0.76,1.2
0015_252.5,34.0,0.98,0.8,1.11,0.93,0.74,1.09,0.84,0.66,1.03
0015_253.6,34.0,1.11,0.9,1.14,1.09,0.82,1.12,0.98,0.73,1.06
0015_255.9,34.0,1.3,0.99,1.31,1.27,0.94,1.28,1.15,0.84,1.22
0015_257.3,33.0,1.56,1.13,1.36,1.53,1.11,1.33,1.38,0.99,1.27
0015_257.6,38.0,1.04,0.91,1.27,1.02,0.84,1.24,0.92,0.75,1.18
0015_258.8,38.0,0.99,0.77,0.94,0.94,0.7,0.89,0.85,0.63,0.84
0015_260.0,38.0,1.03,0.86,0.99,1.01,0.79,0.96,0.91,0.7,0.91
0015_261.8,38.0,1.03,0.83,1.01,0.96,0.73,0.92,0.82,0.64,0.87
0015_263.4,38.0,1.13,0.96,1.17,1.11,0.91,1.15,1.0,0.81,1.09
0015_264.2,38.0,1.13,0.96,1.17,1.11,0.91,1.15,1.0,0.81,1.09
0015_265.6,38.0,1.14,1.03,1.13,1.12,1.0,1.1,1.01,0.89,1.05
0015_266.5,38.0,1.08,1.05,1.13,1.06,1.02,1.1,0.95,0.91,1.05
0015_267.0,38.0,1.08,1.05,1.13,1.06,1.02,1.1,0.95,0.91,1.05
0015_267.9,38.0,1.05,1.03,1.09,1.03,0.99,1.07,0.92,0.89,1.02
0015_269.0,38.0,1.01,0.99,1.13,0.98,0.94,1.1,0.88,0.83,1.05
0015_269.6,38.0,1.01,0.99,1.13,0.98,0.94,1.1,0.88,0.83,1.05
0015_270.6,38.0,0.97,0.89,0.99,0.92,0.82,0.96,0.83,0.73,0.91
0015_271.6,38.0,1.05,0.98,1.13,1.02,0.93,1.11,0.92,0.83,1.05
0015_272.7,38.0,1.12,0.98,1.17,1.1,0.95,1.15,0.99,0.85,1.09
0015_274.7,38.0,1.02,0.89,1.18,0.99,0.82,1.15,0.89,0.73,1.09
0015_275.3,38.0,0.99,0.89,1.03,0.96,0.82,1.01,0.86,0.73,0.96
0015_276.4,38.0,1.04,0.92,1.13,1.02,0.87,1.11,0.92,0.78,1.05
0015_278.5,38.0,1.07,0.89,1.11,1.05,0.82,1.09,0.95,0.73,1.04
0015_279.6,38.0,1.01,0.9,1.04,0.98,0.83,1.02,0.88,0.74,0.97
0015_282.2,38.0,0.98,0.62,1.02,0.95,0.57,1.0,0.86,0.51,0.95
0015_283.3,38.0,0.99,0.76,1.04,0.94,0.7,1.02,0.85,0.62,0.97
