SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
WFRC_8122,5.0,0.89,0.82,1.07,0.82,0.75,1.05,0.68,0.64,0.97
WFRC_8123,5.0,0.5,0.2,1.08,0.46,0.18,1.06,0.38,0.15,0.98
WFRC_8124,5.0,0.53,0.76,1.0,0.49,0.7,0.97,0.4,0.6,0.9
WFRC_8125,4.0,0.48,0.38,0.71,0.44,0.35,0.66,0.37,0.3,0.61
WFRC_8126,4.0,0.29,0.26,0.43,0.27,0.24,0.4,0.22,0.2,0.36
WFRC_8127,5.0,0.18,0.19,0.49,0.17,0.17,0.45,0.14,0.15,0.42
WFRC_8128,3.0,0.04,0.04,0.24,0.03,0.03,0.21,0.03,0.03,0.18
WFRC_8129,3.0,0.03,0.03,0.19,0.03,0.02,0.16,0.02,0.02,0.14
WFRC_8130,3.0,0.02,0.02,0.18,0.02,0.02,0.15,0.02,0.02,0.13
WFRC_8131,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFRC_8132,2.0,0.35,0.29,0.47,0.32,0.27,0.43,0.26,0.23,0.38
