SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,2.0,0.09,0.06,0.08,0.08,0.05,0.07,0.07,0.05,0.07
0006_146.9,2.0,0.11,0.07,0.09,0.1,0.06,0.08,0.08,0.05,0.07
0006_149.9,2.0,0.14,0.1,0.21,0.12,0.09,0.18,0.1,0.07,0.17
0006_150.6,2.0,0.14,0.1,0.2,0.12,0.09,0.18,0.1,0.08,0.16
0006_152.6,3.0,0.16,0.1,0.21,0.14,0.09,0.18,0.11,0.08,0.17
0006_152.9,2.0,0.22,0.16,0.29,0.19,0.14,0.25,0.16,0.13,0.23
0006_155.8,2.0,0.25,0.19,0.35,0.22,0.16,0.3,0.18,0.14,0.27
0006_155.9,2.0,0.27,0.2,0.34,0.24,0.17,0.3,0.19,0.15,0.28
0006_157.3,2.0,0.28,0.22,0.37,0.25,0.2,0.32,0.2,0.17,0.3
0006_157.6,2.0,0.29,0.23,0.38,0.25,0.21,0.33,0.21,0.18,0.31
0006_158.5,2.0,0.44,0.35,0.57,0.39,0.31,0.51,0.32,0.27,0.44
0006_158.9,2.0,0.45,0.37,0.6,0.39,0.33,0.52,0.33,0.29,0.46
0006_159.3,2.0,0.27,0.23,0.35,0.25,0.21,0.33,0.21,0.18,0.29
0006_159.6,2.0,0.27,0.24,0.37,0.25,0.22,0.34,0.21,0.19,0.3
0006_159.8,2.0,0.52,0.38,0.62,0.48,0.35,0.57,0.4,0.3,0.51
0006_160.3,2.0,0.71,0.52,0.86,0.66,0.48,0.79,0.55,0.42,0.71
0006_173.4,15.0,0.96,0.7,0.87,0.92,0.64,0.8,0.76,0.55,0.74
0006_173.7,15.0,0.9,0.58,0.83,0.86,0.53,0.76,0.71,0.45,0.71
0006_174.0,15.0,1.11,0.81,1.06,1.09,0.74,1.04,0.9,0.63,0.96
0006_174.4,15.0,1.11,0.8,1.1,1.09,0.74,1.08,0.91,0.64,0.97
0006_174.9,13.0,0.88,0.58,0.92,0.81,0.53,0.87,0.67,0.46,0.79
0006_175.6,13.0,0.75,0.51,0.82,0.69,0.47,0.75,0.57,0.41,0.68
0006_176.1,13.0,0.73,0.53,0.82,0.67,0.49,0.75,0.56,0.42,0.68
0006_177.0,13.0,0.79,0.55,0.94,0.69,0.48,0.85,0.57,0.42,0.75
0006_177.2,13.0,0.74,0.54,0.87,0.68,0.5,0.8,0.57,0.43,0.72
0006_177.5,13.0,1.3,1.02,1.55,1.24,0.93,1.47,1.02,0.8,1.28
0006_177.9,13.0,0.77,0.51,0.83,0.68,0.45,0.73,0.56,0.39,0.64
0006_178.8,13.0,0.71,0.47,0.73,0.62,0.41,0.65,0.53,0.36,0.6
0006_181.6,13.0,0.71,0.47,0.73,0.63,0.41,0.64,0.53,0.36,0.59
0006_184.1,13.0,0.71,0.47,0.73,0.63,0.41,0.64,0.53,0.36,0.59
0006_187.5,13.0,0.5,0.32,0.56,0.44,0.28,0.49,0.36,0.25,0.46
0006_194.8,13.0,0.49,0.32,0.55,0.43,0.28,0.49,0.36,0.24,0.45
0006_203.6,13.0,0.49,0.31,0.55,0.43,0.28,0.49,0.36,0.24,0.45
0006_211.2,13.0,0.5,0.32,0.56,0.44,0.28,0.49,0.36,0.25,0.46
0006_216.2,13.0,0.44,0.26,0.48,0.38,0.23,0.42,0.32,0.2,0.39
0013_000.0,2.0,0.48,0.49,0.79,0.44,0.45,0.72,0.37,0.39,0.65
0013_000.6,2.0,0.52,0.5,0.7,0.48,0.46,0.64,0.4,0.4,0.58
0013_001.3,2.0,0.43,0.42,0.6,0.4,0.38,0.55,0.33,0.33,0.51
0013_001.6,2.0,0.49,0.42,0.6,0.45,0.39,0.56,0.37,0.33,0.51
0013_001.8,2.0,0.46,0.4,0.55,0.42,0.36,0.51,0.35,0.32,0.46
0013_002.5,2.0,0.47,0.39,0.56,0.43,0.36,0.52,0.36,0.31,0.46
0013_002.9,2.0,0.3,0.27,0.42,0.28,0.25,0.39,0.23,0.22,0.35
0013_003.3,2.0,0.37,0.28,0.44,0.33,0.25,0.39,0.27,0.21,0.34
0013_004.9,2.0,0.51,0.37,0.6,0.45,0.32,0.53,0.37,0.28,0.49
