SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,2.0,0.13,0.08,0.13,0.11,0.07,0.11,0.09,0.06,0.1
0006_146.9,2.0,0.14,0.09,0.13,0.13,0.08,0.12,0.1,0.07,0.11
0006_149.9,2.0,0.17,0.15,0.27,0.15,0.13,0.24,0.12,0.12,0.22
0006_150.6,2.0,0.17,0.15,0.28,0.15,0.14,0.24,0.13,0.12,0.23
0006_152.6,3.0,0.2,0.16,0.27,0.18,0.14,0.23,0.15,0.13,0.22
0006_152.9,2.0,0.27,0.23,0.37,0.24,0.21,0.32,0.2,0.18,0.3
0006_155.8,2.0,0.31,0.27,0.44,0.27,0.24,0.39,0.22,0.21,0.34
0006_155.9,2.0,0.25,0.22,0.38,0.22,0.19,0.33,0.18,0.17,0.29
0006_157.3,2.0,0.28,0.26,0.42,0.24,0.23,0.37,0.2,0.2,0.32
0006_157.6,2.0,0.26,0.27,0.43,0.23,0.24,0.38,0.19,0.21,0.33
0006_158.5,2.0,0.29,0.28,0.41,0.26,0.26,0.38,0.22,0.22,0.34
0006_158.9,2.0,0.31,0.24,0.39,0.28,0.22,0.36,0.24,0.19,0.32
0006_159.3,2.0,0.24,0.19,0.31,0.22,0.17,0.28,0.19,0.15,0.26
0006_159.6,2.0,0.3,0.24,0.39,0.27,0.22,0.36,0.23,0.19,0.32
0006_159.8,2.0,0.42,0.38,0.54,0.39,0.35,0.49,0.33,0.3,0.44
0006_160.3,2.0,0.57,0.49,0.72,0.52,0.45,0.67,0.43,0.39,0.6
0006_173.4,33.0,0.78,0.61,0.91,0.72,0.56,0.84,0.61,0.47,0.76
0006_173.7,33.0,0.81,0.6,0.97,0.74,0.55,0.92,0.63,0.43,0.83
0006_174.0,33.0,0.91,0.67,1.05,0.83,0.62,1.03,0.71,0.48,0.93
0006_174.4,33.0,0.84,0.64,0.98,0.77,0.59,0.93,0.66,0.46,0.84
0006_174.9,33.0,0.95,0.76,1.05,0.9,0.7,1.03,0.77,0.55,0.93
0006_175.6,13.0,1.04,0.77,1.1,1.02,0.71,1.08,0.85,0.62,0.97
0006_176.1,13.0,0.9,0.69,0.99,0.83,0.63,0.96,0.69,0.55,0.86
0006_177.0,13.0,0.83,0.65,0.98,0.76,0.6,0.93,0.64,0.52,0.84
0006_177.2,13.0,0.83,0.67,0.99,0.77,0.62,0.94,0.64,0.54,0.85
0006_177.5,13.0,0.85,0.74,1.04,0.78,0.68,1.02,0.65,0.59,0.91
0006_177.9,13.0,0.51,0.37,0.59,0.45,0.33,0.52,0.37,0.29,0.45
0006_178.8,13.0,0.82,0.59,0.89,0.72,0.52,0.78,0.61,0.45,0.72
0006_181.6,13.0,0.83,0.59,0.9,0.73,0.52,0.79,0.62,0.45,0.73
0006_184.1,13.0,0.82,0.58,0.9,0.73,0.51,0.79,0.62,0.45,0.73
0006_187.5,13.0,0.56,0.4,0.69,0.49,0.35,0.6,0.4,0.31,0.56
0006_194.8,13.0,0.53,0.39,0.66,0.47,0.34,0.58,0.39,0.3,0.54
0006_203.6,13.0,0.53,0.38,0.66,0.47,0.34,0.58,0.38,0.3,0.54
0006_211.2,13.0,0.53,0.38,0.66,0.47,0.34,0.58,0.38,0.3,0.54
0006_216.2,13.0,0.45,0.31,0.55,0.4,0.28,0.49,0.33,0.24,0.45
0013_000.0,2.0,0.49,0.49,0.78,0.45,0.45,0.71,0.38,0.39,0.64
0013_000.6,2.0,0.47,0.5,0.72,0.43,0.46,0.67,0.36,0.4,0.6
0013_001.3,2.0,0.47,0.44,0.65,0.43,0.41,0.6,0.36,0.35,0.55
0013_001.6,2.0,0.51,0.44,0.62,0.47,0.4,0.57,0.39,0.34,0.53
0013_001.8,2.0,0.48,0.41,0.59,0.44,0.38,0.54,0.37,0.33,0.49
0013_002.5,2.0,0.51,0.4,0.59,0.47,0.37,0.54,0.39,0.32,0.49
0013_002.9,2.0,0.32,0.26,0.42,0.3,0.24,0.39,0.25,0.21,0.35
0013_003.3,2.0,0.24,0.18,0.29,0.21,0.16,0.26,0.17,0.14,0.23
0013_004.9,2.0,0.74,0.57,0.9,0.65,0.5,0.79,0.55,0.43,0.73
0013_005.6,3.0,0.95,0.74,0.99,0.87,0.65,0.9,0.74,0.57,0.83
0015_241.6,35.0,0.61,0.48,0.83,0.56,0.44,0.76,0.51,0.39,0.72
0015_242.4,35.0,0.62,0.51,0.84,0.57,0.47,0.77,0.52,0.42,0.73
0015_244.8,33.0,0.58,0.47,0.78,0.54,0.43,0.72,0.48,0.38,0.68
0015_246.9,33.0,0.79,0.61,0.97,0.72,0.56,0.92,0.65,0.5,0.88
0015_248.8,33.0,0.7,0.54,0.89,0.65,0.5,0.82,0.58,0.44,0.78
0015_250.9,33.0,0.56,0.49,0.73,0.52,0.45,0.67,0.47,0.4,0.64
0015_251.6,33.0,0.71,0.73,1.02,0.65,0.67,0.99,0.59,0.6,0.94
0015_252.5,34.0,0.64,0.58,0.76,0.59,0.54,0.7,0.53,0.48,0.67
0015_253.6,34.0,0.81,0.65,0.9,0.75,0.6,0.82,0.67,0.53,0.78
0015_255.9,34.0,0.99,0.73,0.93,0.94,0.67,0.89,0.85,0.6,0.84
0015_257.3,33.0,1.11,0.82,0.9,1.08,0.75,0.86,0.98,0.67,0.81
0015_257.6,38.0,0.94,0.76,0.98,0.89,0.7,0.93,0.8,0.62,0.88
0015_258.8,38.0,0.98,0.73,0.9,0.93,0.67,0.86,0.84,0.6,0.81
0015_260.0,38.0,0.98,0.81,0.92,0.93,0.75,0.85,0.84,0.67,0.8
0015_261.8,38.0,0.99,0.79,0.87,0.9,0.69,0.76,0.78,0.61,0.73
0015_263.4,38.0,1.03,0.81,0.97,1.01,0.75,0.92,0.91,0.67,0.88
0015_264.2,38.0,1.03,0.81,0.97,1.01,0.75,0.92,0.91,0.67,0.88
0015_265.6,38.0,1.11,0.94,1.04,1.09,0.89,1.02,0.98,0.79,0.97
0015_266.5,38.0,1.12,1.04,1.05,1.1,1.02,1.03,0.99,0.91,0.98
0015_267.0,38.0,1.03,0.98,1.02,1.01,0.93,1.0,0.91,0.83,0.95
0015_267.9,38.0,0.92,0.82,1.0,0.85,0.75,0.97,0.76,0.67,0.92
0015_269.0,38.0,0.85,0.83,1.09,0.78,0.76,1.06,0.7,0.68,1.01
0015_269.6,38.0,0.87,0.85,1.06,0.8,0.79,1.04,0.72,0.7,0.99
0015_270.6,38.0,1.01,0.92,1.11,0.98,0.88,1.09,0.88,0.78,1.03
0015_271.6,38.0,0.91,0.78,1.16,0.86,0.72,1.14,0.75,0.63,1.08
0015_272.7,38.0,1.03,0.96,1.25,1.01,0.91,1.23,0.91,0.81,1.17
0015_274.7,38.0,1.32,1.09,1.52,1.29,1.07,1.49,1.07,0.91,1.37
0015_275.3,38.0,0.78,0.71,0.97,0.72,0.65,0.93,0.65,0.58,0.88
0015_276.4,38.0,0.91,0.84,1.01,0.87,0.77,0.98,0.78,0.69,0.93
0015_278.5,38.0,0.92,0.78,1.03,0.87,0.72,1.01,0.79,0.64,0.96
0015_279.6,38.0,0.91,0.78,0.99,0.87,0.72,0.94,0.78,0.64,0.9
0015_282.2,38.0,0.76,0.7,1.01,0.7,0.64,0.98,0.63,0.57,0.93
0015_283.3,38.0,0.87,0.62,0.96,0.8,0.57,0.91,0.72,0.51,0.87
0015_283.9,38.0,0.73,0.67,0.83,0.67,0.61,0.77,0.6,0.55,0.73
0015_285.1,38.0,0.66,0.63,0.78,0.61,0.58,0.71,0.55,0.51,0.68
0015_285.5,38.0,1.02,0.93,1.04,0.99,0.89,1.02,0.89,0.79,0.97
0015_285.8,38.0,1.15,1.04,1.21,1.13,1.02,1.19,1.02,0.91,1.13
0015_286.8,38.0,1.03,0.96,1.11,1.01,0.92,1.09,0.91,0.82,1.03
0015_288.2,38.0,0.92,0.89,1.0,0.84,0.82,0.97,0.76,0.73,0.92
0015_289.8,38.0,1.04,0.93,0.99,1.02,0.88,0.96,0.92,0.78,0.91
0015_291.4,38.0,0.92,0.84,0.92,0.84,0.77,0.84,0.76,0.68,0.8
0015_292.6,38.0,0.89,0.84,0.91,0.82,0.77,0.86,0.74,0.69,0.82
0015_293.0,38.0,0.92,0.74,0.9,0.87,0.68,0.83,0.79,0.61,0.79
0015_293.6,38.0,0.94,0.87,0.99,0.9,0.8,0.94,0.81,0.71,0.89
0015_295.6,38.0,1.09,1.01,1.12,1.06,0.98,1.1,0.96,0.87,1.04
0015_297.9,38.0,1.02,0.92,1.0,1.0,0.88,0.96,0.9,0.78,0.91
0015_299.0,38.0,0.92,0.88,0.91,0.87,0.81,0.87,0.78,0.72,0.83
0015_300.3,38.0,1.01,0.98,1.03,0.98,0.93,0.99,0.88,0.83,0.94
0015_301.7,38.0,1.03,0.98,1.02,1.01,0.95,1.0,0.91,0.85,0.95
0015_302.5,38.0,1.03,0.98,1.02,1.01,0.95,1.0,0.91,0.85,0.95
0015_303.4,38.0,1.02,0.98,1.09,0.99,0.93,1.07,0.89,0.83,1.01
0015_304.7,38.0,1.32,1.34,1.47,1.3,1.32,1.44,1.17,1.17,1.36
0015_305.2,38.0,1.25,1.16,1.32,1.22,1.14,1.29,1.1,1.01,1.22
0015_305.9,38.0,1.23,1.15,1.31,1.21,1.13,1.29,1.09,1.0,1.22
0015_306.3,38.0,1.18,1.11,1.23,1.16,1.09,1.2,1.04,0.97,1.14
0015_307.2,38.0,1.2,1.27,1.45,1.17,1.24,1.42,1.06,1.11,1.35
0015_307.5,38.0,1.39,1.33,1.74,1.36,1.3,1.71,1.23,1.16,1.62
0015_307.6,38.0,0.97,1.01,1.0,0.92,0.98,0.95,0.83,0.87,0.9
0015_307.8,38.0,0.87,0.9,0.98,0.8,0.85,0.93,0.72,0.76,0.88
0015_308.4,38.0,1.0,0.94,1.02,0.97,0.89,0.99,0.87,0.8,0.94
0015_309.3,38.0,0.97,0.89,0.99,0.92,0.82,0.94,0.83,0.73,0.9
0015_310.2,38.0,0.95,0.9,1.0,0.9,0.83,0.95,0.81,0.74,0.9
0015_311.4,38.0,0.99,0.88,1.02,0.9,0.77,0.93,0.77,0.68,0.88
0015_311.8,38.0,0.96,0.89,1.03,0.91,0.82,1.01,0.82,0.73,0.96
0015_313.7,38.0,0.91,0.85,0.99,0.86,0.78,0.94,0.78,0.69,0.89
0015_315.3,38.0,0.92,0.81,0.97,0.88,0.74,0.92,0.79,0.66,0.87
0015_316.9,38.0,0.94,0.81,0.99,0.89,0.75,0.96,0.8,0.67,0.91
0015_317.6,38.0,0.86,0.67,0.9,0.79,0.61,0.83,0.71,0.55,0.79
0015_318.3,38.0,0.94,0.79,0.98,0.89,0.73,0.95,0.8,0.65,0.91
0015_319.5,38.0,1.0,0.83,1.03,0.95,0.76,1.0,0.85,0.68,0.95
0015_321.0,38.0,0.94,0.7,0.86,0.9,0.65,0.8,0.81,0.58,0.76
0015_322.0,38.0,0.9,0.65,0.84,0.86,0.6,0.78,0.77,0.53,0.74
0015_323.8,38.0,0.91,0.45,0.58,0.84,0.42,0.53,0.75,0.37,0.51
0015_324.4,38.0,0.81,0.64,0.9,0.74,0.59,0.83,0.67,0.52,0.79
0015_325.6,38.0,0.81,0.67,0.9,0.75,0.62,0.83,0.67,0.55,0.78
0015_328.7,38.0,0.91,0.82,0.98,0.86,0.75,0.93,0.78,0.67,0.88
0015_330.1,38.0,0.91,0.79,0.91,0.87,0.73,0.84,0.78,0.65,0.8
0015_331.6,38.0,0.92,0.81,0.93,0.87,0.74,0.89,0.79,0.66,0.84
0015_332.9,38.0,0.96,0.91,0.92,0.91,0.84,0.88,0.82,0.75,0.83
0015_334.1,38.0,0.94,0.91,0.94,0.9,0.84,0.9,0.81,0.75,0.85
0015_335.8,38.0,0.98,0.91,0.93,0.95,0.86,0.88,0.86,0.77,0.84
0015_337.0,38.0,0.99,0.9,0.91,0.96,0.83,0.87,0.86,0.74,0.82
0015_338.5,38.0,0.94,0.8,0.9,0.89,0.74,0.86,0.8,0.66,0.81
0015_339.1,38.0,0.91,0.73,0.87,0.84,0.67,0.8,0.76,0.59,0.76
0015_340.3,38.0,1.02,0.86,1.07,0.99,0.8,1.05,0.89,0.71,0.99
0015_342.0,23.0,1.1,0.97,1.14,1.08,0.92,1.12,0.97,0.82,1.06
0015_343.1,23.0,0.91,0.86,1.01,0.86,0.79,0.98,0.78,0.7,0.93
0015_343.9,23.0,1.0,0.83,0.97,0.97,0.76,0.92,0.88,0.68,0.88
0015_345.0,23.0,1.0,0.86,0.98,0.95,0.79,0.93,0.85,0.71,0.89
0015_346.7,23.0,1.01,0.74,0.91,0.92,0.65,0.8,0.79,0.57,0.76
0015_349.4,23.0,0.86,0.62,0.85,0.79,0.57,0.78,0.71,0.5,0.74
0015_351.9,35.0,0.92,0.7,0.98,0.81,0.62,0.9,0.7,0.54,0.86
0015_357.6,35.0,0.81,0.62,0.91,0.71,0.55,0.8,0.61,0.48,0.76
0015_362.0,35.0,0.55,0.4,0.63,0.49,0.35,0.55,0.42,0.31,0.53
0015_363.7,35.0,0.51,0.36,0.53,0.45,0.32,0.47,0.39,0.28,0.45
0015_365.5,35.0,0.49,0.29,0.41,0.43,0.25,0.36,0.32,0.22,0.34
0026_000.0,2.0,0.61,0.45,0.74,0.56,0.42,0.68,0.46,0.36,0.63
0026_000.2,2.0,0.6,0.44,0.74,0.55,0.41,0.68,0.46,0.35,0.63
0026_000.4,2.0,1.26,1.0,1.27,1.23,0.95,1.24,1.02,0.81,1.15
0026_000.7,2.0,1.2,1.0,1.28,1.18,0.97,1.26,0.97,0.83,1.16
0026_001.0,2.0,1.14,0.98,1.23,1.11,0.93,1.2,0.92,0.79,1.11
0026_001.3,2.0,1.15,0.92,1.24,1.13,0.86,1.21,0.94,0.73,1.12
0026_001.8,2.0,1.15,0.93,1.24,1.13,0.88,1.22,0.93,0.75,1.12
0026_002.7,2.0,1.16,0.98,1.27,1.14,0.93,1.25,0.94,0.79,1.15
0026_003.0,2.0,0.38,0.35,0.49,0.35,0.32,0.46,0.29,0.27,0.42
0026_003.2,2.0,0.45,0.36,0.58,0.41,0.34,0.54,0.34,0.29,0.49
0026_003.3,2.0,0.5,0.37,0.55,0.46,0.34,0.5,0.38,0.29,0.46
0026_003.5,2.0,0.51,0.31,0.53,0.47,0.28,0.49,0.39,0.24,0.45
0037_000.0,2.0,1.13,0.94,1.19,1.11,0.89,1.16,0.92,0.76,1.07
0037_001.0,2.0,1.07,0.91,1.15,1.05,0.84,1.12,0.87,0.72,1.04
0037_001.5,2.0,0.91,0.76,1.09,0.86,0.69,1.07,0.72,0.59,0.99
0037_002.0,3.0,0.92,0.69,1.07,0.88,0.64,1.05,0.73,0.55,0.95
0037_003.0,3.0,0.42,0.31,0.58,0.39,0.28,0.53,0.32,0.25,0.48
0037_003.5,3.0,0.46,0.34,0.66,0.42,0.31,0.61,0.35,0.27,0.55
0037_004.1,3.0,1.3,0.99,1.3,1.27,0.96,1.27,1.06,0.83,1.14
0037_004.5,3.0,0.43,0.4,0.65,0.4,0.36,0.6,0.33,0.32,0.54
0037_005.7,3.0,0.4,0.31,0.57,0.37,0.29,0.53,0.31,0.25,0.47
0037_006.2,3.0,0.43,0.34,0.65,0.38,0.3,0.57,0.31,0.26,0.5
0037_006.7,3.0,0.19,0.24,0.61,0.17,0.21,0.54,0.14,0.18,0.47
0037_007.2,3.0,0.23,0.22,0.73,0.2,0.2,0.64,0.17,0.17,0.56
0037_009.0,3.0,0.36,0.28,0.74,0.32,0.24,0.65,0.26,0.21,0.57
0037_009.6,3.0,0.51,0.28,0.72,0.45,0.24,0.63,0.37,0.21,0.55
0037_010.0,3.0,0.53,0.31,0.83,0.46,0.27,0.73,0.39,0.24,0.64
0037_010.5,3.0,0.51,0.29,0.79,0.47,0.27,0.72,0.39,0.23,0.65
0037_011.5,3.0,0.58,0.35,0.68,0.54,0.32,0.62,0.45,0.28,0.56
0038_000.0,3.0,0.14,0.09,0.15,0.13,0.08,0.14,0.11,0.07,0.13
0038_000.5,3.0,0.21,0.14,0.2,0.18,0.13,0.18,0.15,0.11,0.16
0038_003.2,3.0,0.17,0.11,0.16,0.15,0.1,0.14,0.12,0.09,0.13
0039_000.0,2.0,0.82,0.5,0.79,0.72,0.44,0.69,0.6,0.38,0.61
0039_000.5,2.0,0.88,0.52,0.86,0.77,0.46,0.76,0.64,0.4,0.66
0039_001.5,2.0,0.79,0.52,0.95,0.69,0.46,0.84,0.57,0.4,0.73
0039_002.4,2.0,0.92,0.6,1.06,0.81,0.53,0.98,0.67,0.46,0.86
0039_003.5,2.0,0.83,0.51,0.82,0.77,0.47,0.76,0.64,0.41,0.68
0039_004.0,2.0,0.96,0.74,1.15,0.91,0.68,1.13,0.76,0.59,1.02
0039_004.3,2.0,0.9,0.73,1.21,0.86,0.67,1.18,0.71,0.58,1.06
0039_005.1,2.0,0.89,0.74,1.2,0.82,0.68,1.17,0.68,0.58,1.08
0039_006.0,2.0,0.8,0.82,1.11,0.74,0.75,1.09,0.61,0.64,1.0
0039_006.1,2.0,0.88,0.82,1.08,0.81,0.76,1.06,0.67,0.64,0.98
0039_006.2,2.0,0.91,0.79,1.22,0.86,0.72,1.2,0.71,0.62,1.11
0039_006.4,2.0,0.7,0.6,1.07,0.65,0.55,1.05,0.54,0.48,0.94
0039_007.3,2.0,0.64,0.59,0.82,0.59,0.55,0.76,0.49,0.47,0.68
0039_007.7,3.0,0.44,0.3,0.53,0.4,0.27,0.49,0.33,0.24,0.44
0039_007.9,3.0,0.28,0.16,0.32,0.26,0.15,0.3,0.21,0.13,0.27
0039_008.7,3.0,0.45,0.24,0.43,0.41,0.22,0.4,0.34,0.2,0.36
0048_000.0,2.0,0.98,1.0,1.27,0.95,0.95,1.24,0.79,0.81,1.14
0048_000.5,2.0,1.02,0.85,1.14,0.99,0.78,1.12,0.82,0.67,1.03
0048_001.0,2.0,0.89,0.67,1.06,0.82,0.61,1.04,0.68,0.53,0.94
0048_001.5,2.0,0.87,0.63,1.05,0.8,0.58,1.03,0.66,0.5,0.95
0048_002.0,2.0,0.75,0.59,0.98,0.69,0.54,0.93,0.57,0.46,0.86
0048_002.5,2.0,0.69,0.58,0.92,0.64,0.53,0.87,0.53,0.45,0.8
0048_003.3,2.0,0.67,0.63,0.92,0.62,0.58,0.85,0.51,0.49,0.78
0048_003.5,2.0,1.11,1.01,1.32,1.09,0.98,1.29,0.9,0.83,1.19
0048_003.9,2.0,1.09,1.39,1.36,1.07,1.36,1.33,0.89,1.16,1.23
0048_004.1,2.0,1.02,1.3,1.31,1.0,1.28,1.29,0.83,1.09,1.19
0051_000.0,3.0,0.38,0.36,0.57,0.35,0.33,0.52,0.29,0.28,0.48
0051_000.6,3.0,0.55,0.55,0.78,0.5,0.51,0.72,0.42,0.43,0.66
0051_001.0,3.0,0.61,0.56,0.84,0.56,0.51,0.78,0.47,0.44,0.7
0051_001.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0051_002.4,3.0,0.83,0.68,0.98,0.76,0.62,0.94,0.63,0.54,0.84
0052_000.0,2.0,0.52,0.52,0.49,0.48,0.48,0.45,0.39,0.41,0.41
0052_000.5,2.0,0.97,0.91,1.08,0.92,0.84,1.06,0.76,0.71,0.98
0052_000.6,2.0,0.91,0.84,0.95,0.84,0.77,0.91,0.69,0.65,0.84
0052_001.0,2.0,0.91,0.79,0.97,0.84,0.72,0.92,0.69,0.62,0.85
0052_001.5,2.0,0.88,0.68,0.92,0.81,0.63,0.86,0.67,0.54,0.8
0052_001.8,2.0,0.9,0.76,1.17,0.86,0.7,1.15,0.71,0.6,1.06
0052_002.1,2.0,0.86,0.78,1.2,0.79,0.71,1.18,0.65,0.61,1.09
0052_002.6,2.0,0.6,0.53,0.93,0.55,0.49,0.88,0.46,0.42,0.79
0052_003.1,2.0,1.15,0.97,1.64,1.13,0.92,1.61,0.94,0.79,1.48
0052_003.7,31.0,0.82,0.64,1.13,0.75,0.59,1.1,0.62,0.5,1.02
0053_000.1,3.0,0.88,0.73,0.98,0.81,0.68,0.93,0.68,0.59,0.84
0053_000.9,3.0,1.08,0.93,1.15,1.05,0.89,1.13,0.87,0.76,1.04
0053_001.5,3.0,1.31,1.18,1.48,1.29,1.15,1.45,1.07,0.98,1.33
0053_001.7,3.0,0.66,0.61,0.75,0.6,0.56,0.69,0.5,0.48,0.64
0053_001.8,3.0,0.59,0.63,0.7,0.54,0.58,0.64,0.45,0.5,0.59
0060_000.0,4.0,1.09,1.06,1.89,1.07,1.03,1.85,0.88,0.88,1.71
0060_000.8,4.0,0.24,0.24,0.5,0.21,0.21,0.44,0.18,0.18,0.38
0060_003.7,4.0,0.23,0.22,0.46,0.2,0.19,0.41,0.17,0.17,0.36
0060_004.4,4.0,0.35,0.35,0.57,0.31,0.31,0.5,0.26,0.27,0.44
0060_007.4,4.0,0.32,0.4,0.71,0.28,0.35,0.62,0.23,0.3,0.55
0065_000.1,4.0,0.12,0.1,0.18,0.1,0.08,0.15,0.09,0.07,0.14
0065_002.4,7.0,0.16,0.12,0.19,0.14,0.1,0.17,0.1,0.08,0.14
0067_000.0,38.0,1.02,0.86,1.03,0.99,0.79,1.0,0.8,0.59,0.86
0067_001.0,38.0,1.03,0.86,1.03,1.01,0.79,1.01,0.82,0.59,0.87
0067_004.0,2.0,0.45,0.27,0.67,0.42,0.25,0.61,0.35,0.21,0.55
0067_004.1,38.0,1.07,0.94,1.1,1.0,0.82,1.04,0.81,0.61,0.9
0067_007.3,38.0,1.11,0.9,1.16,1.09,0.85,1.14,0.89,0.63,0.98
0067_010.1,38.0,0.79,0.76,0.91,0.73,0.7,0.87,0.59,0.52,0.75
0068_000.0,2.0,0.18,0.11,0.24,0.16,0.1,0.21,0.13,0.08,0.19
0068_009.1,2.0,0.19,0.12,0.25,0.17,0.1,0.22,0.14,0.09,0.2
0068_012.8,2.0,0.15,0.1,0.21,0.14,0.08,0.18,0.11,0.07,0.17
0068_017.2,2.0,0.2,0.14,0.28,0.18,0.12,0.25,0.15,0.11,0.22
0068_023.7,2.0,0.79,0.48,0.83,0.73,0.44,0.76,0.61,0.38,0.69
0068_024.7,2.0,0.55,0.42,0.65,0.51,0.39,0.59,0.42,0.33,0.53
0068_025.0,2.0,0.49,0.41,0.61,0.45,0.37,0.56,0.37,0.32,0.51
