SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,2.0,0.12,0.08,0.11,0.1,0.07,0.1,0.08,0.06,0.09
0006_146.9,2.0,0.13,0.08,0.11,0.12,0.07,0.1,0.1,0.06,0.09
0006_149.9,2.0,0.26,0.11,0.26,0.23,0.1,0.23,0.19,0.09,0.22
0006_150.6,2.0,0.26,0.12,0.27,0.23,0.1,0.23,0.19,0.09,0.22
0006_152.6,3.0,0.27,0.13,0.28,0.24,0.11,0.25,0.2,0.1,0.23
0006_152.9,2.0,0.36,0.2,0.39,0.32,0.18,0.34,0.26,0.16,0.31
0006_155.8,2.0,0.41,0.23,0.47,0.36,0.21,0.41,0.3,0.18,0.36
0006_155.9,2.0,0.51,0.29,0.5,0.45,0.26,0.44,0.37,0.22,0.39
0006_157.3,2.0,0.53,0.36,0.58,0.46,0.32,0.51,0.39,0.28,0.44
0006_157.6,2.0,0.57,0.39,0.62,0.5,0.34,0.55,0.42,0.3,0.48
0006_158.5,2.0,0.66,0.55,0.85,0.58,0.49,0.75,0.48,0.42,0.65
0006_158.9,2.0,0.7,0.57,0.88,0.65,0.53,0.81,0.54,0.46,0.73
0006_159.3,2.0,0.42,0.34,0.52,0.38,0.31,0.48,0.32,0.27,0.43
0006_159.6,2.0,0.45,0.36,0.52,0.41,0.33,0.48,0.34,0.29,0.43
0006_159.8,2.0,0.55,0.48,0.65,0.5,0.44,0.6,0.42,0.38,0.54
0006_160.3,2.0,0.79,0.67,0.92,0.73,0.62,0.87,0.61,0.54,0.78
0006_173.4,15.0,1.17,0.91,0.98,1.14,0.84,0.95,0.95,0.72,0.88
0006_173.7,15.0,0.98,0.71,0.87,0.93,0.65,0.8,0.77,0.55,0.73
0006_174.0,15.0,1.16,0.9,1.08,1.13,0.82,1.06,0.94,0.7,0.97
0006_174.4,15.0,1.16,0.89,1.12,1.14,0.82,1.1,0.95,0.71,0.98
0006_174.9,13.0,0.96,0.7,0.97,0.91,0.65,0.92,0.76,0.56,0.83
0006_175.6,13.0,0.8,0.59,0.81,0.74,0.54,0.74,0.61,0.47,0.67
0006_176.1,13.0,0.83,0.62,0.86,0.77,0.57,0.79,0.64,0.5,0.71
0006_177.0,13.0,0.86,0.62,0.97,0.79,0.57,0.93,0.66,0.49,0.83
0006_177.2,13.0,0.86,0.63,0.93,0.79,0.58,0.89,0.66,0.51,0.8
0006_177.5,13.0,1.41,1.14,1.76,1.34,1.08,1.67,1.11,0.94,1.46
0006_177.9,13.0,0.9,0.64,0.98,0.79,0.56,0.89,0.65,0.49,0.78
0006_178.8,13.0,0.76,0.54,0.81,0.66,0.47,0.72,0.57,0.41,0.66
0006_181.6,13.0,0.76,0.54,0.82,0.67,0.47,0.72,0.57,0.41,0.66
0006_184.1,13.0,0.76,0.53,0.82,0.67,0.47,0.72,0.57,0.41,0.66
0006_187.5,13.0,0.51,0.37,0.62,0.45,0.32,0.55,0.37,0.28,0.51
0006_194.8,13.0,0.51,0.37,0.62,0.45,0.32,0.55,0.37,0.28,0.51
0006_203.6,13.0,0.51,0.36,0.63,0.45,0.32,0.55,0.37,0.28,0.51
0006_211.2,13.0,0.49,0.35,0.6,0.43,0.31,0.53,0.35,0.27,0.49
0006_216.2,13.0,0.46,0.3,0.54,0.4,0.27,0.47,0.33,0.23,0.44
0013_000.0,2.0,0.58,0.54,0.88,0.53,0.5,0.81,0.44,0.43,0.73
0013_000.6,2.0,0.51,0.52,0.76,0.47,0.48,0.7,0.39,0.42,0.63
0013_001.3,2.0,0.5,0.45,0.68,0.46,0.42,0.62,0.38,0.35,0.57
0013_001.6,2.0,0.52,0.45,0.64,0.48,0.41,0.59,0.4,0.35,0.55
0013_001.8,2.0,0.5,0.42,0.6,0.46,0.39,0.55,0.38,0.34,0.5
0013_002.5,2.0,0.51,0.41,0.6,0.47,0.38,0.55,0.39,0.33,0.5
0013_002.9,2.0,0.34,0.27,0.43,0.31,0.25,0.4,0.26,0.22,0.36
0013_003.3,2.0,0.43,0.33,0.53,0.38,0.29,0.46,0.31,0.25,0.4
0013_004.9,2.0,0.63,0.46,0.75,0.56,0.41,0.66,0.47,0.35,0.61
0013_005.6,3.0,0.9,0.66,0.92,0.79,0.58,0.81,0.67,0.51,0.75
0015_241.6,35.0,0.53,0.4,0.69,0.47,0.35,0.61,0.4,0.31,0.58
0015_242.4,35.0,0.58,0.44,0.76,0.51,0.39,0.67,0.44,0.34,0.64
0015_244.8,36.0,0.91,0.63,0.84,0.8,0.55,0.74,0.69,0.49,0.7
0015_246.9,35.0,0.91,0.63,0.84,0.8,0.55,0.74,0.69,0.49,0.7
0015_248.8,35.0,0.7,0.53,0.85,0.65,0.48,0.78,0.58,0.43,0.74
0015_250.9,35.0,0.8,0.6,0.91,0.74,0.55,0.84,0.66,0.49,0.79
0015_251.6,35.0,0.88,0.78,1.12,0.81,0.71,1.1,0.73,0.64,1.04
0015_252.5,35.0,0.99,0.76,1.09,0.94,0.7,1.07,0.85,0.62,1.02
0015_253.6,35.0,1.15,0.84,1.21,1.13,0.77,1.19,1.02,0.69,1.13
0015_255.9,33.0,1.16,0.85,1.22,1.13,0.78,1.19,1.02,0.69,1.13
0015_257.3,33.0,1.28,0.93,1.18,1.26,0.88,1.16,1.13,0.79,1.1
0015_257.6,31.0,1.0,0.77,1.03,0.95,0.71,1.01,0.85,0.63,0.96
0015_258.8,38.0,1.09,0.86,0.99,1.07,0.79,0.96,0.96,0.7,0.91
0015_260.0,38.0,1.07,0.9,0.99,1.05,0.83,0.96,0.94,0.74,0.91
0015_261.8,38.0,1.07,0.88,1.05,1.01,0.77,0.97,0.87,0.68,0.93
0015_263.4,38.0,1.08,0.92,1.14,1.06,0.84,1.12,0.95,0.75,1.06
0015_264.2,38.0,1.08,0.92,1.14,1.06,0.84,1.12,0.95,0.75,1.06
0015_265.6,38.0,1.11,0.99,1.08,1.08,0.94,1.06,0.98,0.84,1.0
0015_266.5,38.0,1.09,0.97,1.06,1.07,0.92,1.04,0.96,0.82,0.99
0015_267.0,38.0,1.09,0.97,1.06,1.07,0.92,1.04,0.96,0.82,0.99
0015_267.9,38.0,1.09,0.97,1.06,1.07,0.92,1.04,0.96,0.82,0.99
0015_269.0,38.0,1.03,0.94,1.1,1.01,0.9,1.07,0.91,0.8,1.02
0015_269.6,38.0,1.03,0.94,1.1,1.01,0.9,1.07,0.91,0.8,1.02
0015_270.6,38.0,0.92,0.83,0.93,0.87,0.77,0.88,0.79,0.68,0.83
0015_271.6,38.0,1.02,0.95,1.11,1.0,0.9,1.09,0.9,0.81,1.03
0015_272.7,38.0,1.06,0.98,1.16,1.04,0.94,1.13,0.93,0.83,1.08
0015_274.7,38.0,1.05,0.88,1.16,1.02,0.81,1.13,0.92,0.72,1.08
0015_275.3,38.0,1.0,0.87,1.05,0.97,0.8,1.02,0.87,0.71,0.97
0015_276.4,38.0,1.09,0.92,1.16,1.07,0.87,1.14,0.96,0.78,1.08
0015_278.5,38.0,0.99,0.87,1.13,0.94,0.8,1.1,0.84,0.71,1.05
0015_279.6,38.0,1.04,0.89,1.06,1.02,0.81,1.04,0.92,0.73,0.99
0015_282.2,38.0,0.92,0.65,1.03,0.85,0.6,1.01,0.76,0.53,0.96
0015_283.3,38.0,0.99,0.75,1.03,0.96,0.69,1.01,0.87,0.61,0.96
0015_283.9,38.0,0.84,0.8,0.99,0.78,0.74,0.94,0.7,0.65,0.89
0015_285.1,38.0,0.86,0.77,1.0,0.79,0.71,0.97,0.71,0.63,0.92
0015_285.5,38.0,0.99,0.79,1.14,0.94,0.73,1.12,0.85,0.65,1.06
0015_285.8,38.0,1.0,0.8,1.14,0.95,0.73,1.12,0.85,0.65,1.06
0015_286.8,38.0,0.98,0.8,1.12,0.94,0.73,1.1,0.84,0.65,1.04
0015_288.2,38.0,0.9,0.72,1.03,0.83,0.66,1.0,0.74,0.59,0.95
0015_289.8,38.0,0.99,0.89,1.09,0.95,0.82,1.07,0.86,0.73,1.02
0015_291.4,38.0,0.92,0.78,0.99,0.85,0.72,0.94,0.76,0.64,0.89
0015_292.6,38.0,0.92,0.8,0.99,0.84,0.73,0.94,0.76,0.65,0.89
0015_293.0,38.0,0.92,0.82,1.03,0.87,0.76,1.0,0.79,0.68,0.95
0015_293.6,38.0,0.92,0.82,1.03,0.87,0.76,1.0,0.79,0.68,0.95
0015_295.6,38.0,1.13,1.02,1.22,1.11,0.99,1.19,1.0,0.88,1.13
0015_297.9,38.0,1.08,0.84,1.09,1.06,0.77,1.06,0.95,0.69,1.01
0015_299.0,38.0,0.97,0.83,0.98,0.92,0.77,0.93,0.83,0.68,0.88
0015_300.3,38.0,1.03,0.92,1.07,1.01,0.87,1.05,0.91,0.78,1.0
0015_301.7,38.0,1.09,0.97,1.1,1.07,0.92,1.08,0.96,0.82,1.03
0015_302.5,38.0,1.09,0.97,1.1,1.07,0.92,1.08,0.96,0.82,1.03
0015_303.4,38.0,1.02,0.95,1.21,0.99,0.9,1.19,0.89,0.8,1.13
0015_304.7,38.0,1.36,1.57,1.55,1.34,1.54,1.52,1.2,1.37,1.44
0015_305.2,38.0,1.25,1.14,1.32,1.23,1.12,1.3,1.11,1.0,1.23
0015_305.9,38.0,1.25,1.17,1.33,1.22,1.15,1.31,1.1,1.02,1.24
0015_306.3,38.0,1.16,1.11,1.41,1.13,1.09,1.38,1.02,0.97,1.31
0015_307.2,38.0,1.3,1.29,1.53,1.28,1.26,1.5,1.15,1.13,1.42
0015_307.5,38.0,1.38,1.39,1.95,1.35,1.36,1.91,1.22,1.21,1.82
0015_307.6,38.0,0.93,0.88,0.92,0.89,0.81,0.87,0.8,0.72,0.83
0015_307.8,38.0,0.92,0.8,1.01,0.88,0.74,0.98,0.79,0.66,0.93
0015_308.4,38.0,0.98,0.85,1.02,0.93,0.78,0.99,0.84,0.7,0.94
0015_309.3,38.0,0.89,0.8,1.01,0.81,0.74,0.98,0.73,0.66,0.93
0015_310.2,38.0,0.89,0.79,0.98,0.82,0.73,0.95,0.74,0.65,0.91
0015_311.4,38.0,0.95,0.76,0.97,0.84,0.66,0.88,0.72,0.59,0.84
0015_311.8,38.0,1.03,0.94,1.11,1.01,0.9,1.09,0.91,0.8,1.03
0015_313.7,38.0,0.96,0.86,1.0,0.91,0.79,0.97,0.82,0.7,0.92
0015_315.3,38.0,0.95,0.82,0.99,0.9,0.75,0.94,0.81,0.67,0.9
0015_316.9,38.0,0.96,0.81,1.0,0.91,0.74,0.97,0.82,0.66,0.92
0015_317.6,38.0,0.86,0.65,0.9,0.79,0.6,0.83,0.71,0.53,0.79
0015_318.3,38.0,0.93,0.77,0.99,0.89,0.7,0.96,0.8,0.63,0.92
0015_319.5,38.0,0.99,0.81,1.03,0.94,0.75,1.01,0.85,0.66,0.96
0015_321.0,38.0,0.92,0.71,0.88,0.85,0.65,0.81,0.77,0.58,0.77
0015_322.0,38.0,0.9,0.64,0.87,0.83,0.59,0.8,0.75,0.52,0.76
0015_323.8,38.0,0.79,0.45,0.57,0.72,0.42,0.52,0.65,0.37,0.5
0015_324.4,38.0,0.88,0.77,0.81,0.81,0.71,0.74,0.73,0.63,0.71
0015_325.6,38.0,0.89,0.82,0.87,0.82,0.75,0.8,0.74,0.67,0.76
0015_328.7,38.0,0.97,0.94,1.08,0.93,0.89,1.05,0.83,0.79,1.0
0015_330.1,38.0,0.91,0.9,0.98,0.86,0.82,0.93,0.78,0.73,0.88
0015_331.6,38.0,0.99,0.93,1.02,0.96,0.88,0.99,0.87,0.79,0.94
0015_332.9,38.0,1.0,0.97,1.01,0.97,0.92,0.98,0.87,0.82,0.93
0015_334.1,38.0,0.97,0.97,1.03,0.92,0.92,1.01,0.83,0.82,0.96
0015_335.8,38.0,0.99,0.98,1.02,0.94,0.93,0.99,0.84,0.83,0.94
0015_337.0,38.0,0.99,0.97,1.03,0.96,0.92,1.0,0.87,0.82,0.95
0015_338.5,38.0,1.05,0.97,0.99,1.03,0.92,0.96,0.93,0.82,0.91
0015_339.1,38.0,1.08,0.9,1.01,1.06,0.86,0.98,0.96,0.77,0.93
0015_340.3,23.0,1.07,0.89,1.04,1.05,0.82,1.02,0.94,0.73,0.97
0015_342.0,33.0,1.32,0.99,1.25,1.3,0.96,1.23,1.17,0.86,1.17
0015_343.1,33.0,0.99,0.91,1.11,0.95,0.83,1.09,0.86,0.74,1.03
0015_343.9,33.0,1.06,0.91,1.04,1.04,0.84,1.02,0.93,0.74,0.96
0015_345.0,35.0,1.06,0.91,1.05,1.04,0.84,1.03,0.94,0.75,0.98
