SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,2.0,0.14,0.09,0.13,0.12,0.08,0.11,0.1,0.07,0.1
0006_146.9,2.0,0.16,0.1,0.13,0.14,0.09,0.11,0.11,0.07,0.1
0006_149.9,2.0,0.37,0.22,0.44,0.32,0.19,0.39,0.27,0.17,0.36
0006_150.6,2.0,0.36,0.22,0.43,0.31,0.19,0.38,0.26,0.17,0.35
0006_152.6,3.0,0.4,0.24,0.47,0.35,0.21,0.41,0.29,0.19,0.38
0006_152.9,2.0,0.46,0.32,0.53,0.41,0.28,0.47,0.34,0.25,0.43
0006_155.8,2.0,0.52,0.36,0.64,0.46,0.32,0.56,0.38,0.28,0.49
0006_155.9,2.0,0.58,0.4,0.64,0.51,0.35,0.56,0.43,0.3,0.49
0006_157.3,2.0,0.58,0.46,0.71,0.51,0.4,0.62,0.42,0.35,0.55
0006_157.6,2.0,0.41,0.48,0.87,0.36,0.42,0.77,0.3,0.37,0.67
0006_158.5,2.0,0.84,0.71,0.95,0.78,0.65,0.91,0.65,0.57,0.81
0006_158.9,2.0,0.83,0.65,0.97,0.77,0.59,0.92,0.64,0.52,0.83
0006_159.3,2.0,0.55,0.42,0.66,0.5,0.38,0.6,0.42,0.33,0.54
0006_159.6,2.0,0.65,0.5,0.79,0.59,0.46,0.73,0.49,0.4,0.65
0006_159.8,2.0,0.76,0.65,0.9,0.7,0.59,0.83,0.59,0.52,0.75
0006_160.3,2.0,0.96,0.86,1.13,0.91,0.8,1.11,0.76,0.69,0.99
0006_173.4,33.0,0.99,0.56,0.82,0.96,0.52,0.75,0.82,0.43,0.68
0006_173.7,33.0,1.02,0.57,0.89,0.99,0.53,0.82,0.84,0.41,0.74
0006_174.0,33.0,1.14,0.65,0.98,1.12,0.6,0.93,0.95,0.47,0.84
0006_174.4,33.0,1.01,0.6,0.89,0.98,0.55,0.82,0.83,0.43,0.74
0006_174.9,33.0,1.05,0.73,1.0,1.03,0.67,0.97,0.87,0.53,0.87
0006_175.6,13.0,1.15,0.83,1.09,1.13,0.76,1.07,0.94,0.66,0.96
0006_176.1,13.0,0.97,0.76,1.03,0.92,0.7,1.01,0.77,0.6,0.91
0006_177.0,13.0,1.0,0.76,1.14,0.95,0.7,1.12,0.79,0.6,1.01
0006_177.2,13.0,0.98,0.79,1.17,0.95,0.73,1.14,0.79,0.63,1.03
0006_177.5,13.0,0.94,0.83,1.16,0.89,0.76,1.14,0.74,0.66,1.02
0006_177.9,13.0,0.56,0.42,0.66,0.49,0.37,0.58,0.41,0.32,0.5
0006_178.8,13.0,0.87,0.63,0.95,0.76,0.55,0.83,0.65,0.48,0.77
0006_181.6,13.0,0.87,0.63,0.96,0.77,0.55,0.84,0.65,0.48,0.78
0006_184.1,13.0,0.87,0.62,0.96,0.77,0.55,0.84,0.65,0.48,0.78
0006_187.5,13.0,0.58,0.42,0.72,0.51,0.37,0.63,0.42,0.33,0.58
0006_194.8,13.0,0.56,0.4,0.69,0.49,0.35,0.61,0.4,0.31,0.56
0006_203.6,13.0,0.55,0.4,0.69,0.49,0.35,0.61,0.4,0.31,0.56
0006_211.2,13.0,0.55,0.4,0.69,0.49,0.35,0.61,0.4,0.31,0.56
0006_216.2,13.0,0.5,0.34,0.6,0.44,0.3,0.52,0.36,0.26,0.49
0013_000.0,2.0,0.57,0.54,0.88,0.52,0.49,0.81,0.43,0.43,0.72
0013_000.6,2.0,0.53,0.55,0.85,0.49,0.5,0.78,0.41,0.44,0.7
