SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_146.9,2.0,0.1,0.07,0.12,0.09,0.06,0.11,0.07,0.05,0.1
0006_149.9,2.0,0.2,0.13,0.27,0.18,0.12,0.24,0.15,0.1,0.22
0006_150.6,2.0,0.2,0.14,0.26,0.17,0.12,0.23,0.14,0.11,0.22
0006_152.6,3.0,0.21,0.16,0.27,0.18,0.15,0.23,0.15,0.13,0.22
0006_152.9,2.0,0.36,0.27,0.41,0.33,0.25,0.38,0.28,0.22,0.34
0006_155.9,2.0,0.22,0.2,0.32,0.19,0.18,0.28,0.16,0.16,0.25
0006_157.3,2.0,0.29,0.28,0.42,0.26,0.25,0.37,0.21,0.22,0.32
0006_157.6,2.0,0.33,0.33,0.48,0.29,0.29,0.42,0.24,0.25,0.37
0006_158.5,2.0,0.31,0.3,0.46,0.28,0.26,0.41,0.23,0.23,0.36
0006_159.6,2.0,0.35,0.31,0.47,0.32,0.28,0.44,0.27,0.25,0.39
0006_159.8,2.0,0.53,0.41,0.68,0.49,0.38,0.63,0.41,0.33,0.56
0006_160.3,2.0,0.77,0.62,0.95,0.71,0.57,0.91,0.59,0.5,0.82
0006_173.4,33.0,0.88,0.78,0.95,0.81,0.72,0.9,0.67,0.61,0.83
0006_173.7,33.0,0.88,0.54,0.87,0.81,0.5,0.8,0.69,0.39,0.72
0006_174.0,33.0,0.93,0.59,0.92,0.88,0.55,0.87,0.75,0.43,0.79
0006_174.4,33.0,0.88,0.55,0.83,0.81,0.51,0.76,0.69,0.4,0.69
0006_174.9,33.0,0.91,0.64,0.9,0.87,0.59,0.83,0.74,0.46,0.75
0006_175.6,13.0,1.03,0.82,1.12,1.01,0.75,1.09,0.84,0.65,0.98
0006_176.1,13.0,0.9,0.73,1.02,0.85,0.67,0.99,0.71,0.59,0.89
0006_177.0,13.0,0.84,0.72,0.99,0.77,0.67,0.96,0.64,0.58,0.86
0006_177.2,13.0,0.56,0.48,0.7,0.51,0.44,0.64,0.43,0.39,0.58
0006_177.5,13.0,0.54,0.49,0.71,0.5,0.45,0.65,0.42,0.39,0.58
0006_177.9,13.0,0.41,0.35,0.54,0.38,0.33,0.5,0.31,0.28,0.45
0013_000.0,2.0,0.53,0.47,0.81,0.48,0.44,0.74,0.4,0.38,0.67
0013_000.6,2.0,0.5,0.48,0.72,0.46,0.44,0.66,0.38,0.38,0.59
0013_001.3,2.0,0.52,0.42,0.66,0.48,0.38,0.61,0.39,0.33,0.56
0013_001.6,2.0,0.45,0.45,0.61,0.42,0.41,0.56,0.35,0.35,0.52
0013_001.8,2.0,0.42,0.41,0.58,0.39,0.38,0.53,0.32,0.33,0.48
0013_002.5,2.0,0.41,0.39,0.58,0.38,0.36,0.53,0.32,0.31,0.48
0013_002.9,2.0,0.31,0.28,0.46,0.29,0.26,0.43,0.24,0.23,0.38
0013_003.3,2.0,0.41,0.33,0.53,0.36,0.29,0.47,0.3,0.25,0.41
0013_004.9,2.0,0.62,0.51,0.79,0.55,0.45,0.69,0.47,0.39,0.64
0013_005.6,3.0,0.74,0.6,0.95,0.65,0.53,0.86,0.55,0.46,0.79
0015_241.6,35.0,0.43,0.39,0.61,0.39,0.36,0.56,0.35,0.32,0.53
0015_242.4,35.0,0.51,0.47,0.73,0.47,0.43,0.67,0.42,0.38,0.63
0015_244.8,33.0,0.54,0.42,0.68,0.48,0.37,0.59,0.41,0.33,0.57
0015_246.9,33.0,0.78,0.56,0.93,0.71,0.51,0.89,0.64,0.46,0.84
0015_248.8,33.0,0.71,0.48,0.84,0.66,0.45,0.77,0.59,0.4,0.73
0015_250.9,33.0,0.56,0.38,0.65,0.51,0.35,0.6,0.46,0.31,0.57
0015_251.6,33.0,1.04,0.75,0.93,1.01,0.69,0.89,0.91,0.62,0.84
0015_252.5,34.0,0.52,0.44,0.71,0.48,0.41,0.65,0.43,0.36,0.62
0015_253.6,34.0,0.6,0.46,0.77,0.55,0.42,0.71,0.49,0.38,0.67
0015_255.9,34.0,0.77,0.53,0.92,0.71,0.49,0.87,0.64,0.44,0.83
0015_257.3,33.0,0.7,0.44,0.76,0.64,0.41,0.7,0.58,0.36,0.67
0015_257.6,38.0,1.1,1.38,2.16,1.08,1.35,2.12,0.97,1.2,2.01
0015_258.8,38.0,0.92,0.59,0.91,0.85,0.54,0.86,0.77,0.48,0.82
0015_260.0,38.0,0.91,0.6,0.9,0.86,0.55,0.86,0.77,0.49,0.82
0015_261.8,38.0,0.94,0.67,0.95,0.9,0.61,0.9,0.81,0.55,0.86
0015_263.4,38.0,0.89,0.61,0.96,0.82,0.56,0.91,0.74,0.5,0.87
0015_264.2,38.0,0.89,0.61,0.96,0.82,0.56,0.91,0.74,0.5,0.87
0015_265.6,38.0,0.94,0.68,0.99,0.89,0.62,0.96,0.8,0.56,0.91
0015_266.5,38.0,1.0,0.72,1.02,0.97,0.66,1.0,0.88,0.59,0.95
