,SEGID,FYEAR,SiteGroup,MonthGroup,DOWGroup,Period,VC15Min_Max
0,0013_000.0,2017,SNT,M10-Oct,W1-Weekday,PM,0.3212670632619159
1,0013_000.6,2017,SNT,M10-Oct,W1-Weekday,PM,0.2924370902093577
2,0013_001.3,2017,SNU,M10-Oct,W1-Weekday,PM,0.20999106712124102
3,0013_001.6,2017,SNT,M10-Oct,W1-Weekday,PM,0.2356074187173757
4,0013_001.8,2017,SNT,M10-Oct,W1-Weekday,PM,0.2346580809767664
5,0013_002.5,2017,SNT,M10-Oct,W1-Weekday,PM,0.25196278604765193
6,0013_002.9,2017,SNT,M10-Oct,W1-Weekday,PM,0.18650448965540928
7,0013_003.3,2017,SNS,M10-Oct,W1-Weekday,PM,0.18020754525793167
8,0013_004.9,2017,SNS,M10-Oct,W1-Weekday,PM,0.2670080932829871
9,0013_005.6,2017,SNQ,M10-Oct,W1-Weekday,PM,0.2770428015309024
10,0015_285.8,2017,SN6,M10-Oct,W1-Weekday,PM,0.6054190453972937
11,0015_286.8,2017,SN6,M10-Oct,W1-Weekday,PM,0.5988563000636369
12,0015_288.2,2017,SN7,M10-Oct,W1-Weekday,PM,0.5244482152907658
13,0015_289.8,2017,SN7,M10-Oct,W1-Weekday,PM,0.652276244192738
14,0015_291.4,2017,SN7,M10-Oct,W1-Weekday,PM,0.5789166285877378
15,0015_292.6,2017,SN7,M10-Oct,W1-Weekday,PM,0.5853652656775618
16,0015_293.0,2017,SN7,M10-Oct,W1-Weekday,PM,0.592654282026354
17,0015_293.6,2017,SN7,M10-Oct,W1-Weekday,PM,0.592654282026354
18,0015_295.6,2017,SN7,M10-Oct,W1-Weekday,PM,0.6141482394732429
19,0015_297.9,2017,SN7,M10-Oct,W1-Weekday,PM,0.6186458731678104
20,0015_299.0,2017,SN7,M10-Oct,W1-Weekday,PM,0.66120176256425
21,0015_300.3,2017,SN7,M10-Oct,W1-Weekday,PM,0.7451547364712585
22,0015_301.7,2017,SN7,M10-Oct,W1-Weekday,PM,0.7652067032013553
23,0015_302.5,2017,SN7,M10-Oct,W1-Weekday,PM,0.7652067032013553
24,0015_303.4,2017,SN6,M10-Oct,W1-Weekday,PM,0.730289397662262
25,0015_304.7,2017,SN6,M10-Oct,W1-Weekday,PM,0.8132583695219752
26,0015_305.2,2017,SN7,M10-Oct,W1-Weekday,PM,0.6164155979071289
27,0015_305.9,2017,SN7,M10-Oct,W1-Weekday,PM,0.657069582313494
28,0015_306.3,2017,SN7,M10-Oct,W1-Weekday,PM,0.7982027014000758
29,0015_307.2,2017,SN7,M10-Oct,W1-Weekday,PM,0.8069981315466623
30,0015_307.5,2017,SN7,M10-Oct,W1-Weekday,PM,0.6872057615663782
31,0015_307.6,2017,SN7,M10-Oct,W1-Weekday,PM,0.4508895210363714
32,0015_307.8,2017,SN7,M10-Oct,W1-Weekday,PM,0.5433958582068107
33,0015_308.4,2017,SN7,M10-Oct,W1-Weekday,PM,0.5523840493454737
34,0015_309.3,2017,SN6,M10-Oct,W1-Weekday,PM,0.5977764840385162
35,0015_310.2,2017,SN6,M10-Oct,W1-Weekday,PM,0.6010081822159571
36,0015_311.4,2017,SN6,M10-Oct,W1-Weekday,PM,0.6202270722407948
37,0015_311.8,2017,SN6,M10-Oct,W1-Weekday,PM,0.7906945725432374
38,0015_313.7,2017,SN7,M10-Oct,W1-Weekday,PM,0.63393009359137
39,0015_315.3,2017,SN7,M10-Oct,W1-Weekday,PM,0.6425631481666785
40,0015_316.9,2017,SN6,M10-Oct,W1-Weekday,PM,0.6272388194116312
41,0015_317.6,2017,SN6,M10-Oct,W1-Weekday,PM,0.5861388091498194
42,0015_318.3,2017,SN7,M10-Oct,W1-Weekday,PM,0.5842759190483997
43,0015_319.5,2017,SN6,M10-Oct,W1-Weekday,PM,0.6745959776574842
44,0015_321.0,2017,SN6,M10-Oct,W1-Weekday,PM,0.6032904304824236
45,0015_322.0,2017,SN6,M10-Oct,W1-Weekday,PM,0.5593117739169635
46,0015_323.8,2017,SN6,M10-Oct,W1-Weekday,PM,0.7011544504605154
47,0015_324.4,2017,SN6,M10-Oct,W1-Weekday,PM,0.6834959492353492
48,0015_325.6,2017,SN6,M10-Oct,W1-Weekday,PM,0.6406899705589508
49,0015_328.7,2017,SN6,M10-Oct,W1-Weekday,PM,0.7501725951542036
50,0015_330.1,2017,SN7,M10-Oct,W1-Weekday,PM,0.6439234876571658
51,0015_331.6,2017,SN7,M10-Oct,W1-Weekday,PM,0.7840315377186265
52,0015_332.9,2017,SN7,M10-Oct,W1-Weekday,PM,0.7017075792526424
53,0015_334.1,2017,SN6,M10-Oct,W1-Weekday,PM,0.7378615157607553
54,0015_335.8,2017,SN6,M10-Oct,W1-Weekday,PM,0.6853384679472995
55,0015_337.0,2017,SN6,M10-Oct,W1-Weekday,PM,0.6865788333638944
56,0015_338.5,2017,SN6,M10-Oct,W1-Weekday,PM,0.6412776498302694
