,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2151.0,2115.0,36.0
1,0006_146.9,2157.0,2122.0,35.0
2,0006_149.9,2972.7,2756.2,216.5
3,0006_150.6,3214.9,2997.9,217.0
4,0006_152.6,3768.7,3780.5,-11.800000000000182
5,0006_152.9,5257.3,5475.0,-217.69999999999982
6,0006_155.8,5272.5,5493.3,-220.80000000000018
7,0006_155.9,4672.0,4989.2,-317.1999999999998
8,0006_157.3,7708.2,8127.7,-419.5
9,0006_157.6,8442.3,8829.7,-387.40000000000146
10,0006_158.5,14748.8,15179.3,-430.5
11,0006_158.9,13547.1,13897.6,-350.5
12,0006_159.3,15729.4,16080.1,-350.7000000000007
13,0006_159.6,20445.1,20820.6,-375.5
14,0006_159.8,20767.2,21257.1,-489.8999999999978
15,0006_160.3,26028.6,27005.3,-976.7000000000007
16,0006_173.4,72963.9,77285.0,-4321.100000000006
17,0006_173.7,62263.0,65398.0,-3135.0
18,0006_174.0,52245.4,56142.7,-3897.2999999999956
19,0006_174.4,50589.1,54148.8,-3559.7000000000044
20,0006_174.9,41042.6,42206.6,-1164.0
21,0006_175.6,29789.4,31445.7,-1656.2999999999993
22,0006_176.1,20369.0,20836.9,-467.90000000000146
23,0006_177.0,21726.7,23446.8,-1720.0999999999985
24,0006_177.2,22364.8,24311.4,-1946.6000000000022
25,0006_177.5,19176.0,19043.6,132.40000000000146
26,0006_177.9,17057.7,16906.9,150.79999999999927
27,0006_178.8,15934.0,15818.0,116.0
28,0006_181.6,15180.0,15079.0,101.0
29,0006_184.1,14770.0,14660.0,110.0
30,0006_187.5,10048.0,9969.0,79.0
31,0006_194.8,9890.3,9834.1,56.19999999999891
32,0006_203.6,9707.0,9659.0,48.0
33,0006_211.2,9707.0,9659.0,48.0
34,0006_216.2,8778.0,8737.0,41.0
35,0013_000.0,15588.2,15672.8,-84.59999999999854
36,0013_000.6,17207.5,17330.1,-122.59999999999854
37,0013_001.3,16427.3,16505.8,-78.5
38,0013_001.6,17614.0,17709.0,-95.0
39,0013_001.8,14477.4,14499.8,-22.399999999999636
40,0013_002.5,11529.9,11586.1,-56.20000000000073
41,0013_002.9,6832.0,6843.3,-11.300000000000182
42,0013_003.3,11663.8,11699.1,-35.30000000000109
43,0013_004.9,12183.9,12229.6,-45.70000000000073
44,0013_005.6,11950.5,11930.2,20.299999999999272
45,0015_241.6,43227.0,43306.0,-79.0
46,0015_242.4,47832.2,47668.8,163.39999999999418
47,0015_244.8,68697.0,69123.8,-426.8000000000029
48,0015_246.9,68697.0,69123.8,-426.8000000000029
49,0015_248.8,86573.4,84964.2,1609.199999999997
50,0015_250.9,105396.5,102434.9,2961.600000000006
51,0015_251.6,117629.6,114451.6,3178.0
52,0015_252.5,122337.9,119208.1,3129.7999999999884
53,0015_253.6,141406.3,131736.0,9670.299999999988
54,0015_255.9,157641.1,150288.8,7352.3000000000175
55,0015_257.3,162223.6,157480.2,4743.399999999994
56,0015_257.6,217828.6,218490.8,-662.1999999999825
57,0015_258.8,230494.5,229125.3,1369.2000000000116
58,0015_260.0,241092.1,236957.9,4134.200000000012
59,0015_261.8,254764.0,250372.0,4392.0
60,0015_263.4,214099.3,202820.2,11279.099999999977
61,0015_264.2,214099.3,202820.2,11279.099999999977
62,0015_265.6,230472.8,215567.4,14905.399999999994
63,0015_266.5,260129.1,228645.1,31484.0
64,0015_267.0,235223.6,228645.1,6578.5
65,0015_267.9,241919.8,228645.1,13274.699999999983
66,0015_269.0,270800.4,252925.7,17874.70000000001
67,0015_269.6,268499.2,252925.7,15573.5
68,0015_270.6,300411.4,280100.0,20311.400000000023
69,0015_271.6,331568.3,284720.2,46848.09999999998
70,0015_272.7,332504.8,283365.7,49139.09999999998
71,0015_274.7,309169.8,269461.5,39708.29999999999
72,0015_275.3,326218.6,280998.8,45219.79999999999
73,0015_276.4,301813.2,272669.7,29143.5
74,0015_278.5,279511.5,262089.8,17421.70000000001
75,0015_279.6,282853.8,260969.8,21884.0
76,0015_282.2,258338.9,243210.5,15128.399999999994
77,0015_283.3,268604.4,259818.1,8786.300000000017
78,0015_283.9,317914.5,304191.9,13722.599999999977
79,0015_285.1,311442.9,299325.1,12117.800000000047
80,0015_285.5,312748.2,304137.2,8611.0
81,0015_285.8,309132.3,291489.2,17643.099999999977
82,0015_286.8,312509.9,295023.3,17486.600000000035
83,0015_288.2,305422.9,299839.0,5583.900000000023
84,0015_289.8,318315.0,317056.1,1258.9000000000233
85,0015_291.4,323773.8,319905.1,3868.7000000000116
86,0015_292.6,317689.0,313582.0,4107.0
87,0015_293.0,322916.1,319678.7,3237.399999999965
88,0015_293.6,322916.1,319678.7,3237.399999999965
89,0015_295.6,368010.5,367885.1,125.40000000002328
90,0015_297.9,368943.8,368982.2,-38.40000000002328
91,0015_299.0,297256.3,296867.6,388.70000000001164
92,0015_300.3,298219.6,299634.8,-1415.2000000000116
93,0015_301.7,298726.5,299809.9,-1083.4000000000233
94,0015_302.5,298726.5,299809.9,-1083.4000000000233
95,0015_303.4,288621.3,289504.6,-883.2999999999884
96,0015_304.7,257779.8,257460.8,319.0
97,0015_305.2,351749.4,352165.9,-416.5
98,0015_305.9,323228.4,323518.0,-289.5999999999767
