,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2291.0,1871.0,420.0
1,0006_146.9,2296.5,1882.8,413.70000000000005
2,0006_149.9,3684.3,2177.3,1507.0
3,0006_150.6,3920.4,2355.5,1564.9
4,0006_152.6,4917.9,3032.5,1885.3999999999996
5,0006_152.9,6838.1,4644.4,2193.7000000000007
6,0006_155.8,6870.3,4663.2,2207.1000000000004
7,0006_155.9,5958.3,3876.4,2081.9
8,0006_157.3,9580.1,5865.8,3714.3
9,0006_157.6,10494.8,6429.0,4065.7999999999993
10,0006_158.5,17932.2,9757.6,8174.6
11,0006_158.9,16736.4,8909.2,7827.200000000001
12,0006_159.3,19682.8,10741.8,8941.0
13,0006_159.6,25159.6,13904.7,11254.899999999998
14,0006_159.8,24746.0,15585.5,9160.5
15,0006_160.3,32781.1,20406.6,12374.5
16,0006_173.4,79671.4,67146.1,12525.299999999988
17,0006_173.7,64122.1,55141.0,8981.099999999999
18,0006_174.0,50492.3,42625.1,7867.200000000004
19,0006_174.4,50492.3,42625.1,7867.200000000004
20,0006_174.9,38380.2,29449.1,8931.099999999999
21,0006_175.6,32827.3,24805.3,8022.000000000004
22,0006_176.1,23755.9,17915.0,5840.9000000000015
23,0006_177.0,27643.1,20962.5,6680.5999999999985
24,0006_177.2,27826.6,21183.8,6642.799999999999
25,0006_177.5,23167.8,15672.9,7494.9
26,0006_177.9,19157.1,15392.8,3764.2999999999993
27,0006_178.8,17085.0,14767.0,2318.0
28,0006_181.6,16333.0,14015.0,2318.0
29,0006_184.1,15887.0,13641.0,2246.0
30,0006_187.5,10675.0,9604.0,1071.0
31,0006_194.8,10495.4,9465.5,1029.8999999999996
32,0006_203.6,10285.0,9294.0,991.0
33,0006_211.2,10285.0,9294.0,991.0
34,0006_216.2,9162.0,8270.0,892.0
35,0013_000.0,18530.1,16244.7,2285.399999999998
36,0013_000.6,18508.8,15883.8,2625.0
37,0013_001.3,18173.4,15119.5,3053.9000000000015
38,0013_001.6,18672.6,16496.9,2175.699999999997
39,0013_001.8,15468.1,13595.8,1872.300000000001
40,0013_002.5,12669.7,10601.6,2068.1000000000004
41,0013_002.9,7714.8,6300.8,1414.0
42,0013_003.3,13180.1,10445.3,2734.800000000001
43,0013_004.9,14073.5,10408.2,3665.2999999999993
44,0013_005.6,13633.1,10168.0,3465.1000000000004
45,0015_241.6,48070.0,36823.0,11247.0
46,0015_242.4,54332.0,40375.9,13956.099999999999
47,0015_244.8,77187.7,56443.9,20743.799999999996
48,0015_246.9,77187.7,56443.9,20743.799999999996
49,0015_248.8,92509.6,65510.7,26998.90000000001
50,0015_250.9,106050.2,79463.4,26586.800000000003
51,0015_251.6,128914.5,89700.9,39213.600000000006
52,0015_252.5,135949.2,92457.8,43491.40000000001
53,0015_253.6,146126.9,104159.0,41967.899999999994
54,0015_255.9,146126.9,104159.0,41967.899999999994
55,0015_257.3,157937.2,113779.0,44158.20000000001
56,0015_257.6,225615.7,174275.9,51339.80000000002
57,0015_258.8,233029.5,183259.9,49769.600000000006
58,0015_260.0,244580.8,196742.7,47838.09999999998
59,0015_261.8,261006.6,210824.9,50181.70000000001
60,0015_263.4,213055.5,175655.4,37400.100000000006
61,0015_264.2,213055.5,175655.4,37400.100000000006
62,0015_265.6,225477.6,194544.0,30933.600000000006
63,0015_266.5,225477.6,194544.0,30933.600000000006
64,0015_267.0,225477.6,194544.0,30933.600000000006
65,0015_267.9,225477.6,194544.0,30933.600000000006
66,0015_269.0,259315.5,229574.3,29741.20000000001
67,0015_269.6,259315.5,229574.3,29741.20000000001
68,0015_270.6,288508.1,259066.8,29441.29999999999
69,0015_271.6,294494.3,268493.3,26001.0
70,0015_272.7,295546.7,270291.5,25255.20000000001
71,0015_274.7,286116.2,259819.4,26296.800000000017
72,0015_275.3,296504.1,270285.6,26218.5
73,0015_276.4,288054.6,262868.1,25186.5
74,0015_278.5,265593.5,247734.6,17858.899999999994
75,0015_279.6,265219.6,249387.7,15831.899999999965
76,0015_282.2,249207.4,230460.5,18746.899999999994
77,0015_283.3,264135.4,245702.1,18433.300000000017
78,0015_283.9,296958.9,280271.0,16687.900000000023
79,0015_285.1,293817.4,276862.7,16954.70000000001
80,0015_285.5,294252.4,277276.9,16975.5
81,0015_285.8,294257.2,277280.6,16976.600000000035
82,0015_286.8,294252.4,277276.7,16975.70000000001
83,0015_288.2,293130.5,277199.7,15930.799999999988
84,0015_289.8,319702.6,296952.1,22750.5
85,0015_291.4,328303.5,303920.1,24383.400000000023
86,0015_292.6,323305.5,299816.0,23489.5
87,0015_293.0,331015.8,305735.7,25280.099999999977
88,0015_293.6,331015.8,305735.7,25280.099999999977
89,0015_295.6,378298.7,355365.8,22932.900000000023
90,0015_297.9,382380.9,353219.5,29161.400000000023
91,0015_299.0,308312.4,284339.1,23973.300000000047
92,0015_300.3,309989.9,286294.8,23695.100000000035
93,0015_301.7,311829.9,288324.1,23505.800000000047
94,0015_302.5,311829.9,288324.1,23505.800000000047
95,0015_303.4,302429.5,278592.9,23836.599999999977
96,0015_304.7,271633.6,248103.8,23529.79999999999
97,0015_305.2,370010.5,339751.3,30259.20000000001
98,0015_305.9,339716.3,312905.7,26810.599999999977
99,0015_306.3,274206.8,251389.4,22817.399999999994
100,0015_307.2,241647.7,222571.4,19076.300000000017
101,0015_307.5,236148.7,223042.1,13106.600000000006
102,0015_307.6,320430.0,294427.5,26002.5
103,0015_307.8,216132.9,205310.2,10822.699999999983
104,0015_308.4,215397.7,204605.2,10792.5
105,0015_309.3,228475.0,218383.7,10091.299999999988
106,0015_310.2,233275.0,223549.3,9725.700000000012
107,0015_311.4,233523.7,223638.3,9885.400000000023
108,0015_311.8,233524.0,223638.0,9886.0
109,0015_313.7,239495.6,227405.3,12090.300000000017
110,0015_315.3,229166.1,215481.0,13685.100000000006
111,0015_316.9,227608.0,211820.1,15787.899999999994
112,0015_317.6,206765.9,192514.5,14251.399999999994
113,0015_318.3,225928.2,211959.8,13968.400000000023
114,0015_319.5,221687.1,207158.0,14529.100000000006
115,0015_321.0,200447.1,187526.8,12920.300000000017
116,0015_322.0,178517.6,167283.1,11234.5
117,0015_323.8,117699.8,106503.4,11196.400000000009
118,0015_324.4,177812.5,160074.1,17738.399999999994
119,0015_325.6,187793.2,165756.8,22036.400000000023
120,0015_328.7,194435.5,171749.7,22685.79999999999
121,0015_330.1,187487.8,168110.1,19377.699999999983
122,0015_331.6,182922.4,161043.2,21879.199999999983
123,0015_332.9,190708.4,166401.6,24306.79999999999
124,0015_334.1,197332.4,174581.1,22751.29999999999
125,0015_335.8,199740.4,177095.8,22644.600000000006
126,0015_337.0,199011.6,175705.7,23305.899999999994
127,0015_338.5,181402.9,159157.6,22245.29999999999
128,0015_339.1,154432.3,132050.0,22382.29999999999
129,0015_340.3,183388.7,152076.1,31312.600000000006
130,0015_342.0,180716.4,144690.4,36026.0
131,0015_343.1,179208.5,143201.2,36007.29999999999
132,0015_343.9,163261.1,131507.0,31754.100000000006
133,0015_345.0,139698.9,111963.3,27735.59999999999
134,0015_346.7,119426.0,96524.7,22901.300000000003
135,0015_349.4,88285.3,68765.6,19519.699999999997
136,0015_351.9,81518.8,64372.1,17146.700000000004
137,0015_357.6,75838.6,60199.9,15638.700000000004
138,0015_362.0,53810.5,41222.6,12587.900000000001
139,0015_363.7,45627.5,35729.7,9897.800000000003
140,0015_365.5,38762.2,30585.0,8177.199999999997
141,0026_000.0,45790.9,36103.8,9687.099999999999
142,0026_000.2,48021.5,37772.4,10249.099999999999
143,0026_000.4,74992.7,64878.9,10113.799999999996
144,0026_000.7,83540.3,73053.3,10487.0
145,0026_001.0,67340.1,60118.6,7221.500000000007
146,0026_001.3,58448.6,52329.0,6119.5999999999985
147,0026_001.8,66200.5,60079.3,6121.199999999997
148,0026_002.7,58019.1,50792.9,7226.199999999997
149,0026_003.0,37927.8,33115.2,4812.600000000006
150,0026_003.2,30607.5,26028.8,4578.700000000001
151,0026_003.3,24221.7,20626.5,3595.2000000000007
152,0026_003.5,14042.9,11080.1,2962.7999999999993
153,0037_000.0,47323.9,39979.4,7344.5
154,0037_001.0,44163.5,33973.9,10189.599999999999
155,0037_001.5,39132.3,31255.1,7877.200000000004
156,0037_002.0,20997.5,15987.2,5010.299999999999
157,0037_003.0,15940.6,10975.3,4965.300000000001
158,0037_003.5,13369.7,8828.0,4541.700000000001
159,0037_004.1,26689.0,17333.7,9355.3
160,0037_004.5,13022.7,8020.5,5002.200000000001
161,0037_005.7,12413.0,7620.6,4792.4
162,0037_006.2,13329.1,7712.2,5616.900000000001
163,0037_006.7,9969.0,5941.1,4027.8999999999996
164,0037_007.2,7992.1,4230.7,3761.4000000000005
165,0037_009.0,13882.9,8428.3,5454.6
166,0037_009.6,13785.0,8583.2,5201.799999999999
167,0037_010.0,17521.4,9583.1,7938.300000000001
168,0037_010.5,18266.7,9982.8,8283.900000000001
169,0037_011.5,17428.1,11741.5,5686.5999999999985
170,0038_000.0,3171.1,2254.6,916.5
171,0038_000.5,5916.6,4458.6,1458.0
172,0038_003.2,5328.0,4088.0,1240.0
173,0039_000.0,28602.6,17102.3,11500.3
174,0039_000.5,27721.9,20912.1,6809.800000000003
175,0039_001.5,25614.8,18323.6,7291.200000000001
176,0039_002.4,28732.8,18214.9,10517.899999999998
177,0039_003.5,40977.8,27719.3,13258.500000000004
178,0039_004.0,47454.6,40163.6,7291.0
179,0039_004.3,35192.7,29902.9,5289.799999999996
180,0039_005.1,29233.4,24439.3,4794.100000000002
181,0039_006.0,23301.0,17722.1,5578.9000000000015
182,0039_006.1,24119.0,18205.0,5914.0
183,0039_006.2,24425.5,18117.5,6308.0
184,0039_006.4,15464.6,12264.9,3199.7000000000007
185,0039_007.3,23698.8,20566.4,3132.399999999998
186,0039_007.7,10784.0,9310.4,1473.6000000000004
187,0039_007.9,4089.0,3555.3,533.6999999999998
188,0039_008.7,10157.0,9336.0,821.0
189,0048_000.0,43060.1,37129.6,5930.5
190,0048_000.5,39306.7,37310.5,1996.199999999997
191,0048_001.0,40474.3,37026.5,3447.800000000003
192,0048_001.5,37082.8,33997.4,3085.4000000000015
193,0048_002.0,37654.3,34492.8,3161.5
194,0048_002.5,35989.1,32516.4,3472.699999999997
195,0048_003.3,36793.9,33172.4,3621.5
196,0048_003.5,76518.9,68872.7,7646.199999999997
197,0048_003.9,48368.4,45002.8,3365.5999999999985
198,0048_004.1,38448.8,35869.8,2579.0
199,0051_000.0,12436.4,9284.2,3152.199999999999
200,0051_000.6,14977.6,12289.8,2687.800000000001
201,0051_001.0,15587.4,13410.6,2176.7999999999993
202,0051_001.6,16432.5,13921.6,2510.8999999999996
203,0051_002.4,14477.0,11019.4,3457.6000000000004
204,0052_000.0,38340.1,27376.3,10963.8
205,0052_000.5,53560.9,47870.0,5690.9000000000015
206,0052_000.6,57731.2,53513.5,4217.699999999997
207,0052_001.0,49662.6,45943.6,3719.0
208,0052_001.5,44809.0,41509.8,3299.199999999997
209,0052_001.8,34186.3,33331.6,854.7000000000044
210,0052_002.1,32500.6,32289.7,210.89999999999782
211,0052_002.6,29515.2,28024.8,1490.4000000000015
212,0052_003.1,27846.2,25255.7,2590.5
213,0052_003.7,40262.6,36562.3,3700.2999999999956
214,0053_000.1,21625.6,18078.6,3547.0
215,0053_000.9,28459.5,24573.1,3886.4000000000015
216,0053_001.5,14938.5,17331.7,-2393.2000000000007
217,0053_001.7,20973.3,20035.7,937.5999999999985
218,0053_001.8,13580.0,13136.7,443.2999999999993
219,0060_000.0,8195.8,5546.4,2649.3999999999996
220,0060_000.8,4109.0,2301.5,1807.5
221,0060_003.7,3212.5,1862.6,1349.9
222,0060_004.4,10384.9,8389.9,1995.0
223,0060_007.4,7713.5,6475.8,1237.6999999999998
224,0065_000.1,749.3,453.8,295.49999999999994
225,0065_002.4,546.0,376.0,170.0
226,0067_000.0,92534.3,82076.8,10457.5
227,0067_001.0,92534.3,82076.8,10457.5
228,0067_004.0,24026.4,19651.8,4374.600000000002
229,0067_004.1,91799.7,82532.2,9267.5
230,0067_007.3,91574.0,81759.2,9814.800000000003
231,0067_010.1,73844.3,68231.3,5613.0
232,0068_000.0,3361.2,2207.5,1153.6999999999998
233,0068_009.1,3383.7,2242.0,1141.6999999999998
234,0068_012.8,3386.3,2244.3,1142.0
235,0068_017.2,4556.9,2473.6,2083.2999999999997
236,0068_023.7,18500.4,9575.7,8924.7
237,0068_024.7,23940.2,15371.8,8568.400000000001
238,0068_025.0,27586.5,17000.5,10586.0
239,0068_025.4,27467.2,19087.8,8379.400000000001
240,0068_026.5,34919.5,25269.7,9649.8
241,0068_026.9,36035.1,26401.0,9634.099999999999
242,0068_027.4,40676.6,28739.7,11936.899999999998
243,0068_028.3,46871.0,36029.5,10841.5
244,0068_029.3,57099.1,43925.7,13173.400000000001
245,0068_029.7,57053.2,45827.4,11225.799999999996
246,0068_030.5,51498.3,40607.7,10890.600000000006
247,0068_031.0,71591.1,57119.8,14471.300000000003
248,0068_031.5,75998.9,59890.1,16108.799999999996
249,0068_031.7,30277.5,21388.2,8889.3
250,0068_032.2,30301.4,21787.4,8514.0
251,0068_032.4,31365.5,21524.3,9841.2
252,0068_032.7,24870.4,18520.3,6350.100000000002
253,0068_033.3,31566.0,23181.6,8384.400000000001
254,0068_033.6,33497.8,27500.7,5997.100000000002
255,0068_034.0,29545.0,20184.0,9361.0
256,0068_034.5,34032.7,24322.0,9710.699999999997
257,0068_034.6,32888.4,27549.8,5338.600000000002
258,0068_036.0,34150.4,29073.3,5077.100000000002
259,0068_038.1,28766.0,24324.7,4441.299999999999
260,0068_039.2,20066.1,17262.3,2803.7999999999993
261,0068_039.8,35709.0,28853.1,6855.9000000000015
262,0068_040.1,30998.3,24687.3,6311.0
263,0068_040.8,34933.3,28897.2,6036.100000000002
264,0068_041.3,36548.6,28814.2,7734.399999999998
265,0068_042.3,37762.9,31812.8,5950.100000000002
266,0068_043.3,39753.4,33806.7,5946.700000000004
267,0068_043.8,31798.1,27768.4,4029.699999999997
268,0068_045.1,39058.7,34107.2,4951.5
269,0068_045.8,44465.6,36161.2,8304.400000000001
270,0068_046.8,32882.7,27802.2,5080.499999999996
271,0068_047.2,33204.3,28723.1,4481.200000000004
272,0068_047.8,43263.6,36411.7,6851.9000000000015
273,0068_048.3,39024.1,34695.0,4329.0999999999985
274,0068_049.3,42749.5,45553.6,-2804.0999999999985
275,0068_050.3,72956.8,67727.8,5229.0
276,0068_050.7,48893.3,44841.7,4051.600000000006
277,0068_051.3,40586.9,35534.4,5052.5
278,0068_052.1,43393.3,38390.9,5002.4000000000015
279,0068_052.3,35892.7,31044.6,4848.0999999999985
280,0068_053.1,47041.0,40837.9,6203.0999999999985
281,0068_053.3,33966.1,29164.8,4801.299999999999
282,0068_054.3,20709.3,17473.6,3235.7000000000007
283,0068_054.8,23060.4,20438.8,2621.600000000002
284,0068_055.7,52069.3,47061.1,5008.200000000004
285,0068_056.2,35331.1,31610.2,3720.899999999998
286,0068_056.3,28807.7,24906.7,3901.0
287,0068_056.8,18695.4,15922.0,2773.4000000000015
288,0068_057.3,20990.9,18251.7,2739.2000000000007
289,0068_058.1,18265.7,15163.3,3102.4000000000015
290,0068_058.7,24371.3,21350.0,3021.2999999999993
291,0068_059.1,41209.6,38786.5,2423.0999999999985
292,0068_059.5,18771.8,17736.4,1035.3999999999978
293,0068_060.4,20320.2,19854.6,465.6000000000022
294,0068_060.8,11754.1,11600.3,153.8000000000011
295,0068_061.8,8306.5,8490.9,-184.39999999999964
296,0068_062.6,13280.1,13600.0,-319.89999999999964
297,0068_063.8,36140.5,35897.5,243.0
298,0068_064.4,29938.7,29153.8,784.9000000000015
299,0068_065.7,19235.8,17498.6,1737.2000000000007
300,0068_066.6,16834.8,14177.5,2657.2999999999993
301,0068_067.3,18309.6,14314.1,3995.499999999998
302,0068_068.2,17781.6,15359.8,2421.7999999999993
303,0068_068.7,17287.2,14953.0,2334.2000000000007
304,0068_068.9,23585.9,19923.0,3662.9000000000015
305,0068_069.0,42201.3,39393.8,2807.5
306,0068_069.2,22252.0,21252.4,999.5999999999985
307,0068_069.6,11575.8,11564.6,11.199999999998909
308,0068_070.0,9555.6,9687.0,-131.39999999999964
309,0068_070.2,12536.3,12460.1,76.19999999999891
310,0068_070.5,13052.7,13147.2,-94.5
311,0071_000.0,36189.8,32450.2,3739.600000000002
312,0071_000.4,32655.1,28523.6,4131.5
313,0071_001.4,34422.5,29861.8,4560.700000000001
314,0071_002.4,32304.8,26536.9,5767.899999999998
315,0071_002.9,35010.1,28570.3,6439.799999999999
316,0071_004.1,38152.7,34242.6,3910.0999999999985
317,0071_004.7,53536.2,48424.4,5111.799999999996
318,0071_005.0,68249.8,61284.4,6965.4000000000015
319,0071_005.1,55178.6,49113.2,6065.4000000000015
320,0071_005.5,43446.6,38489.5,4957.0999999999985
321,0071_006.0,13376.6,11919.5,1457.1000000000004
322,0071_006.6,15016.2,13366.5,1649.7000000000007
323,0071_007.2,27534.2,24970.8,2563.4000000000015
324,0071_007.7,25545.3,23365.0,2180.2999999999993
325,0071_008.2,22242.1,19758.4,2483.699999999997
326,0071_009.2,34932.7,32043.4,2889.2999999999956
327,0071_009.7,33075.1,29614.7,3460.399999999998
328,0071_010.2,39766.9,36747.8,3019.0999999999985
329,0071_010.7,38223.1,35369.9,2853.199999999997
330,0071_011.5,38519.7,35659.4,2860.2999999999956
331,0071_011.7,37793.2,35370.0,2423.199999999997
332,0071_012.2,37388.6,34779.5,2609.0999999999985
333,0071_012.6,45550.5,42946.5,2604.0
334,0071_012.7,29817.3,26786.9,3030.399999999998
335,0071_013.3,22100.3,20099.2,2001.0999999999985
336,0071_014.1,20400.2,18574.0,1826.2000000000007
337,0071_014.6,24496.4,21920.4,2576.0
338,0071_015.7,36111.4,33075.2,3036.2000000000044
339,0071_016.5,47086.7,41757.1,5329.5999999999985
