SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_141.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,106,131,149,0.06,0.07,0.08
0006_141.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,77,90,103,0.04,0.05,0.05
0006_141.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,137,152,172,0.07,0.07,0.08
0006_146.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,106,130,148,0.07,0.08,0.09
0006_146.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,77,91,103,0.04,0.05,0.06
0006_146.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,137,152,173,0.07,0.08,0.09
0006_149.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,139,170,194,0.09,0.11,0.12
0006_149.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,124,145,165,0.07,0.08,0.09
0006_149.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,253,280,319,0.13,0.14,0.16
0006_150.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,138,169,193,0.08,0.1,0.12
0006_150.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,124,145,166,0.07,0.08,0.09
0006_150.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,251,278,316,0.13,0.14,0.16
0006_152.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1966,143,176,200,0.1,0.13,0.14
0006_152.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1966,127,148,168,0.07,0.09,0.1
0006_152.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1966,244,271,308,0.15,0.16,0.19
0006_152.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2022,218,266,302,0.14,0.17,0.19
0006_152.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2022,205,233,264,0.11,0.12,0.14
0006_152.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2022,348,375,426,0.19,0.21,0.24
0006_155.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,250,302,343,0.16,0.19,0.22
0006_155.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,233,268,305,0.12,0.14,0.16
0006_155.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,396,454,516,0.22,0.25,0.29
0006_155.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,287,349,398,0.18,0.22,0.25
0006_155.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,273,310,352,0.14,0.16,0.18
0006_155.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,453,488,555,0.24,0.26,0.3
0006_157.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,285,347,395,0.17,0.21,0.23
0006_157.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,274,311,353,0.14,0.16,0.18
0006_157.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,446,481,546,0.24,0.25,0.29
0006_157.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2120,278,338,385,0.17,0.2,0.23
0006_157.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2120,276,313,355,0.14,0.16,0.18
0006_157.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2120,441,475,541,0.23,0.25,0.28
0006_158.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,317,382,434,0.2,0.24,0.27
0006_158.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,313,360,410,0.17,0.19,0.22
0006_158.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,501,573,652,0.27,0.31,0.36
0006_158.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,317,382,434,0.2,0.24,0.27
0006_158.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,313,360,410,0.17,0.19,0.22
0006_158.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,500,574,652,0.27,0.31,0.36
0006_159.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,429,518,589,0.27,0.32,0.37
0006_159.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,428,493,560,0.22,0.26,0.29
0006_159.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,660,757,860,0.36,0.41,0.47
0006_159.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,419,505,575,0.24,0.29,0.33
0006_159.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,440,507,576,0.22,0.25,0.29
0006_159.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,644,738,839,0.35,0.4,0.45
0006_159.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2002,918,1108,1258,0.62,0.75,0.85
0006_159.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2002,801,924,1050,0.42,0.48,0.54
0006_159.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2002,1229,1407,1599,0.73,0.83,0.94
0006_160.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1950,1342,1620,1841,0.46,0.56,0.64
0006_160.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1950,1192,1373,1561,0.32,0.36,0.41
0006_160.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1950,1827,2093,2379,0.56,0.64,0.73
0006_173.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,2617,3163,3439,0.63,0.76,0.82
0006_173.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1838,2170,2547,2769,0.42,0.5,0.54
0006_173.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1838,3352,3636,3952,0.64,0.69,0.75
0006_173.7,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,2580,3118,3390,0.66,0.79,0.86
