,SEGID,FUNCGROUP,AREATYPE,FT,Dir,Period_TDM,VOL,PercentTrucksMD,PercentTrucksHV,VolPercentSegDY,SegTotalDYVol,LANES,Cap1Hr,DOWFACFC,SsnGrp,FYEAR,ForecastAADT,ForecastAAPeriodT,Vol_From,Vol_To,SiteGroupSeason,SeasonGroup,SeasonFactor,ForecastASeasonPeriodT,SiteGroupDOW,DOWGroup,DOWFactor,ForecastASeasonDOWPeriodT,Period,HourPercentOf,VolMaxHourPercent,VCGroupCode,ForecastPeakHour,FactorTrucks,ForecastPeakHourPCE,PeriodHours,VCPeakHourPCE,PHF,ForecastPeak15MinPCE,VCPeak15MinPCE,kFactor_effective
106,MAG_6088,Arterial,1.0,3.0,D1,AM,91.3,0.12705366922234393,0.15991237677984665,0.08193484698914116,1114.3,1.0,983.0,Arterial,StatewideArterial,2040,60.799999999999955,5.0,0,2500,SNP,M01-Jan,0.815,4.074999999999999,WD0,W1-Weekday,0.938,3.8223499999999992,AM,Period,0.413057961359094,JanWkAM,1.5788520986009327,1.105366922234392,1.745210884893824,3,0.0017753925583863927,0.88,1.9831941873793453,0.0020174915436209006,0.025967962148041677
107,MAG_6088,Arterial,1.0,3.0,D2,AM,93.7,0.1152614727854856,0.15048025613660618,0.08408866552992911,1114.3,1.0,983.0,Arterial,StatewideArterial,2040,60.799999999999955,5.0,0,2500,SNP,M01-Jan,0.815,4.074999999999999,WD0,W1-Weekday,0.938,3.8223499999999992,AM,Period,0.413057961359094,JanWkAM,1.5788520986009327,1.0982924226254,1.7340412963396155,3,0.001764029802990453,0.88,1.9705014731131993,0.0020045793215800606,0.025967962148041677
108,MAG_6089,Arterial,1.0,3.0,D1,AM,89.09999999999998,0.06509539842873177,0.07856341189674525,0.11443616748009244,778.6,1.0,983.0,Arterial,StatewideArterial,2040,47.10000000000002,5.0,0,2500,SNP,M01-Jan,0.815,4.074999999999999,WD0,W1-Weekday,0.938,3.8223499999999992,AM,Period,0.413057961359094,JanWkAM,1.5788520986009327,1.0523007856341189,1.6614273037578389,3,0.001690160024168707,0.88,1.8879855724520895,0.001920636391100803,0.033521275978788366
109,MAG_6089,Arterial,1.0,3.0,D2,AM,27.1,0.24723247232472323,0.2952029520295203,0.03480606216285641,778.6,1.0,983.0,Arterial,StatewideArterial,2040,47.10000000000002,2.0,0,2500,SNP,M01-Jan,0.815,1.63,WD0,W1-Weekday,0.938,1.5289399999999997,AM,Period,0.413057961359094,JanWkAM,0.6315408394403731,1.1970479704797048,0.7559846801271477,3,0.0007690586776471492,0.88,0.859073500144486,0.0008739303155081242,0.013408510391515346
110,MAG_6176,Arterial,1.0,5.0,D1,AM,72.59999999999998,0.13360881542699726,0.150137741046832,0.08180281690140843,887.5,1.0,578.0,Arterial,StatewideArterial,2040,20.600000000000023,2.0,0,2500,SNP,M01-Jan,0.815,1.63,WD0,W1-Weekday,0.938,1.5289399999999997,AM,Period,0.413057961359094,JanWkAM,0.6315408394403731,1.1017906336088155,0.6958257816368518,3,0.0012038508332817505,0.88,0.7907111154964225,0.0013680123105474437,0.0306573223029307
111,MAG_6176,Arterial,1.0,5.0,D2,AM,52.8,0.12121212121212123,0.14393939393939395,0.05949295774647887,887.5,1.0,578.0,Arterial,StatewideArterial,2040,20.600000000000023,1.0,0,2500,SNP,M01-Jan,0.815,0.815,WD0,W1-Weekday,0.938,0.7644699999999999,AM,Period,0.413057961359094,JanWkAM,0.31577041972018655,1.0962121212121212,0.34615136161750754,3,0.0005988777882655839,0.88,0.39335382001989494,0.0006805429412108909,0.01532866115146535
