,SEGID,FYEAR,SiteGroup,MonthGroup,DOWGroup,Period,VC15Min_Max
0,0013_000.0,2017,SNT,M07-Jul,5-Friday,PM,0.3224901537065114
1,0013_000.6,2017,SNT,M07-Jul,5-Friday,PM,0.2935504225474094
2,0013_001.3,2017,SNU,M07-Jul,5-Friday,PM,0.2473813777494623
3,0013_001.6,2017,SNT,M07-Jul,5-Friday,PM,0.23650439576688453
4,0013_001.8,2017,SNT,M07-Jul,5-Friday,PM,0.23555144381849608
5,0013_002.5,2017,SNT,M07-Jul,5-Friday,PM,0.2529220293416255
6,0013_002.9,2017,SNT,M07-Jul,5-Friday,PM,0.18721452776779962
7,0013_003.3,2017,SNS,M07-Jul,5-Friday,PM,0.2401178173329443
8,0013_004.9,2017,SNS,M07-Jul,5-Friday,PM,0.35577533935982697
9,0013_005.6,2017,SNQ,M07-Jul,5-Friday,PM,0.3887747323369082
10,0015_285.8,2017,SN6,M07-Jul,5-Friday,PM,0.6057608236701439
11,0015_286.8,2017,SN6,M07-Jul,5-Friday,PM,0.5991943734583829
12,0015_288.2,2017,SN7,M07-Jul,5-Friday,PM,0.49696144376995555
13,0015_289.8,2017,SN7,M07-Jul,5-Friday,PM,0.618089898296532
14,0015_291.4,2017,SN7,M07-Jul,5-Friday,PM,0.5485751217703931
15,0015_292.6,2017,SN7,M07-Jul,5-Friday,PM,0.554685780373227
16,0015_293.0,2017,SN7,M07-Jul,5-Friday,PM,0.5615927732521148
17,0015_293.6,2017,SN7,M07-Jul,5-Friday,PM,0.5615927732521148
18,0015_295.6,2017,SN7,M07-Jul,5-Friday,PM,0.5819602143334304
19,0015_297.9,2017,SN7,M07-Jul,5-Friday,PM,0.5862221232678739
20,0015_299.0,2017,SN7,M07-Jul,5-Friday,PM,0.6265476227524016
21,0015_300.3,2017,SN7,M07-Jul,5-Friday,PM,0.7061005507730967
22,0015_301.7,2017,SN7,M07-Jul,5-Friday,PM,0.7251015770824173
23,0015_302.5,2017,SN7,M07-Jul,5-Friday,PM,0.7251015770824173
24,0015_303.4,2017,SN6,M07-Jul,5-Friday,PM,0.7307016692135311
25,0015_304.7,2017,SN6,M07-Jul,5-Friday,PM,0.8137174796920787
26,0015_305.2,2017,SN7,M07-Jul,5-Friday,PM,0.5841087386071248
27,0015_305.9,2017,SN7,M07-Jul,5-Friday,PM,0.6226320135397837
28,0015_306.3,2017,SN7,M07-Jul,5-Friday,PM,0.756368227297588
29,0015_307.2,2017,SN7,M07-Jul,5-Friday,PM,0.7647026815616798
30,0015_307.5,2017,SN7,M07-Jul,5-Friday,PM,0.6511887303224316
31,0015_307.6,2017,SN7,M07-Jul,5-Friday,PM,0.4272580224736713
32,0015_307.8,2017,SN7,M07-Jul,5-Friday,PM,0.5149160248039946
33,0015_308.4,2017,SN7,M07-Jul,5-Friday,PM,0.5234331372946411
34,0015_309.3,2017,SN6,M07-Jul,5-Friday,PM,0.5981139478428322
35,0015_310.2,2017,SN6,M07-Jul,5-Friday,PM,0.6013474704164988
36,0015_311.4,2017,SN6,M07-Jul,5-Friday,PM,0.620577210114945
37,0015_311.8,2017,SN6,M07-Jul,5-Friday,PM,0.7911409447335581
38,0015_313.7,2017,SN7,M07-Jul,5-Friday,PM,0.60070528485968
39,0015_315.3,2017,SN7,M07-Jul,5-Friday,PM,0.6088858737925863
40,0015_316.9,2017,SN6,M07-Jul,5-Friday,PM,0.6275929156396783
