,SEGID,FYEAR,SiteGroup,MonthGroup,DOWGroup,Period,VC15Min_Max
0,0013_000.0,2050,SNT,M10-Oct,W1-Weekday,PM,0.34663025246680396
1,0013_000.6,2050,SNT,M10-Oct,W1-Weekday,PM,0.30782851600985023
2,0013_001.3,2050,SNU,M10-Oct,W1-Weekday,PM,0.23099017383336512
3,0013_001.6,2050,SNT,M10-Oct,W1-Weekday,PM,0.24297015055229365
4,0013_001.8,2050,SNT,M10-Oct,W1-Weekday,PM,0.2566572760683382
5,0013_002.5,2050,SNT,M10-Oct,W1-Weekday,PM,0.28345813430360844
6,0013_002.9,2050,SNT,M10-Oct,W1-Weekday,PM,0.229543987268196
7,0013_003.3,2050,SNS,M10-Oct,W1-Weekday,PM,0.27031131788689744
8,0013_004.9,2050,SNS,M10-Oct,W1-Weekday,PM,0.392658960710275
9,0013_005.6,2050,SNQ,M10-Oct,W1-Weekday,PM,0.4420895769110145
10,0015_285.8,2050,SN6,M10-Oct,W1-Weekday,PM,1.091436001285677
11,0015_286.8,2050,SN6,M10-Oct,W1-Weekday,PM,1.0796048298369456
12,0015_288.2,2050,SN7,M10-Oct,W1-Weekday,PM,0.9201682322828894
13,0015_289.8,2050,SN7,M10-Oct,W1-Weekday,PM,1.114974663718621
14,0015_291.4,2050,SN7,M10-Oct,W1-Weekday,PM,1.074174784836207
15,0015_292.6,2050,SN7,M10-Oct,W1-Weekday,PM,1.028476961204431
16,0015_293.0,2050,SN7,M10-Oct,W1-Weekday,PM,1.0155211210938067
17,0015_293.6,2050,SN7,M10-Oct,W1-Weekday,PM,1.0411494143706221
18,0015_295.6,2050,SN7,M10-Oct,W1-Weekday,PM,0.7706266223275364
19,0015_297.9,2050,SN7,M10-Oct,W1-Weekday,PM,0.878338637090865
20,0015_299.0,2050,SN7,M10-Oct,W1-Weekday,PM,0.9570895513117522
21,0015_300.3,2050,SN7,M10-Oct,W1-Weekday,PM,1.002104645599279
22,0015_301.7,2050,SN7,M10-Oct,W1-Weekday,PM,1.0041320029351122
23,0015_302.5,2050,SN7,M10-Oct,W1-Weekday,PM,1.0041320029351122
24,0015_303.4,2050,SN6,M10-Oct,W1-Weekday,PM,0.9418539227360935
25,0015_304.7,2050,SN6,M10-Oct,W1-Weekday,PM,0.9786209046581101
26,0015_305.2,2050,SN7,M10-Oct,W1-Weekday,PM,0.7778044089955405
27,0015_305.9,2050,SN7,M10-Oct,W1-Weekday,PM,0.7984472588358646
28,0015_306.3,2050,SN7,M10-Oct,W1-Weekday,PM,0.9503191998226312
29,0015_307.2,2050,SN7,M10-Oct,W1-Weekday,PM,0.9607908082553501
30,0015_307.5,2050,SN7,M10-Oct,W1-Weekday,PM,0.952474306834229
31,0015_307.6,2050,SN7,M10-Oct,W1-Weekday,PM,0.7143963839797053
32,0015_307.8,2050,SN7,M10-Oct,W1-Weekday,PM,0.7656941638368696
33,0015_308.4,2050,SN7,M10-Oct,W1-Weekday,PM,0.7819462516708654
34,0015_309.3,2050,SN6,M10-Oct,W1-Weekday,PM,0.8921015467903045
35,0015_310.2,2050,SN6,M10-Oct,W1-Weekday,PM,0.9038238432555352
36,0015_311.4,2050,SN6,M10-Oct,W1-Weekday,PM,0.9160276759248662
37,0015_311.8,2050,SN6,M10-Oct,W1-Weekday,PM,1.0878189305486152
38,0015_313.7,2050,SN7,M10-Oct,W1-Weekday,PM,0.7534711969543142
39,0015_315.3,2050,SN7,M10-Oct,W1-Weekday,PM,0.7676128626302536
40,0015_316.9,2050,SN6,M10-Oct,W1-Weekday,PM,0.742979315850682
41,0015_317.6,2050,SN6,M10-Oct,W1-Weekday,PM,0.7087706876598879
42,0015_318.3,2050,SN7,M10-Oct,W1-Weekday,PM,0.7026102823999744
43,0015_319.5,2050,SN6,M10-Oct,W1-Weekday,PM,0.7982020729425512
44,0015_321.0,2050,SN6,M10-Oct,W1-Weekday,PM,0.6577541499009758
45,0015_322.0,2050,SN6,M10-Oct,W1-Weekday,PM,0.6195154718038589
46,0015_323.8,2050,SN6,M10-Oct,W1-Weekday,PM,0.736212172983541
47,0015_324.4,2050,SN6,M10-Oct,W1-Weekday,PM,0.8653940647576598
48,0015_325.6,2050,SN6,M10-Oct,W1-Weekday,PM,0.8525310092115072
49,0015_328.7,2050,SN6,M10-Oct,W1-Weekday,PM,0.9670592298076298
50,0015_330.1,2050,SN7,M10-Oct,W1-Weekday,PM,0.8485813403233967
51,0015_331.6,2050,SN7,M10-Oct,W1-Weekday,PM,1.0493960581772381
52,0015_332.9,2050,SN7,M10-Oct,W1-Weekday,PM,0.9789952516992511
53,0015_334.1,2050,SN6,M10-Oct,W1-Weekday,PM,0.9904371884634752
54,0015_335.8,2050,SN6,M10-Oct,W1-Weekday,PM,0.9841460399723218
55,0015_337.0,2050,SN6,M10-Oct,W1-Weekday,PM,0.961210366709452
56,0015_338.5,2050,SN6,M10-Oct,W1-Weekday,PM,0.9396111651860903
57,0015_339.1,2050,SN7,M10-Oct,W1-Weekday,PM,0.8679468607005538
58,0015_340.3,2050,SN6,M10-Oct,W1-Weekday,PM,0.8485276313643357
59,0015_342.0,2050,SN6,M10-Oct,W1-Weekday,PM,0.8874821752438427
60,0015_343.1,2050,SN6,M10-Oct,W1-Weekday,PM,0.8378974513789283
61,0015_343.9,2050,SN5,M10-Oct,W1-Weekday,PM,0.6692082444174261
62,0015_345.0,2050,SN5,M10-Oct,W1-Weekday,PM,0.7571420808329673
63,0015_346.7,2050,SN5,M10-Oct,W1-Weekday,PM,0.6543633060721298
