SEGID,DailyVolScenario,DailyVolBase,DailyVolAdj
0006_146.9,1546.0000000000002,1559.0,-12.999999999999773
0006_149.9,1998.1000000000001,1755.5,242.60000000000014
0006_150.6,2226.2999999999997,1970.6999999999998,255.5999999999999
0006_152.6,3243.1,2894.4,348.6999999999998
0006_152.9,4373.1,3986.8,386.3000000000002
0006_155.9,3362.6000000000004,3114.0,248.60000000000036
0006_157.3,4748.5,4544.2,204.30000000000018
0006_157.6,5224.099999999999,5059.599999999999,164.5
0006_158.5,8396.5,8011.599999999999,384.90000000000055
0006_159.6,12551.3,11940.1,611.1999999999989
0006_159.8,14055.0,13629.4,425.60000000000036
0006_160.3,18707.9,18536.0,171.90000000000146
0006_173.4,59664.00000000001,56026.299999999996,3637.7000000000116
0006_173.7,51408.700000000004,50759.600000000006,649.0999999999985
0006_174.0,40731.799999999996,42112.6,-1380.800000000003
0006_174.4,40731.799999999996,42112.6,-1380.800000000003
0006_174.9,27288.0,30374.699999999997,-3086.699999999997
0006_175.6,27288.0,26165.100000000002,1122.8999999999978
0006_176.1,17078.5,17915.3,-836.7999999999993
0006_177.0,20883.2,22489.5,-1606.2999999999993
0006_177.2,21552.600000000002,22489.5,-936.8999999999978
0006_177.5,15125.199999999999,15160.5,-35.30000000000109
0006_177.9,13423.400000000001,13466.400000000001,-43.0
0013_000.0,13203.2,12758.4,444.8000000000011
0013_000.6,14727.6,14121.199999999999,606.4000000000015
0013_001.3,16873.2,16128.699999999999,744.5000000000018
0013_001.6,15206.6,14809.199999999999,397.40000000000146
0013_001.8,12202.800000000001,11787.6,415.2000000000007
0013_002.5,9879.1,9460.2,418.89999999999964
0013_002.9,5772.4,5335.799999999999,436.60000000000036
0013_003.3,7917.200000000001,7293.6,623.6000000000004
0013_004.9,7109.699999999999,6924.400000000001,185.29999999999836
0013_005.6,10325.900000000001,10339.1,-13.199999999998909
0015_241.6,32400.5,32504.3,-103.79999999999927
0015_242.4,36400.1,36576.399999999994,-176.29999999999563
0015_244.8,51148.2,51871.99999999999,-723.7999999999956
0015_246.9,51148.2,51871.99999999999,-723.7999999999956
0015_248.8,58500.399999999994,60008.399999999994,-1508.0
0015_250.3,28346.7,29176.4,-829.7000000000007
0015_250.9,77773.3,75757.00000000001,2016.2999999999884
0015_251.6,80568.1,75369.8,5198.300000000003
0015_252.5,80568.1,83756.20000000001,-3188.100000000006
0015_253.6,87042.3,87487.9,-445.59999999999127
0015_255.9,87042.3,98660.1,-11617.800000000003
0015_257.3,94557.00000000001,104938.8,-10381.799999999988
0015_257.6,167788.09999999998,158743.1,9044.99999999997
0015_258.8,153916.9,161374.50000000006,-7457.600000000064
0015_260.0,174241.80000000002,177340.2,-3098.399999999994
0015_261.8,188824.79999999996,192453.59999999998,-3628.8000000000175
0015_263.4,149355.59999999998,154226.5,-4870.900000000023
0015_264.2,149355.59999999998,154226.5,-4870.900000000023
0015_265.6,157152.10000000003,167458.80000000002,-10306.699999999983
0015_266.5,157152.10000000003,189633.2,-32481.099999999977
0015_267.9,157152.10000000003,189633.2,-32481.099999999977
0015_269.0,180438.6,199884.5,-19445.899999999994
0015_269.6,180438.6,199884.5,-19445.899999999994
0015_270.6,208567.4,225871.59999999998,-17304.199999999983
0015_271.6,219732.4,238104.60000000006,-18372.20000000007
0015_272.7,221249.6,240291.4,-19041.79999999999
0015_274.7,221249.6,231246.89999999997,-9997.29999999996
0015_275.3,221192.40000000002,242956.29999999996,-21763.899999999936
0015_276.4,212890.2,230007.1,-17116.899999999994
0015_278.5,190216.40000000002,213207.1,-22990.699999999983
0015_279.6,182106.50000000003,215297.6,-33191.09999999998
0015_282.2,189679.60000000003,213647.90000000005,-23968.300000000017
0015_283.3,207777.80000000005,213466.60000000006,-5688.8000000000175
0015_283.9,246961.70000000004,255924.30000000005,-8962.600000000006
0015_285.1,246907.10000000003,257749.30000000002,-10842.199999999983
0015_285.8,237501.99999999997,252616.89999999997,-15114.899999999994
0015_286.8,237499.90000000002,252617.3,-15117.399999999965
0015_288.2,241904.3,253341.9,-11437.600000000006
0015_289.8,258093.2,285051.1000000001,-26957.90000000008
0015_291.4,267165.89999999997,305613.39999999997,-38447.5
0015_292.6,265552.0,304097.3,-38545.29999999999
0015_293.0,268848.0,315921.6,-47073.59999999998
0015_293.6,268848.0,315656.19999999995,-46808.19999999995
0015_295.6,386907.70000000007,359627.30000000005,27280.400000000023
0015_297.9,323201.69999999995,355037.1999999999,-31835.49999999994
0015_299.0,244508.50000000003,277942.80000000005,-33434.30000000002
0015_300.3,251835.7,279915.69999999995,-28079.99999999994
0015_301.7,252721.30000000002,278164.7,-25443.399999999994
0015_302.5,252721.30000000002,278164.7,-25443.399999999994
0015_303.4,254194.90000000002,274658.4000000001,-20463.50000000006
0015_304.7,216760.5,239437.99999999997,-22677.49999999997
0015_305.2,305217.5,321954.4000000001,-16736.90000000008
0015_305.9,282732.70000000007,294977.6999999999,-12244.999999999825
0015_306.3,241276.3,250840.9,-9564.600000000006
0015_307.2,241276.99999999997,250841.0,-9564.00000000003
0015_307.5,180079.80000000002,203401.30000000005,-23321.50000000003
0015_307.6,253778.69999999998,277038.10000000003,-23259.400000000052
0015_307.8,166161.1,184772.70000000004,-18611.600000000035
0015_308.4,165291.1,183854.70000000004,-18563.600000000035
0015_309.3,164262.9,181113.79999999996,-16850.899999999965
0015_310.2,167061.09999999998,185780.59999999995,-18719.49999999997
0015_311.4,156959.79999999996,178696.00000000003,-21736.20000000007
0015_311.8,150018.7,173353.40000000005,-23334.70000000004
0015_313.7,180475.2,191989.70000000004,-11514.50000000003
0015_315.3,167772.0,180482.80000000002,-12710.800000000017
0015_316.9,159668.4,171698.79999999996,-12030.399999999965
0015_317.6,142715.90000000002,155030.09999999998,-12314.199999999953
0015_318.3,159496.20000000004,171226.89999999997,-11730.699999999924
0015_319.5,155376.8,164092.40000000002,-8715.600000000035
0015_321.0,142231.7,149333.80000000002,-7102.100000000006
0015_322.0,124203.60000000002,133886.8,-9683.199999999968
0015_323.8,75998.50000000001,86084.9,-10086.39999999998
0015_324.4,133155.1,140272.59999999995,-7117.499999999942
0015_325.6,132150.19999999998,143596.3,-11446.100000000006
0015_328.7,140154.19999999998,148845.59999999998,-8691.399999999994
0015_330.1,139825.9,147160.79999999996,-7334.899999999965
0015_331.6,130512.4,138745.80000000002,-8233.400000000023
0015_332.9,138794.5,147470.40000000002,-8675.900000000023
0015_334.1,151117.19999999998,158552.40000000005,-7435.20000000007
0015_335.8,155637.49999999997,169781.29999999996,-14143.799999999988
0015_337.0,155880.89999999997,165540.99999999997,-9660.100000000006
0015_338.5,134034.59999999998,142050.19999999998,-8015.600000000006
0015_339.1,110014.3,116632.40000000002,-6618.10000000002
0015_340.3,132608.3,136654.8,-4046.5
0015_342.0,126558.2,129513.4,-2955.199999999997
0015_343.1,123690.59999999999,128683.2,-4992.600000000006
0015_343.9,115952.2,114882.40000000002,1069.7999999999738
0015_345.0,100794.3,101602.59999999999,-808.2999999999884
0015_346.7,90235.8,91505.8,-1270.0
0015_349.4,70677.5,71590.2,-912.6999999999971
0015_351.9,66326.7,66939.0,-612.3000000000029
0015_357.6,63097.899999999994,63672.299999999996,-574.4000000000015
0015_362.0,44633.7,44524.7,109.0
0015_363.7,38536.7,38504.2,32.5
0015_365.5,31516.1,31547.999999999996,-31.899999999997817
0026_000.0,39993.399999999994,39380.6,612.7999999999956
0026_000.2,39873.5,39343.1,530.4000000000015
0026_000.4,63894.399999999994,64760.299999999996,-865.9000000000015
0026_000.7,67009.70000000001,67739.0,-729.2999999999884
