SEGID,DailyVolScenario,DailyVolBase,DailyVolAdj
0006_146.9,1685.8,1684.8999999999999,0.900000000000091
0006_149.9,2111.0,2230.4,-119.40000000000009
0006_150.6,2340.3,2456.5000000000005,-116.20000000000027
0006_152.6,3251.4999999999995,3346.8,-95.30000000000064
0006_152.9,4679.9,4750.799999999999,-70.89999999999964
0006_155.9,3773.3,3830.0,-56.69999999999982
0006_157.3,5916.6,5995.5,-78.89999999999964
0006_157.6,7636.699999999999,7745.6,-108.90000000000146
0006_158.5,13236.1,13280.4,-44.29999999999927
0006_159.6,21092.300000000003,21049.3,43.00000000000364
0006_159.8,20671.7,20743.8,-72.09999999999854
0006_160.3,28005.3,28256.5,-251.20000000000073
0006_173.4,80982.59999999999,79762.0,1220.5999999999913
0006_173.7,67205.2,66806.20000000001,398.99999999998545
0006_174.0,56066.200000000004,55982.200000000004,84.0
0006_174.4,54504.9,54414.6,90.30000000000291
0006_174.9,46088.0,45960.0,128.0
0006_175.6,31335.299999999996,31172.4,162.89999999999418
0006_176.1,20919.5,20803.6,115.90000000000146
0006_177.0,23151.7,23071.699999999997,80.00000000000364
0006_177.2,23151.7,23071.699999999997,80.00000000000364
0006_177.5,19530.0,19510.5,19.5
0006_177.9,15246.699999999999,15233.999999999998,12.700000000000728
0013_000.0,13243.7,13256.2,-12.5
0013_000.6,14428.199999999999,14441.800000000001,-13.600000000002183
0013_001.3,16657.0,16673.8,-16.799999999999272
0013_001.6,15358.800000000001,15361.500000000002,-2.7000000000007276
0013_001.8,12218.400000000001,12227.7,-9.299999999999272
0013_002.5,9936.2,9945.2,-9.0
0013_002.9,5815.7,5823.8,-8.100000000000364
0013_003.3,8870.1,8875.0,-4.899999999999636
0013_004.9,8829.0,8835.900000000001,-6.900000000001455
0013_005.6,12384.599999999999,12378.999999999998,5.600000000000364
0015_241.6,37848.100000000006,37803.200000000004,44.900000000001455
0015_242.4,45205.2,45012.899999999994,192.3000000000029
0015_244.8,67530.8,67412.5,118.30000000000291
0015_246.9,67530.8,67412.5,118.30000000000291
0015_248.8,82474.8,81339.00000000001,1135.7999999999884
0015_250.3,39820.7,39233.0,587.6999999999971
0015_250.9,81631.8,81053.90000000001,577.8999999999942
0015_251.6,117697.9,115284.5,2413.399999999994
