,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2053.0,2115.0,-62.0
1,0006_146.9,2059.0,2122.0,-63.0
2,0006_149.9,3431.0,2756.2,674.8000000000002
3,0006_150.6,3673.0,2997.9,675.0999999999999
4,0006_152.6,4566.2,3780.5,785.6999999999998
5,0006_152.9,6356.0,5475.0,881.0
6,0006_155.8,6375.6,5493.3,882.3000000000002
7,0006_155.9,5599.8,4989.2,610.6000000000004
8,0006_157.3,8719.5,8127.7,591.8000000000002
9,0006_157.6,9853.1,8829.7,1023.3999999999996
10,0006_158.5,15116.3,15179.3,-63.0
11,0006_158.9,16755.8,13897.6,2858.199999999999
12,0006_159.3,18909.0,16080.1,2828.8999999999996
13,0006_159.6,23197.8,20820.6,2377.2000000000007
14,0006_159.8,22559.8,21257.1,1302.7000000000007
15,0006_160.3,28584.6,27005.3,1579.2999999999993
16,0006_173.4,73628.6,77285.0,-3656.399999999994
17,0006_173.7,59418.1,65398.0,-5979.9000000000015
18,0006_174.0,46716.2,56142.7,-9426.5
19,0006_174.4,46716.2,54148.8,-7432.600000000006
20,0006_174.9,33879.6,42206.6,-8327.0
21,0006_175.6,28961.3,31445.7,-2484.4000000000015
22,0006_176.1,20543.4,20836.9,-293.5
23,0006_177.0,24260.5,23446.8,813.7000000000007
24,0006_177.2,24541.2,24311.4,229.79999999999927
25,0006_177.5,18474.8,19043.6,-568.7999999999993
26,0006_177.9,16790.5,16906.9,-116.40000000000146
27,0006_178.8,15684.0,15818.0,-134.0
28,0006_181.6,14943.0,15079.0,-136.0
29,0006_184.1,14573.0,14660.0,-87.0
30,0006_187.5,9978.0,9969.0,9.0
31,0006_194.8,9828.5,9834.1,-5.600000000000364
32,0006_203.6,9656.0,9659.0,-3.0
33,0006_211.2,9656.0,9659.0,-3.0
34,0006_216.2,8750.0,8737.0,13.0
35,0013_000.0,17415.7,15672.8,1742.9000000000015
36,0013_000.6,17675.5,17330.1,345.40000000000146
37,0013_001.3,17097.2,16505.8,591.4000000000015
38,0013_001.6,17957.5,17709.0,248.5
39,0013_001.8,14852.2,14499.8,352.40000000000146
40,0013_002.5,11946.6,11586.1,360.5
41,0013_002.9,7084.4,6843.3,241.09999999999945
42,0013_003.3,11907.2,11699.1,208.10000000000036
43,0013_004.9,12379.7,12229.6,150.10000000000036
44,0013_005.6,12080.3,11930.2,150.09999999999854
45,0015_241.6,43311.0,43306.0,5.0
46,0015_242.4,48283.4,47668.8,614.5999999999985
47,0015_244.8,68948.4,69123.8,-175.40000000000873
48,0015_246.9,68948.4,69123.8,-175.40000000000873
49,0015_248.8,82650.6,84964.2,-2313.5999999999913
50,0015_250.9,102952.5,102434.9,517.6000000000058
51,0015_251.6,106555.5,114451.6,-7896.100000000006
52,0015_252.5,106555.5,119208.1,-12652.600000000006
53,0015_253.6,125328.4,131736.0,-6407.600000000006
54,0015_255.9,125328.4,150288.8,-24960.399999999994
55,0015_257.3,135968.0,157480.2,-21512.20000000001
56,0015_257.6,218396.0,218490.8,-94.79999999998836
57,0015_258.8,201417.8,229125.3,-27707.5
58,0015_260.0,219466.9,236957.9,-17491.0
59,0015_261.8,241130.4,250372.0,-9241.600000000006
60,0015_263.4,195744.2,202820.2,-7076.0
61,0015_264.2,195744.2,202820.2,-7076.0
62,0015_265.6,205214.1,215567.4,-10353.299999999988
63,0015_266.5,205214.1,228645.1,-23431.0
64,0015_267.0,205214.1,228645.1,-23431.0
65,0015_267.9,205214.1,228645.1,-23431.0
66,0015_269.0,238861.0,252925.7,-14064.700000000012
67,0015_269.6,238861.0,252925.7,-14064.700000000012
68,0015_270.6,264818.7,280100.0,-15281.299999999988
69,0015_271.6,274082.3,284720.2,-10637.900000000023
70,0015_272.7,277272.1,283365.7,-6093.600000000035
71,0015_274.7,277272.1,269461.5,7810.599999999977
72,0015_275.3,282613.7,280998.8,1614.9000000000233
73,0015_276.4,273825.8,272669.7,1156.0999999999767
74,0015_278.5,241609.9,262089.8,-20479.899999999994
75,0015_279.6,234748.9,260969.8,-26220.899999999994
76,0015_282.2,234683.2,243210.5,-8527.299999999988
77,0015_283.3,250150.3,259818.1,-9667.800000000017
78,0015_283.9,279181.1,304191.9,-25010.800000000047
79,0015_285.1,276335.7,299325.1,-22989.399999999965
80,0015_285.5,276560.5,304137.2,-27576.70000000001
81,0015_285.8,276563.2,291489.2,-14926.0
82,0015_286.8,276560.8,295023.3,-18462.5
83,0015_288.2,284937.0,299839.0,-14902.0
84,0015_289.8,315143.7,317056.1,-1912.399999999965
85,0015_291.4,324082.8,319905.1,4177.700000000012
86,0015_292.6,320907.2,313582.0,7325.200000000012
87,0015_293.0,325742.7,319678.7,6064.0
88,0015_293.6,325742.7,319678.7,6064.0
89,0015_295.6,388333.3,367885.1,20448.20000000001
90,0015_297.9,378430.5,368982.2,9448.299999999988
91,0015_299.0,287413.4,296867.6,-9454.199999999953
92,0015_300.3,287974.3,299634.8,-11660.5
93,0015_301.7,289816.3,299809.9,-9993.600000000035
94,0015_302.5,289816.3,299809.9,-9993.600000000035
95,0015_303.4,285366.9,289504.6,-4137.699999999953
96,0015_304.7,248466.9,257460.8,-8993.899999999994
97,0015_305.2,346816.2,352165.9,-5349.700000000012
98,0015_305.9,319907.4,323518.0,-3610.5999999999767
99,0015_306.3,275914.9,258645.3,17269.600000000035
100,0015_307.2,275915.1,229720.4,46194.69999999998
101,0015_307.5,204161.0,233414.5,-29253.5
102,0015_307.6,282291.1,307161.0,-24869.900000000023
103,0015_307.8,187839.9,216619.5,-28779.600000000006
104,0015_308.4,186945.1,215902.8,-28957.699999999983
105,0015_309.3,188217.0,230084.6,-41867.600000000006
106,0015_310.2,191570.7,235128.1,-43557.399999999994
107,0015_311.4,184759.9,235355.0,-50595.100000000006
108,0015_311.8,178953.1,235354.9,-56401.79999999999
109,0015_313.7,215007.1,242979.0,-27971.899999999994
110,0015_315.3,199093.7,231109.6,-32015.899999999994
111,0015_316.9,195402.4,228451.8,-33049.399999999994
112,0015_317.6,173542.8,209116.3,-35573.5
113,0015_318.3,193665.1,228661.1,-34996.0
114,0015_319.5,189701.3,224458.7,-34757.40000000002
115,0015_321.0,168972.3,202516.5,-33544.20000000001
116,0015_322.0,148925.4,184681.5,-35756.100000000006
117,0015_323.8,91195.8,121469.5,-30273.699999999997
118,0015_324.4,150451.7,175982.1,-25530.399999999994
119,0015_325.6,159208.9,183149.0,-23940.100000000006
120,0015_328.7,170224.5,193234.5,-23010.0
121,0015_330.1,169467.6,189252.6,-19785.0
122,0015_331.6,166698.2,183720.1,-17021.899999999994
123,0015_332.9,176282.9,187761.7,-11478.800000000017
124,0015_334.1,189759.3,184484.6,5274.6999999999825
125,0015_335.8,194339.9,186724.6,7615.299999999988
126,0015_337.0,187801.2,184219.5,3581.7000000000116
127,0015_338.5,165963.9,167533.2,-1569.3000000000175
128,0015_339.1,133858.8,140667.2,-6808.400000000023
129,0015_340.3,163482.0,167775.0,-4293.0
130,0015_342.0,158053.1,164287.5,-6234.399999999994
131,0015_343.1,159134.0,166209.4,-7075.399999999994
132,0015_343.9,147608.7,150534.1,-2925.399999999994
133,0015_345.0,125795.9,126573.1,-777.2000000000116
134,0015_346.7,107104.9,109564.0,-2459.100000000006
135,0015_349.4,78091.4,80067.7,-1976.300000000003
136,0015_351.9,73232.6,73933.4,-700.7999999999884
137,0015_357.6,68411.2,68569.1,-157.90000000000873
138,0015_362.0,48061.6,48574.0,-512.4000000000015
139,0015_363.7,41213.8,41370.4,-156.59999999999854
140,0015_365.5,35377.0,35048.8,328.1999999999971
141,0026_000.0,38390.8,42448.3,-4057.5
142,0026_000.2,40313.4,44288.6,-3975.199999999997
143,0026_000.4,72416.6,71154.9,1261.7000000000116
144,0026_000.7,78688.1,79551.3,-863.1999999999971
145,0026_001.0,63878.9,63513.4,365.5
146,0026_001.3,54975.2,54076.3,898.8999999999942
147,0026_001.8,62998.1,60956.1,2042.0
148,0026_002.7,54453.6,52985.6,1468.0
149,0026_003.0,35749.5,35216.2,533.3000000000029
150,0026_003.2,28546.9,28399.9,147.0
151,0026_003.3,22518.9,22493.2,25.700000000000728
152,0026_003.5,12723.8,13074.0,-350.2000000000007
153,0037_000.0,40001.8,42012.9,-2011.0999999999985
154,0037_001.0,35955.6,39907.4,-3951.800000000003
155,0037_001.5,34792.0,37341.3,-2549.300000000003
156,0037_002.0,19371.1,23239.1,-3868.0
157,0037_003.0,15032.6,15115.6,-83.0
158,0037_003.5,11916.3,13320.7,-1404.4000000000015
159,0037_004.1,11063.7,19298.1,-8234.399999999998
160,0037_004.5,10741.6,9620.7,1120.8999999999996
161,0037_005.7,10970.3,8191.8,2778.499999999999
162,0037_006.2,11280.7,8652.7,2628.0
163,0037_006.7,8227.1,5818.5,2408.6000000000004
164,0037_007.2,6223.1,4003.8,2219.3
165,0037_009.0,7740.5,5884.4,1856.1000000000004
166,0037_009.6,10748.3,22905.4,-12157.100000000002
167,0037_010.0,17225.4,16503.4,722.0
168,0037_010.5,16705.3,15537.1,1168.199999999999
169,0037_011.5,15439.8,17062.4,-1622.6000000000022
170,0038_000.0,2978.1,2848.3,129.79999999999973
171,0038_000.5,5393.7,5314.1,79.59999999999945
172,0038_003.2,4861.0,4785.8,75.19999999999982
173,0039_000.0,23057.3,22640.0,417.2999999999993
174,0039_000.5,23693.4,23116.7,576.7000000000007
175,0039_001.5,22936.8,20717.9,2218.899999999998
176,0039_002.4,25562.3,23085.5,2476.7999999999993
177,0039_003.5,35781.9,35334.2,447.70000000000437
178,0039_004.0,44381.0,47827.7,-3446.699999999997
