,SEGID,FYEAR,SiteGroup,MonthGroup,DOWGroup,Period,VC15Min_Max
0,0013_000.0,2050,SNT,M07-Jul,5-Friday,PM,0.34794990268334125
1,0013_000.6,2050,SNT,M07-Jul,5-Friday,PM,0.30900044478674665
2,0013_001.3,2050,SNU,M07-Jul,5-Friday,PM,0.27211951552440844
3,0013_001.6,2050,SNT,M07-Jul,5-Friday,PM,0.2438951581345997
4,0013_001.8,2050,SNT,M07-Jul,5-Friday,PM,0.2576343916764801
5,0013_002.5,2050,SNT,M07-Jul,5-Friday,PM,0.2845372830093286
6,0013_002.9,2050,SNT,M07-Jul,5-Friday,PM,0.2304178803295996
7,0013_003.3,2050,SNS,M07-Jul,5-Friday,PM,0.36017672599941647
8,0013_004.9,2050,SNS,M07-Jul,5-Friday,PM,0.523199028470334
9,0013_005.6,2050,SNQ,M07-Jul,5-Friday,PM,0.6203852111759173
10,0015_285.8,2050,SN6,M07-Jul,5-Friday,PM,1.0920521515608985
11,0015_286.8,2050,SN6,M07-Jul,5-Friday,PM,1.0802143010402512
12,0015_288.2,2050,SN7,M07-Jul,5-Friday,PM,0.871941442250922
13,0015_289.8,2050,SN7,M07-Jul,5-Friday,PM,1.0565379049699337
14,0015_291.4,2050,SN7,M07-Jul,5-Friday,PM,1.017876382013273
15,0015_292.6,2050,SN7,M07-Jul,5-Friday,PM,0.9745736197060332
16,0015_293.0,2050,SN7,M07-Jul,5-Friday,PM,0.962296806059029
17,0015_293.6,2050,SN7,M07-Jul,5-Friday,PM,0.9865818989564176
18,0015_295.6,2050,SN7,M07-Jul,5-Friday,PM,0.7302374336942468
19,0015_297.9,2050,SN7,M07-Jul,5-Friday,PM,0.8323041712814405
20,0015_299.0,2050,SN7,M07-Jul,5-Friday,PM,0.9069276839341014
21,0015_300.3,2050,SN7,M07-Jul,5-Friday,PM,0.9495834993155441
22,0015_301.7,2050,SN7,M07-Jul,5-Friday,PM,0.951504601150345
23,0015_302.5,2050,SN7,M07-Jul,5-Friday,PM,0.951504601150345
24,0015_303.4,2050,SN6,M07-Jul,5-Friday,PM,0.9423856291788246
25,0015_304.7,2050,SN6,M07-Jul,5-Friday,PM,0.979173367229468
26,0015_305.2,2050,SN7,M07-Jul,5-Friday,PM,0.7370390265333537
27,0015_305.9,2050,SN7,M07-Jul,5-Friday,PM,0.7565999672727293
28,0015_306.3,2050,SN7,M07-Jul,5-Friday,PM,0.9005121722538906
29,0015_307.2,2050,SN7,M07-Jul,5-Friday,PM,0.9104349548920819
30,0015_307.5,2050,SN7,M07-Jul,5-Friday,PM,0.9025543282966346
31,0015_307.6,2050,SN7,M07-Jul,5-Friday,PM,0.6769542693738687
32,0015_307.8,2050,SN7,M07-Jul,5-Friday,PM,0.7255634894965377
33,0015_308.4,2050,SN7,M07-Jul,5-Friday,PM,0.7409637917547518
34,0015_309.3,2050,SN6,M07-Jul,5-Friday,PM,0.8926051664372038
35,0015_310.2,2050,SN6,M07-Jul,5-Friday,PM,0.9043340805109655
36,0015_311.4,2050,SN6,M07-Jul,5-Friday,PM,0.9165448026313034
37,0015_311.8,2050,SN6,M07-Jul,5-Friday,PM,1.0884330388725658
38,0015_313.7,2050,SN7,M07-Jul,5-Friday,PM,0.7139811385760769
39,0015_315.3,2050,SN7,M07-Jul,5-Friday,PM,0.7273816276743771
40,0015_316.9,2050,SN6,M07-Jul,5-Friday,PM,0.7433987512636666
41,0015_317.6,2050,SN6,M07-Jul,5-Friday,PM,0.7091708112161536
42,0015_318.3,2050,SN7,M07-Jul,5-Friday,PM,0.665785887278727
43,0015_319.5,2050,SN6,M07-Jul,5-Friday,PM,0.7986526833552063
44,0015_321.0,2050,SN6,M07-Jul,5-Friday,PM,0.6581254730019293
45,0015_322.0,2050,SN6,M07-Jul,5-Friday,PM,0.6198652079569694
46,0015_323.8,2050,SN6,M07-Jul,5-Friday,PM,0.736627788129524
47,0015_324.4,2050,SN6,M07-Jul,5-Friday,PM,0.8658826071830037
48,0015_325.6,2050,SN6,M07-Jul,5-Friday,PM,0.8530122900336
49,0015_328.7,2050,SN6,M07-Jul,5-Friday,PM,0.9676051654464579
50,0015_330.1,2050,SN7,M07-Jul,5-Friday,PM,0.8041064794348715
51,0015_331.6,2050,SN7,M07-Jul,5-Friday,PM,0.9943963292336195
52,0015_332.9,2050,SN7,M07-Jul,5-Friday,PM,0.9276852881626294
53,0015_334.1,2050,SN6,M07-Jul,5-Friday,PM,0.9909963217022018
54,0015_335.8,2050,SN6,M07-Jul,5-Friday,PM,0.9847016216579846
55,0015_337.0,2050,SN6,M07-Jul,5-Friday,PM,0.9617530004793629
56,0015_338.5,2050,SN6,M07-Jul,5-Friday,PM,0.9401416055209783
57,0015_339.1,2050,SN7,M07-Jul,5-Friday,PM,0.8224570366212524
58,0015_340.3,2050,SN6,M07-Jul,5-Friday,PM,0.849006652152529
59,0015_342.0,2050,SN6,M07-Jul,5-Friday,PM,0.8879831871088414
60,0015_343.1,2050,SN6,M07-Jul,5-Friday,PM,0.8383704710930174
61,0015_343.9,2050,SN5,M07-Jul,5-Friday,PM,0.8807716403354225
62,0015_345.0,2050,SN5,M07-Jul,5-Friday,PM,0.9965048668561539
63,0015_346.7,2050,SN5,M07-Jul,5-Friday,PM,0.8612336253660358
64,0015_349.4,2050,SN5,M07-Jul,5-Friday,PM,0.6507445818181296
65,0015_351.9,2050,SN4,M07-Jul,5-Friday,PM,0.6039413351557883
66,0015_357.6,2050,SN4,M07-Jul,5-Friday,PM,0.5369132808890957
67,0015_362.0,2050,SN4,M07-Jul,5-Friday,PM,0.48119987820614757
68,0015_363.7,2050,SN6,M07-Jul,5-Friday,PM,0.4493753350007169
69,0015_365.5,2050,SN4,M07-Jul,5-Friday,PM,0.38414175775064807
70,0026_000.0,2050,SNT,M07-Jul,5-Friday,PM,0.43266705774722986
71,0026_000.2,2050,SNU,M07-Jul,5-Friday,PM,0.4707502307970907
72,0026_000.4,2050,SNT,M07-Jul,5-Friday,PM,0.6930941004461219
73,0026_000.7,2050,SNU,M07-Jul,5-Friday,PM,0.748966031551286
74,0026_001.0,2050,SNT,M07-Jul,5-Friday,PM,0.6431575129857049
75,0026_001.3,2050,SNT,M07-Jul,5-Friday,PM,0.45429368753894667
76,0026_001.8,2050,SNU,M07-Jul,5-Friday,PM,0.5884834921149972
77,0026_002.7,2050,SNU,M07-Jul,5-Friday,PM,0.5819952770406581
78,0026_003.0,2050,SNU,M07-Jul,5-Friday,PM,0.2921584663947338
79,0026_003.2,2050,SNU,M07-Jul,5-Friday,PM,0.29830679579417707
80,0026_003.3,2050,SNU,M07-Jul,5-Friday,PM,0.2715740871214272
81,0026_003.5,2050,SNU,M07-Jul,5-Friday,PM,0.3106893217733019
82,0037_000.0,2050,SNT,M07-Jul,5-Friday,PM,1.173874278570642
83,0037_001.0,2050,SNT,M07-Jul,5-Friday,PM,1.0103834512431904
84,0037_001.5,2050,SNT,M07-Jul,5-Friday,PM,1.0828402484669755
85,0037_002.0,2050,SNT,M07-Jul,5-Friday,PM,0.6807173981420318
86,0037_003.0,2050,SNT,M07-Jul,5-Friday,PM,0.24969032175295466
87,0037_003.5,2050,SNT,M07-Jul,5-Friday,PM,0.2122548737435246
88,0037_004.1,2050,SNT,M07-Jul,5-Friday,PM,0.46005154775171
89,0037_004.5,2050,SNS,M07-Jul,5-Friday,PM,0.3813237944813537
90,0037_005.7,2050,SNS,M07-Jul,5-Friday,PM,0.470356490872071
91,0037_006.2,2050,SNS,M07-Jul,5-Friday,PM,0.3512321169245418
92,0037_006.7,2050,SNS,M07-Jul,5-Friday,PM,0.37446256147819906
93,0037_007.2,2050,SNS,M07-Jul,5-Friday,PM,0.4153104482706269
94,0037_009.0,2050,SNS,M07-Jul,5-Friday,PM,0.5349908060066993
95,0037_009.6,2050,SNS,M07-Jul,5-Friday,PM,0.6238505702082761
96,0037_010.0,2050,SNS,M07-Jul,5-Friday,PM,0.42854993464592817
97,0037_010.5,2050,SNS,M07-Jul,5-Friday,PM,0.4095978215534148
98,0037_011.5,2050,SNT,M07-Jul,5-Friday,PM,0.39529478172547133
99,0038_000.0,2050,SNT,M07-Jul,5-Friday,PM,0.05608798230522576
100,0038_000.5,2050,SNQ,M07-Jul,5-Friday,PM,0.12119605830083716
101,0039_000.0,2050,SNQ,M07-Jul,5-Friday,PM,0.769537468995348
102,0039_000.5,2050,SNQ,M07-Jul,5-Friday,PM,0.9085135084780144
103,0039_001.5,2050,SNQ,M07-Jul,5-Friday,PM,1.1116384836400073
104,0039_002.4,2050,SNS,M07-Jul,5-Friday,PM,1.0743510444831053
105,0039_003.5,2050,SNT,M07-Jul,5-Friday,PM,0.4010101307641442
106,0039_004.0,2050,SNT,M07-Jul,5-Friday,PM,0.6521361005229517
107,0039_004.3,2050,SNT,M07-Jul,5-Friday,PM,0.649334365223728
108,0039_005.1,2050,SNT,M07-Jul,5-Friday,PM,0.6684859970165148
