,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2178.0,2379.0,-201.0
1,0006_146.9,2181.8,2384.0,-202.19999999999982
2,0006_149.9,4359.2,5458.5,-1099.3000000000002
3,0006_150.6,4602.4,5678.2,-1075.8000000000002
4,0006_152.6,5648.3,6247.9,-599.5999999999995
5,0006_152.9,7568.6,7830.6,-262.0
6,0006_155.8,7599.0,7850.4,-251.39999999999964
7,0006_155.9,6396.1,6962.9,-566.7999999999993
8,0006_157.3,9975.2,10461.1,-485.89999999999964
9,0006_157.6,11818.2,11104.6,713.6000000000004
10,0006_158.5,17773.7,14842.7,2931.0
11,0006_158.9,20372.1,12459.9,7912.199999999999
12,0006_159.3,23356.6,15529.6,7826.999999999998
13,0006_159.6,28610.8,21039.8,7571.0
14,0006_159.8,27070.7,21848.4,5222.299999999999
15,0006_160.3,34171.7,28063.7,6107.999999999996
16,0006_173.4,77679.4,78595.4,-916.0
17,0006_173.7,62393.8,65273.8,-2880.0
18,0006_174.0,49686.3,56054.8,-6368.5
19,0006_174.4,49686.3,54277.5,-4591.199999999997
20,0006_174.9,37873.5,44145.8,-6272.300000000003
21,0006_175.6,32429.1,33540.5,-1111.4000000000015
22,0006_176.1,23416.0,23728.9,-312.90000000000146
23,0006_177.0,27823.6,27397.6,426.0
24,0006_177.2,28019.6,28419.6,-400.0
25,0006_177.5,22866.4,24138.8,-1272.3999999999978
26,0006_177.9,18917.4,19220.7,-303.2999999999993
27,0006_178.8,16848.0,17091.0,-243.0
28,0006_181.6,16098.0,16352.0,-254.0
29,0006_184.1,15712.0,15930.0,-218.0
30,0006_187.5,10645.0,10746.0,-101.0
31,0006_194.8,10468.6,10565.2,-96.60000000000036
32,0006_203.6,10264.0,10350.0,-86.0
33,0006_211.2,10264.0,10350.0,-86.0
34,0006_216.2,9146.0,9230.0,-84.0
35,0013_000.0,18602.4,16447.1,2155.300000000003
36,0013_000.6,18571.1,17990.5,580.5999999999985
37,0013_001.3,18360.7,17559.1,801.6000000000022
38,0013_001.6,18686.8,18372.8,314.0
39,0013_001.8,15614.0,15209.9,404.10000000000036
40,0013_002.5,12903.9,12368.1,535.7999999999993
41,0013_002.9,7873.5,7472.2,401.3000000000002
42,0013_003.3,13281.2,12953.8,327.40000000000146
43,0013_004.9,14237.3,13883.8,353.5
44,0013_005.6,13741.3,13606.4,134.89999999999964
45,0015_241.6,48129.0,48273.0,-144.0
46,0015_242.4,53964.3,51891.9,2072.4000000000015
47,0015_244.8,76934.9,73700.8,3234.0999999999913
48,0015_246.9,76934.9,73700.8,3234.0999999999913
49,0015_248.8,93667.5,98572.8,-4905.300000000003
50,0015_250.9,116065.3,116031.5,33.80000000000291
51,0015_251.6,120492.5,131300.1,-10807.600000000006
52,0015_252.5,120492.5,137141.9,-16649.399999999994
53,0015_253.6,139062.0,148548.9,-9486.899999999994
54,0015_255.9,139062.0,172424.9,-33362.899999999994
55,0015_257.3,149556.8,176211.4,-26654.600000000006
56,0015_257.6,234321.8,232833.9,1487.8999999999942
57,0015_258.8,216329.1,246016.6,-29687.5
58,0015_260.0,235956.0,258232.9,-22276.899999999994
59,0015_261.8,257641.3,275650.5,-18009.20000000001
60,0015_263.4,208358.0,229346.8,-20988.79999999999
61,0015_264.2,208358.0,229346.8,-20988.79999999999
62,0015_265.6,217032.1,240612.0,-23579.899999999994
63,0015_266.5,217032.1,255609.2,-38577.100000000006
64,0015_267.0,217032.1,255609.2,-38577.100000000006
65,0015_267.9,217032.1,263214.6,-46182.49999999997
66,0015_269.0,249356.7,286072.2,-36715.5
67,0015_269.6,249356.7,283767.8,-34411.09999999998
68,0015_270.6,274728.1,314234.4,-39506.30000000005
69,0015_271.6,284288.8,342102.2,-57813.40000000002
70,0015_272.7,287286.8,337243.6,-49956.79999999999
71,0015_274.7,287286.8,326376.4,-39089.600000000035
72,0015_275.3,293205.1,341531.6,-48326.5
73,0015_276.4,283962.1,315264.1,-31302.0
74,0015_278.5,250118.1,283261.7,-33143.600000000006
75,0015_279.6,242095.7,292025.7,-49930.0
76,0015_282.2,244059.2,255970.3,-11911.099999999977
77,0015_283.3,260217.7,266406.6,-6188.899999999965
78,0015_283.9,287389.8,318851.9,-31462.100000000035
79,0015_285.1,284465.9,319446.6,-34980.69999999995
80,0015_285.5,284705.5,322672.2,-37966.70000000001
81,0015_285.8,284708.2,317628.2,-32920.0
82,0015_286.8,284705.4,324756.3,-40050.899999999965
83,0015_288.2,293891.4,315343.9,-21452.5
84,0015_289.8,325441.2,333648.3,-8207.099999999977
85,0015_291.4,334811.0,337901.1,-3090.0999999999767
86,0015_292.6,331088.7,330176.1,912.6000000000349
87,0015_293.0,337344.6,336943.9,400.69999999995343
88,0015_293.6,337344.6,336943.9,400.69999999995343
89,0015_295.6,401351.6,379791.1,21560.5
90,0015_297.9,392150.8,382146.2,10004.599999999977
91,0015_299.0,296270.0,306966.2,-10696.200000000012
92,0015_300.3,296374.3,307299.3,-10925.0
93,0015_301.7,298752.5,307830.8,-9078.299999999988
94,0015_302.5,298752.5,307830.8,-9078.299999999988
