,SEGID,FYEAR,SiteGroup,MonthGroup,DOWGroup,Period,VC15Min_Max
0,0013_000.0,2019,SNT,M07-Jul,5-Friday,PM,0.3224901537065114
1,0013_000.6,2019,SNT,M07-Jul,5-Friday,PM,0.2935504225474094
2,0013_001.3,2019,SNU,M07-Jul,5-Friday,PM,0.2556274236744443
3,0013_001.6,2019,SNT,M07-Jul,5-Friday,PM,0.23650439576688453
4,0013_001.8,2019,SNT,M07-Jul,5-Friday,PM,0.2429124264378241
5,0013_002.5,2019,SNT,M07-Jul,5-Friday,PM,0.2608258427585513
6,0013_002.9,2019,SNT,M07-Jul,5-Friday,PM,0.19441508652809963
7,0013_003.3,2019,SNS,M07-Jul,5-Friday,PM,0.24473546766627013
8,0013_004.9,2019,SNS,M07-Jul,5-Friday,PM,0.36414652381535245
9,0013_005.6,2019,SNQ,M07-Jul,5-Friday,PM,0.39704653515258703
10,0015_285.8,2019,SN6,M07-Jul,5-Friday,PM,0.7353263331773692
11,0015_286.8,2019,SN6,M07-Jul,5-Friday,PM,0.7273553922258701
12,0015_288.2,2019,SN7,M07-Jul,5-Friday,PM,0.5556932507609502
13,0015_289.8,2019,SN7,M07-Jul,5-Friday,PM,0.6957317328116136
14,0015_291.4,2019,SN7,M07-Jul,5-Friday,PM,0.6040668248396527
15,0015_292.6,2019,SN7,M07-Jul,5-Friday,PM,0.6058160338713178
16,0015_293.0,2019,SN7,M07-Jul,5-Friday,PM,0.6040916858225449
17,0015_293.6,2019,SN7,M07-Jul,5-Friday,PM,0.6040916858225449
18,0015_295.6,2019,SN7,M07-Jul,5-Friday,PM,0.6187508025958885
19,0015_297.9,2019,SN7,M07-Jul,5-Friday,PM,0.6146582710383305
20,0015_299.0,2019,SN7,M07-Jul,5-Friday,PM,0.6500431586056166
21,0015_300.3,2019,SN7,M07-Jul,5-Friday,PM,0.7274053087705611
22,0015_301.7,2019,SN7,M07-Jul,5-Friday,PM,0.7480478295217342
23,0015_302.5,2019,SN7,M07-Jul,5-Friday,PM,0.7480478295217342
24,0015_303.4,2019,SN6,M07-Jul,5-Friday,PM,0.7542221092096748
25,0015_304.7,2019,SN6,M07-Jul,5-Friday,PM,0.8394851998823278
26,0015_305.2,2019,SN7,M07-Jul,5-Friday,PM,0.6138451834816695
27,0015_305.9,2019,SN7,M07-Jul,5-Friday,PM,0.6532532601073142
28,0015_306.3,2019,SN7,M07-Jul,5-Friday,PM,0.7951165995976692
29,0015_307.2,2019,SN7,M07-Jul,5-Friday,PM,0.8038780238547986
30,0015_307.5,2019,SN7,M07-Jul,5-Friday,PM,0.6950511836602121
31,0015_307.6,2019,SN7,M07-Jul,5-Friday,PM,0.46609966088036864
32,0015_307.8,2019,SN7,M07-Jul,5-Friday,PM,0.5399931039340592
33,0015_308.4,2019,SN7,M07-Jul,5-Friday,PM,0.5489250108641853
34,0015_309.3,2019,SN6,M07-Jul,5-Friday,PM,0.6232256021415772
35,0015_310.2,2019,SN6,M07-Jul,5-Friday,PM,0.6291019690511066
36,0015_311.4,2019,SN6,M07-Jul,5-Friday,PM,0.6420587289266162
37,0015_311.8,2019,SN6,M07-Jul,5-Friday,PM,0.8181674987461952
38,0015_313.7,2019,SN7,M07-Jul,5-Friday,PM,0.6230171954401824
39,0015_315.3,2019,SN7,M07-Jul,5-Friday,PM,0.6289390013725817
40,0015_316.9,2019,SN6,M07-Jul,5-Friday,PM,0.6462712762241926
41,0015_317.6,2019,SN6,M07-Jul,5-Friday,PM,0.6031071415034738
42,0015_318.3,2019,SN7,M07-Jul,5-Friday,PM,0.571174208560171
43,0015_319.5,2019,SN6,M07-Jul,5-Friday,PM,0.6959388211914134
44,0015_321.0,2019,SN6,M07-Jul,5-Friday,PM,0.6245904170527864
45,0015_322.0,2019,SN6,M07-Jul,5-Friday,PM,0.5848884877587706
46,0015_323.8,2019,SN6,M07-Jul,5-Friday,PM,0.7190890312692972
47,0015_324.4,2019,SN6,M07-Jul,5-Friday,PM,0.7169728594508948
48,0015_325.6,2019,SN6,M07-Jul,5-Friday,PM,0.672070289117382
49,0015_328.7,2019,SN6,M07-Jul,5-Friday,PM,0.786338762420868
50,0015_330.1,2019,SN7,M07-Jul,5-Friday,PM,0.6480152216622199
51,0015_331.6,2019,SN7,M07-Jul,5-Friday,PM,0.7886591576680431
52,0015_332.9,2019,SN7,M07-Jul,5-Friday,PM,0.7131915799169345
53,0015_334.1,2019,SN6,M07-Jul,5-Friday,PM,0.7865500891447276
54,0015_335.8,2019,SN6,M07-Jul,5-Friday,PM,0.7323546879740442
55,0015_337.0,2019,SN6,M07-Jul,5-Friday,PM,0.733680146079971
56,0015_338.5,2019,SN6,M07-Jul,5-Friday,PM,0.691854950056981
57,0015_339.1,2019,SN7,M07-Jul,5-Friday,PM,0.596214809718966
58,0015_340.3,2019,SN6,M07-Jul,5-Friday,PM,0.6007997893647677
59,0015_342.0,2019,SN6,M07-Jul,5-Friday,PM,0.6235291778332576
60,0015_343.1,2019,SN6,M07-Jul,5-Friday,PM,0.5298899416700673
61,0015_343.9,2019,SN5,M07-Jul,5-Friday,PM,0.5739221656379205
62,0015_345.0,2019,SN5,M07-Jul,5-Friday,PM,0.6517066049401462
63,0015_346.7,2019,SN5,M07-Jul,5-Friday,PM,0.5453226012143019
64,0015_349.4,2019,SN5,M07-Jul,5-Friday,PM,0.40182588931939145
65,0015_351.9,2019,SN4,M07-Jul,5-Friday,PM,0.3866502727716951
66,0015_357.6,2019,SN4,M07-Jul,5-Friday,PM,0.32991057018486597
67,0015_362.0,2019,SN4,M07-Jul,5-Friday,PM,0.3173871537104378
68,0015_363.7,2019,SN6,M07-Jul,5-Friday,PM,0.31149881176186056
69,0015_365.5,2019,SN4,M07-Jul,5-Friday,PM,0.27086918815750827
70,0026_000.0,2019,SNT,M07-Jul,5-Friday,PM,0.3109794477558214
71,0026_000.2,2019,SNU,M07-Jul,5-Friday,PM,0.3331463171794796
72,0026_000.4,2019,SNT,M07-Jul,5-Friday,PM,0.5631389566124739
73,0026_000.7,2019,SNU,M07-Jul,5-Friday,PM,0.615429452282452
74,0026_001.0,2019,SNT,M07-Jul,5-Friday,PM,0.5446091843830566
75,0026_001.3,2019,SNT,M07-Jul,5-Friday,PM,0.3923445483290903
76,0026_001.8,2019,SNU,M07-Jul,5-Friday,PM,0.4707867936919978
77,0026_002.7,2019,SNU,M07-Jul,5-Friday,PM,0.4607462609905209
78,0026_003.0,2019,SNU,M07-Jul,5-Friday,PM,0.24207415786992229
