SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_159.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,832,960,1043,0.23,0.26,0.28
0006_159.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1234,1372,1493,0.34,0.37,0.41
0006_159.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1356,1625,1767,0.41,0.5,0.54
0006_159.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1217,1404,1525,0.34,0.39,0.42
0006_159.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1830,2035,2213,0.55,0.61,0.66
0006_160.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1853,2222,2415,0.56,0.67,0.73
0006_160.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1709,1970,2142,0.47,0.54,0.59
0006_160.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,2565,2853,3101,0.75,0.84,0.91
0006_173.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,3543,4282,4506,0.8,0.97,1.0
0006_173.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1838,3048,3577,3888,0.59,0.69,0.75
0006_173.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1838,4326,4691,5017,0.79,0.86,0.91
0006_173.7,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,3013,3641,3873,0.75,0.9,0.95
0006_173.7,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1838,2561,3006,3267,0.49,0.57,0.62
0006_173.7,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1838,3711,4025,4375,0.74,0.81,0.88
0006_174.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1896,2720,3287,3428,0.95,1.15,1.17
0006_174.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1896,2496,2929,3184,0.68,0.8,0.87
0006_174.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1896,3474,3768,3899,1.01,1.09,1.11
0006_174.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1896,2679,3213,3350,0.94,1.12,1.15
0006_174.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1896,2458,2833,3081,0.67,0.78,0.84
0006_174.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1896,3422,3806,3940,0.99,1.1,1.12
0006_174.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2208,2650,2880,0.68,0.82,0.89
0006_174.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1917,2209,2402,0.49,0.56,0.61
0006_174.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,2909,3236,3458,0.78,0.86,0.91
0006_175.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,1964,2356,2560,0.58,0.7,0.76
0006_175.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1704,1965,2135,0.43,0.5,0.54
0006_175.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,2585,2876,3126,0.67,0.75,0.81
0006_176.1,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2055,2466,2680,0.57,0.69,0.75
0006_176.1,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1766,2037,2214,0.44,0.51,0.56
0006_176.1,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,2690,2992,3252,0.67,0.74,0.81
0006_177.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2062,2489,2829,0.59,0.71,0.81
0006_177.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1775,2045,2324,0.44,0.51,0.58
0006_177.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,2908,3332,3720,0.75,0.86,0.94
0006_177.2,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2089,2505,2723,0.58,0.7,0.76
0006_177.2,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1822,2101,2284,0.46,0.53,0.57
0006_177.2,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,2915,3243,3525,0.73,0.81,0.88
0006_177.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,2145,2588,2725,1.03,1.24,1.31
0006_177.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2128,1788,2061,2217,0.85,0.98,1.05
0006_177.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2128,2787,3193,3361,1.32,1.52,1.6
0006_177.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,1104,1332,1515,0.58,0.7,0.8
