SEGID,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,0.08,0.05,0.08,0.07,0.05,0.07,0.06,0.04,0.07
0006_146.9,0.09,0.06,0.09,0.08,0.05,0.08,0.07,0.04,0.07
0006_149.9,0.12,0.09,0.16,0.11,0.08,0.14,0.09,0.07,0.13
0006_150.6,0.12,0.09,0.16,0.1,0.08,0.14,0.08,0.07,0.13
0006_152.6,0.14,0.1,0.19,0.13,0.09,0.16,0.1,0.07,0.15
0006_152.9,0.19,0.14,0.24,0.17,0.12,0.21,0.14,0.11,0.19
0006_155.8,0.22,0.16,0.29,0.19,0.14,0.25,0.16,0.12,0.22
0006_155.9,0.25,0.18,0.3,0.22,0.16,0.26,0.18,0.14,0.24
0006_157.3,0.23,0.18,0.29,0.21,0.16,0.25,0.17,0.14,0.24
0006_157.6,0.23,0.18,0.28,0.2,0.16,0.25,0.17,0.14,0.23
0006_158.5,0.27,0.22,0.36,0.24,0.19,0.31,0.2,0.17,0.27
0006_158.9,0.27,0.22,0.36,0.24,0.19,0.31,0.2,0.17,0.27
0006_159.3,0.37,0.29,0.47,0.32,0.26,0.41,0.27,0.22,0.36
0006_159.6,0.33,0.29,0.45,0.29,0.25,0.4,0.24,0.22,0.35
0006_159.8,0.85,0.54,0.94,0.75,0.48,0.83,0.62,0.42,0.73
0006_160.3,0.64,0.41,0.73,0.56,0.36,0.64,0.46,0.32,0.56
0006_173.4,0.82,0.54,0.75,0.76,0.5,0.69,0.63,0.42,0.64
0006_173.7,0.86,0.51,0.82,0.79,0.47,0.75,0.66,0.4,0.7
0006_174.0,1.04,0.68,1.02,1.02,0.63,0.99,0.84,0.54,0.91
0006_174.4,1.03,0.67,1.03,1.01,0.62,1.01,0.84,0.54,0.91
0006_174.9,0.74,0.47,0.79,0.68,0.44,0.73,0.57,0.38,0.65
0006_175.6,0.74,0.47,0.79,0.68,0.44,0.73,0.57,0.38,0.65
0006_176.1,0.69,0.51,0.79,0.61,0.45,0.69,0.5,0.39,0.6
0006_177.0,0.68,0.5,0.84,0.6,0.44,0.74,0.5,0.38,0.64
0006_177.2,0.35,0.27,0.43,0.31,0.24,0.38,0.26,0.21,0.33
0006_177.5,0.67,0.5,0.79,0.59,0.44,0.7,0.49,0.38,0.61
0006_177.9,0.69,0.47,0.73,0.6,0.41,0.64,0.5,0.36,0.56
0006_178.8,0.61,0.41,0.6,0.53,0.36,0.53,0.44,0.32,0.49
0006_181.6,0.61,0.41,0.61,0.54,0.36,0.54,0.44,0.31,0.5
0006_184.1,0.61,0.4,0.61,0.54,0.36,0.54,0.44,0.31,0.5
0006_187.5,0.46,0.32,0.52,0.4,0.28,0.46,0.33,0.25,0.43
0006_194.8,0.45,0.32,0.52,0.4,0.28,0.46,0.33,0.25,0.43
0006_203.6,0.45,0.32,0.52,0.4,0.28,0.46,0.33,0.25,0.43
0006_211.2,0.44,0.31,0.51,0.39,0.27,0.45,0.32,0.24,0.42
0006_216.2,0.39,0.26,0.44,0.34,0.23,0.39,0.28,0.2,0.36
0013_000.0,0.47,0.43,0.73,0.44,0.4,0.67,0.36,0.35,0.6
0013_000.6,0.47,0.46,0.67,0.43,0.42,0.61,0.36,0.36,0.55
0013_001.3,0.39,0.37,0.55,0.36,0.34,0.51,0.29,0.29,0.47
0013_001.6,0.47,0.39,0.55,0.44,0.36,0.51,0.36,0.31,0.47
0013_001.8,0.45,0.37,0.52,0.41,0.34,0.48,0.35,0.3,0.43
0013_002.5,0.47,0.37,0.51,0.43,0.34,0.47,0.36,0.29,0.42
0013_002.9,0.28,0.23,0.35,0.26,0.21,0.32,0.21,0.19,0.29
0013_003.3,0.28,0.22,0.35,0.24,0.19,0.31,0.2,0.17,0.27
0013_004.9,0.43,0.31,0.5,0.38,0.27,0.44,0.31,0.24,0.41
0013_005.6,0.68,0.46,0.63,0.6,0.41,0.56,0.49,0.36,0.52
0015_241.6,0.34,0.27,0.46,0.3,0.24,0.4,0.26,0.21,0.38
0015_242.4,0.39,0.29,0.51,0.34,0.25,0.45,0.3,0.22,0.43
0015_244.8,0.68,0.36,0.58,0.6,0.32,0.51,0.45,0.27,0.48
0015_246.9,0.68,0.37,0.7,0.6,0.33,0.61,0.45,0.28,0.57
0015_248.8,0.47,0.29,0.57,0.43,0.27,0.52,0.39,0.24,0.5
0015_250.9,0.63,0.38,0.67,0.55,0.33,0.59,0.48,0.29,0.56
0015_251.6,0.66,0.35,0.66,0.58,0.31,0.58,0.43,0.27,0.54
0015_252.5,0.66,0.35,0.66,0.58,0.31,0.58,0.43,0.27,0.54
0015_253.6,0.68,0.35,0.68,0.6,0.31,0.6,0.44,0.27,0.56
0015_255.9,0.64,0.39,0.77,0.59,0.36,0.71,0.53,0.32,0.67
0015_257.3,0.87,0.54,0.95,0.8,0.49,0.9,0.72,0.44,0.86
0015_257.6,0.71,0.45,0.83,0.65,0.42,0.76,0.59,0.37,0.72
0015_258.8,0.88,0.55,0.91,0.81,0.51,0.86,0.73,0.45,0.82
0015_260.0,0.97,0.64,0.91,0.88,0.56,0.8,0.76,0.49,0.76
0015_261.8,0.96,0.65,0.96,0.87,0.57,0.87,0.75,0.5,0.83
0015_263.4,0.97,0.7,1.05,0.92,0.65,1.03,0.83,0.58,0.98
0015_264.2,0.97,0.7,1.05,0.92,0.65,1.03,0.83,0.58,0.98
0015_265.6,1.04,0.81,1.06,1.02,0.74,1.04,0.91,0.66,0.98
0015_266.5,1.04,0.81,1.06,1.02,0.74,1.04,0.91,0.66,0.98
0015_267.0,1.04,0.81,1.06,1.02,0.74,1.04,0.91,0.66,0.98
0015_267.9,1.04,0.81,1.06,1.02,0.74,1.04,0.91,0.66,0.98
0015_269.0,0.95,0.83,1.09,0.9,0.76,1.06,0.81,0.68,1.01
0015_269.6,0.95,0.83,1.09,0.9,0.76,1.06,0.81,0.68,1.01
0015_270.6,0.86,0.67,0.91,0.79,0.62,0.84,0.71,0.55,0.79
0015_271.6,1.03,0.86,1.12,1.01,0.79,1.1,0.91,0.71,1.04
0015_272.7,1.15,0.9,1.19,1.12,0.85,1.17,1.01,0.76,1.11
0015_274.7,1.15,0.9,1.19,1.12,0.85,1.17,1.01,0.76,1.11
0015_275.3,0.97,0.75,1.02,0.93,0.69,0.99,0.83,0.61,0.94
0015_276.4,1.06,0.82,1.13,1.04,0.76,1.11,0.93,0.67,1.05
0015_278.5,0.94,0.86,1.13,0.89,0.79,1.1,0.8,0.7,1.05
0015_279.6,1.17,1.05,1.25,1.15,1.03,1.23,1.03,0.92,1.16
0015_282.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015_283.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015_283.9,0.87,0.75,0.93,0.8,0.69,0.89,0.72,0.61,0.84
0015_285.1,0.86,0.72,0.92,0.79,0.67,0.86,0.71,0.59,0.81
0015_285.5,0.89,0.73,0.94,0.82,0.67,0.89,0.73,0.6,0.85
