DOWPkCode,DOWPkName,DOWGROUP,PERIOD,HRPCTOF
WkAM,AM - Weekday,1-Weekday (Tu-Th),AM,Prd
WkMD,Midday - Weekday,1-Weekday (Tu-Th),MD,Prd
WkPM,PM - Weekday,1-Weekday (Tu-Th),PM,Prd
