SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_159.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1166,1343,1460,0.32,0.36,0.4
0006_159.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1714,1906,2072,0.53,0.59,0.64
0006_159.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1653,1983,2156,0.49,0.59,0.64
0006_159.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1573,1813,1971,0.43,0.5,0.54
0006_159.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,2238,2490,2706,0.62,0.68,0.74
0006_160.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,2238,2684,2917,0.64,0.77,0.83
0006_160.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,2116,2439,2651,0.58,0.67,0.73
0006_160.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,3100,3447,3629,0.84,0.94,0.99
0006_173.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,6,6889,3706,4404,4786,0.42,0.49,0.54
0006_173.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,6,6889,4139,5113,5557,0.47,0.56,0.61
0006_173.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,6,6889,5821,6402,6959,0.62,0.69,0.75
0006_173.7,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5416,3342,3960,4304,0.44,0.51,0.56
0006_173.7,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5416,3450,4314,4689,0.36,0.46,0.5
0006_173.7,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5416,5183,5716,6213,0.68,0.76,0.82
0006_174.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5416,3546,4195,4561,0.5,0.59,0.64
0006_174.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5416,3208,4066,4421,0.41,0.53,0.58
0006_174.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5416,5605,6186,6623,0.78,0.86,0.91
0006_174.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5486,3540,4185,4548,0.47,0.56,0.61
0006_174.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5486,3162,3970,4315,0.39,0.5,0.55
0006_174.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5486,5489,6085,6615,0.69,0.76,0.83
0006_174.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3460,3220,3785,4115,0.62,0.73,0.8
0006_174.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3460,3031,3875,4212,0.48,0.62,0.67
0006_174.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3460,4890,5415,5782,0.79,0.87,0.92
0006_175.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2445,2933,3125,0.75,0.9,0.94
0006_175.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2335,2692,2926,0.6,0.7,0.76
0006_175.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3362,3740,3953,0.89,0.99,1.02
0006_176.1,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2380,2854,3103,0.65,0.78,0.85
0006_176.1,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2200,2537,2757,0.55,0.63,0.69
0006_176.1,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3255,3621,3811,0.83,0.92,0.97
0006_177.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2469,2961,3219,0.69,0.83,0.9
0006_177.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2242,2585,2810,0.56,0.64,0.7
0006_177.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3463,3852,3990,0.9,1.0,1.02
0006_177.2,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2499,2997,3258,0.68,0.81,0.89
0006_177.2,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2320,2674,2907,0.58,0.67,0.72
0006_177.2,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3549,3949,4090,0.91,1.02,1.04
0006_177.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2600,3118,3390,0.64,0.77,0.83
0006_177.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2349,2708,2943,0.58,0.67,0.73
0006_177.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3666,4079,4183,0.91,1.01,1.03
0006_177.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,1388,1675,1904,0.37,0.45,0.51
0006_177.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1132,1305,1484,0.29,0.33,0.37
0006_177.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,1838,2107,2394,0.45,0.52,0.59
