,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,1832.0,1871.0,-39.0
1,0006_146.9,1840.8,1882.8,-42.0
2,0006_149.9,2366.6,2177.3,189.29999999999973
3,0006_150.6,2569.7,2355.5,214.19999999999982
4,0006_152.6,3291.2,3032.5,258.6999999999998
5,0006_152.9,4897.7,4644.4,253.30000000000018
6,0006_155.8,4917.8,4663.2,254.60000000000036
7,0006_155.9,4148.6,3876.4,272.2000000000003
8,0006_157.3,6104.4,5865.8,238.59999999999945
9,0006_157.6,6845.9,6429.0,416.89999999999964
10,0006_158.5,9569.0,9757.6,-188.60000000000036
11,0006_158.9,10567.2,8909.2,1658.0
12,0006_159.3,12369.5,10741.8,1627.7000000000007
13,0006_159.6,15308.1,13904.7,1403.3999999999996
14,0006_159.8,16557.9,15585.5,972.4000000000015
15,0006_160.3,21323.0,20406.6,916.4000000000015
16,0006_173.4,65830.4,67146.1,-1315.7000000000116
17,0006_173.7,54233.7,55141.0,-907.3000000000029
18,0006_174.0,42053.5,42625.1,-571.5999999999985
19,0006_174.4,42053.5,42625.1,-571.5999999999985
20,0006_174.9,29183.5,29449.1,-265.59999999999854
21,0006_175.6,24761.8,24805.3,-43.5
22,0006_176.1,17841.9,17915.0,-73.09999999999854
23,0006_177.0,20984.4,20962.5,21.900000000001455
24,0006_177.2,21237.0,21183.8,53.20000000000073
25,0006_177.5,15659.4,15672.9,-13.5
26,0006_177.9,15327.0,15392.8,-65.79999999999927
27,0006_178.8,14685.0,14767.0,-82.0
28,0006_181.6,13946.0,14015.0,-69.0
29,0006_184.1,13549.0,13641.0,-92.0
30,0006_187.5,9582.0,9604.0,-22.0
31,0006_194.8,9446.5,9465.5,-19.0
32,0006_203.6,9267.0,9294.0,-27.0
33,0006_211.2,9267.0,9294.0,-27.0
34,0006_216.2,8247.0,8270.0,-23.0
35,0013_000.0,16248.5,16244.7,3.7999999999992724
36,0013_000.6,15978.0,15883.8,94.20000000000073
37,0013_001.3,15244.9,15119.5,125.39999999999964
38,0013_001.6,16414.0,16496.9,-82.90000000000146
39,0013_001.8,13583.5,13595.8,-12.299999999999272
40,0013_002.5,10695.0,10601.6,93.39999999999964
41,0013_002.9,6359.6,6300.8,58.80000000000018
42,0013_003.3,10432.8,10445.3,-12.5
43,0013_004.9,10370.3,10408.2,-37.900000000001455
44,0013_005.6,10223.8,10168.0,55.79999999999927
45,0015_241.6,36956.0,36823.0,133.0
46,0015_242.4,40352.6,40375.9,-23.30000000000291
47,0015_244.8,56551.3,56443.9,107.40000000000146
48,0015_246.9,56551.3,56443.9,107.40000000000146
49,0015_248.8,65901.8,65510.7,391.1000000000058
50,0015_250.9,84468.1,79463.4,5004.700000000012
51,0015_251.6,87288.1,89700.9,-2412.7999999999884
52,0015_252.5,87288.1,92457.8,-5169.699999999997
53,0015_253.6,101553.6,104159.0,-2605.399999999994
54,0015_255.9,101553.6,104159.0,-2605.399999999994
55,0015_257.3,110674.5,113779.0,-3104.5
56,0015_257.6,189127.5,174275.9,14851.600000000006
57,0015_258.8,174019.0,183259.9,-9240.899999999994
58,0015_260.0,195046.0,196742.7,-1696.7000000000116
59,0015_261.8,214008.9,210824.9,3184.0
60,0015_263.4,174310.0,175655.4,-1345.3999999999942
61,0015_264.2,174310.0,175655.4,-1345.3999999999942
62,0015_265.6,186263.5,194544.0,-8280.5
63,0015_266.5,186263.5,194544.0,-8280.5
64,0015_267.0,186263.5,194544.0,-8280.5
65,0015_267.9,186263.5,194544.0,-8280.5
66,0015_269.0,221476.9,229574.3,-8097.399999999994
67,0015_269.6,221476.9,229574.3,-8097.399999999994
68,0015_270.6,249033.1,259066.8,-10033.699999999983
69,0015_271.6,259699.9,268493.3,-8793.399999999994
70,0015_272.7,262918.1,270291.5,-7373.400000000023
71,0015_274.7,262918.1,259819.4,3098.6999999999825
72,0015_275.3,267278.2,270285.6,-3007.399999999965
73,0015_276.4,258909.2,262868.1,-3958.899999999965
74,0015_278.5,231472.8,247734.6,-16261.800000000017
75,0015_279.6,228328.8,249387.7,-21058.900000000023
76,0015_282.2,223288.3,230460.5,-7172.200000000012
77,0015_283.3,237921.6,245702.1,-7780.5
78,0015_283.9,270579.5,280271.0,-9691.5
79,0015_285.1,267875.4,276862.7,-8987.299999999988
80,0015_285.5,267989.5,277276.9,-9287.400000000023
81,0015_285.8,267991.9,277280.6,-9288.699999999953
82,0015_286.8,267989.5,277276.7,-9287.200000000012
83,0015_288.2,276377.5,277199.7,-822.2000000000116
84,0015_289.8,302905.5,296952.1,5953.400000000023
85,0015_291.4,310177.7,303920.1,6257.600000000035
86,0015_292.6,308152.7,299816.0,8336.700000000012
87,0015_293.0,311346.4,305735.7,5610.700000000012
88,0015_293.6,311346.4,305735.7,5610.700000000012
89,0015_295.6,373662.4,355365.8,18296.600000000035
90,0015_297.9,363089.1,353219.5,9869.599999999977
91,0015_299.0,277566.0,284339.1,-6773.099999999977
92,0015_300.3,278830.6,286294.8,-7464.200000000012
93,0015_301.7,279088.7,288324.1,-9235.399999999965
94,0015_302.5,279088.7,288324.1,-9235.399999999965
95,0015_303.4,273802.7,278592.9,-4790.200000000012
96,0015_304.7,236924.3,248103.8,-11179.5
97,0015_305.2,331365.2,339751.3,-8386.099999999977
98,0015_305.9,305955.3,312905.7,-6950.400000000023
99,0015_306.3,263833.4,251389.4,12444.00000000003
100,0015_307.2,263833.0,222571.4,41261.600000000006
101,0015_307.5,196223.6,223042.1,-26818.5
102,0015_307.6,267628.5,294427.5,-26799.0
103,0015_307.8,185458.4,205310.2,-19851.800000000017
104,0015_308.4,184611.5,204605.2,-19993.70000000001
