,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2346.0,2379.0,-33.0
1,0006_146.9,2351.0,2384.0,-33.0
2,0006_149.9,3681.6,5458.5,-1776.9
3,0006_150.6,3918.9,5678.2,-1759.2999999999997
4,0006_152.6,4544.3,6247.9,-1703.5999999999995
5,0006_152.9,6177.1,7830.6,-1653.5
6,0006_155.8,6202.6,7850.4,-1647.7999999999993
7,0006_155.9,3270.7,6962.9,-3692.2
8,0006_157.3,6599.3,10461.1,-3861.8
9,0006_157.6,6812.3,11104.6,-4292.3
10,0006_158.5,7332.8,14842.7,-7509.900000000001
11,0006_158.9,5637.5,12459.9,-6822.4
12,0006_159.3,8583.4,15529.6,-6946.200000000001
13,0006_159.6,14297.7,21039.8,-6742.0999999999985
14,0006_159.8,14300.1,21848.4,-7548.300000000001
15,0006_160.3,17542.0,28063.7,-10521.7
16,0006_173.4,85886.0,78595.4,7290.600000000006
17,0006_173.7,72670.9,65273.8,7397.099999999991
18,0006_174.0,60929.3,56054.8,4874.5
19,0006_174.4,59168.2,54277.5,4890.699999999997
20,0006_174.9,49965.6,44145.8,5819.799999999996
21,0006_175.6,35398.7,33540.5,1858.199999999997
22,0006_176.1,24416.8,23728.9,687.8999999999978
23,0006_177.0,25581.9,27397.6,-1815.699999999997
24,0006_177.2,26284.4,28419.6,-2135.199999999997
25,0006_177.5,24454.8,24138.8,316.0
26,0006_177.9,19213.1,19220.7,-7.600000000002183
27,0006_178.8,17069.0,17091.0,-22.0
28,0006_181.6,16299.0,16352.0,-53.0
29,0006_184.1,15905.0,15930.0,-25.0
30,0006_187.5,10678.0,10746.0,-68.0
31,0006_194.8,10494.9,10565.2,-70.30000000000109
32,0006_203.6,10274.0,10350.0,-76.0
33,0006_211.2,10274.0,10350.0,-76.0
34,0006_216.2,9175.0,9230.0,-55.0
35,0013_000.0,15235.2,16447.1,-1211.8999999999978
36,0013_000.6,16521.7,17990.5,-1468.7999999999993
37,0013_001.3,16348.4,17559.1,-1210.699999999999
38,0013_001.6,17036.1,18372.8,-1336.7000000000007
39,0013_001.8,14117.5,15209.9,-1092.3999999999996
40,0013_002.5,11312.4,12368.1,-1055.7000000000007
41,0013_002.9,6580.0,7472.2,-892.1999999999998
42,0013_003.3,8583.2,12953.8,-4370.5999999999985
43,0013_004.9,14696.6,13883.8,812.8000000000011
44,0013_005.6,13602.3,13606.4,-4.100000000000364
45,0015_241.6,48683.0,48273.0,410.0
46,0015_242.4,53373.8,51891.9,1481.9000000000015
47,0015_244.8,69170.1,73700.8,-4530.699999999997
48,0015_246.9,90848.1,73700.8,17147.300000000003
49,0015_248.8,108563.5,98572.8,9990.699999999997
50,0015_250.9,113184.3,116031.5,-2847.199999999997
51,0015_251.6,149569.3,131300.1,18269.199999999983
52,0015_252.5,124072.5,137141.9,-13069.399999999994
53,0015_253.6,139463.1,148548.9,-9085.799999999988
54,0015_255.9,155502.8,172424.9,-16922.100000000006
55,0015_257.3,160658.1,176211.4,-15553.299999999988
56,0015_257.6,223246.9,232833.9,-9587.0
57,0015_258.8,239243.5,246016.6,-6773.100000000006
58,0015_260.0,247099.0,258232.9,-11133.899999999994
59,0015_261.8,256844.7,275650.5,-18805.79999999999
60,0015_263.4,219910.5,229346.8,-9436.299999999988
61,0015_264.2,219910.5,229346.8,-9436.299999999988
62,0015_265.6,241302.9,240612.0,690.8999999999942
63,0015_266.5,271046.4,255609.2,15437.200000000012
64,0015_267.0,247781.3,255609.2,-7827.900000000023
65,0015_267.9,246458.5,263214.6,-16756.099999999977
66,0015_269.0,268791.3,286072.2,-17280.900000000023
67,0015_269.6,266657.8,283767.8,-17110.0
68,0015_270.6,296676.0,314234.4,-17558.400000000023
69,0015_271.6,327191.1,342102.2,-14911.100000000035
70,0015_272.7,325654.9,337243.6,-11588.699999999953
71,0015_274.7,302361.1,326376.4,-24015.300000000047
72,0015_275.3,318828.9,341531.6,-22702.699999999953
73,0015_276.4,301598.1,315264.1,-13666.0
74,0015_278.5,289602.8,283261.7,6341.099999999977
75,0015_279.6,288387.7,292025.7,-3638.0
76,0015_282.2,251974.3,255970.3,-3996.0
77,0015_283.3,260311.1,266406.6,-6095.499999999971
78,0015_283.9,307868.3,318851.9,-10983.600000000035
79,0015_285.1,304267.1,319446.6,-15179.5
80,0015_285.5,306856.9,322672.2,-15815.299999999988
81,0015_285.8,302460.6,317628.2,-15167.600000000035
82,0015_286.8,309135.3,324756.3,-15621.0
83,0015_288.2,298660.1,315343.9,-16683.800000000047
84,0015_289.8,307575.6,333648.3,-26072.70000000001
85,0015_291.4,314914.3,337901.1,-22986.79999999999
86,0015_292.6,310845.7,330176.1,-19330.399999999965
87,0015_293.0,294347.6,336943.9,-42596.30000000005
88,0015_293.6,320522.5,336943.9,-16421.400000000023
89,0015_295.6,351801.9,379791.1,-27989.199999999953
90,0015_297.9,359292.6,382146.2,-22853.600000000035
91,0015_299.0,284195.7,306966.2,-22770.5
92,0015_300.3,283068.0,307299.3,-24231.29999999999
93,0015_301.7,283058.5,307830.8,-24772.29999999999
94,0015_302.5,283058.5,307830.8,-24772.29999999999
95,0015_303.4,272317.9,296812.1,-24494.199999999953
96,0015_304.7,241650.5,265839.2,-24188.70000000001
97,0015_305.2,334841.9,361628.2,-26786.29999999999
98,0015_305.9,303123.2,331926.5,-28803.29999999999
99,0015_306.3,236117.7,266581.8,-30464.099999999977
100,0015_307.2,210196.6,262518.7,-52322.100000000006
101,0015_307.5,222723.3,239475.4,-16752.100000000006
102,0015_307.6,292579.4,314367.5,-21788.099999999977
103,0015_307.8,200703.2,219968.3,-19265.099999999977
104,0015_308.4,200079.8,219231.9,-19152.100000000006
105,0015_309.3,209883.5,231646.0,-21762.5
106,0015_310.2,214677.2,236527.9,-21850.699999999983
107,0015_311.4,215024.7,236495.5,-21470.79999999999
108,0015_311.8,215024.7,236495.2,-21470.5
109,0015_313.7,229473.1,241008.7,-11535.600000000006
110,0015_315.3,220092.0,229031.6,-8939.600000000006
111,0015_316.9,220013.9,227011.2,-6997.3000000000175
112,0015_317.6,201812.7,206990.8,-5178.099999999977
113,0015_318.3,222838.3,227207.4,-4369.100000000006
114,0015_319.5,219621.1,223218.9,-3597.7999999999884
115,0015_321.0,194341.0,200706.8,-6365.799999999988
116,0015_322.0,177219.0,183171.8,-5952.799999999988
117,0015_323.8,118946.1,124521.6,-5575.5
118,0015_324.4,181736.9,187566.1,-5829.200000000012
119,0015_325.6,193193.9,198673.2,-5479.3000000000175
120,0015_328.7,204699.0,208689.8,-3990.7999999999884
121,0015_330.1,201403.2,204460.9,-3057.6999999999825
122,0015_331.6,196941.1,200648.1,-3707.0
123,0015_332.9,203198.0,205286.5,-2088.5
