SEGID,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_141.0,0.1,0.07,0.1,0.09,0.06,0.09,0.07,0.05,0.08
0006_146.9,0.11,0.07,0.1,0.1,0.06,0.09,0.08,0.05,0.08
0006_149.9,0.14,0.09,0.19,0.13,0.08,0.16,0.1,0.07,0.15
0006_150.6,0.14,0.1,0.19,0.13,0.08,0.17,0.1,0.07,0.15
0006_152.6,0.16,0.11,0.18,0.14,0.09,0.16,0.12,0.08,0.15
0006_152.9,0.24,0.18,0.26,0.21,0.16,0.23,0.17,0.14,0.21
0006_155.8,0.27,0.21,0.31,0.24,0.18,0.28,0.2,0.16,0.24
0006_155.9,0.3,0.22,0.31,0.26,0.19,0.27,0.22,0.17,0.25
0006_157.3,0.31,0.25,0.35,0.27,0.22,0.31,0.23,0.19,0.29
0006_157.6,0.23,0.24,0.36,0.2,0.21,0.32,0.17,0.19,0.3
0006_158.5,0.44,0.4,0.62,0.38,0.35,0.54,0.32,0.31,0.47
0006_158.9,0.45,0.39,0.57,0.4,0.35,0.5,0.33,0.3,0.44
0006_159.3,0.28,0.25,0.36,0.26,0.23,0.33,0.22,0.2,0.3
0006_159.6,0.29,0.26,0.37,0.26,0.24,0.34,0.22,0.21,0.31
0006_159.8,0.5,0.4,0.67,0.46,0.37,0.61,0.39,0.32,0.55
0006_160.3,0.72,0.56,0.93,0.66,0.52,0.88,0.55,0.45,0.79
0006_173.4,0.78,0.53,0.71,0.72,0.49,0.65,0.59,0.42,0.6
0006_173.7,0.97,0.59,0.91,0.92,0.55,0.84,0.76,0.46,0.77
0006_174.0,0.95,0.59,0.96,0.9,0.54,0.92,0.74,0.46,0.84
0006_174.4,0.93,0.57,0.97,0.88,0.52,0.93,0.73,0.45,0.83
0006_174.9,0.92,0.63,0.99,0.87,0.58,0.96,0.73,0.5,0.86
0006_175.6,0.81,0.55,0.88,0.74,0.51,0.81,0.62,0.44,0.72
0006_176.1,0.77,0.56,0.87,0.71,0.52,0.8,0.59,0.45,0.72
0006_177.0,0.8,0.58,0.96,0.7,0.51,0.87,0.58,0.45,0.76
0006_177.2,0.75,0.57,0.9,0.69,0.53,0.82,0.58,0.46,0.74
0006_177.5,0.75,0.58,0.93,0.66,0.51,0.82,0.55,0.44,0.71
0006_177.9,0.42,0.29,0.47,0.37,0.26,0.41,0.3,0.22,0.36
0006_178.8,0.71,0.5,0.76,0.63,0.44,0.67,0.53,0.38,0.62
0006_181.6,0.72,0.49,0.76,0.63,0.44,0.67,0.54,0.38,0.62
0006_184.1,0.71,0.49,0.76,0.63,0.43,0.67,0.53,0.38,0.62
0006_187.5,0.49,0.35,0.59,0.44,0.31,0.52,0.36,0.27,0.48
0006_194.8,0.49,0.35,0.59,0.43,0.31,0.52,0.36,0.27,0.48
0006_203.6,0.49,0.35,0.59,0.43,0.31,0.52,0.36,0.27,0.49
0006_211.2,0.49,0.35,0.59,0.43,0.31,0.52,0.36,0.27,0.49
0006_216.2,0.42,0.29,0.5,0.37,0.25,0.44,0.3,0.22,0.41
0013_000.0,0.51,0.5,0.79,0.47,0.46,0.73,0.39,0.4,0.66
0013_000.6,0.48,0.5,0.71,0.44,0.46,0.65,0.37,0.4,0.59
0013_001.3,0.44,0.41,0.61,0.4,0.38,0.56,0.33,0.32,0.51
0013_001.6,0.48,0.42,0.63,0.44,0.38,0.58,0.37,0.33,0.53
0013_001.8,0.45,0.39,0.57,0.41,0.36,0.53,0.35,0.31,0.47
