SEGID,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0013_002.5,0.46,0.38,0.57,0.42,0.35,0.52,0.35,0.31,0.47
0013_002.9,0.3,0.25,0.41,0.28,0.23,0.38,0.23,0.2,0.34
0013_003.3,0.38,0.28,0.45,0.33,0.25,0.4,0.28,0.22,0.35
0013_004.9,0.5,0.37,0.59,0.44,0.33,0.52,0.36,0.29,0.48
0013_005.6,0.78,0.54,0.75,0.68,0.48,0.66,0.56,0.42,0.62
0015_241.6,0.44,0.34,0.59,0.39,0.3,0.52,0.33,0.26,0.49
0015_242.4,0.48,0.35,0.62,0.42,0.31,0.54,0.36,0.27,0.52
0015_244.8,0.79,0.51,0.68,0.69,0.45,0.6,0.6,0.4,0.57
0015_246.9,0.79,0.51,0.68,0.69,0.45,0.6,0.6,0.4,0.57
0015_248.8,0.6,0.41,0.73,0.55,0.38,0.67,0.5,0.34,0.64
0015_250.9,0.71,0.47,0.63,0.62,0.41,0.56,0.53,0.36,0.53
0015_251.6,0.69,0.47,0.79,0.61,0.41,0.7,0.52,0.36,0.67
0015_252.5,0.79,0.54,0.92,0.7,0.47,0.81,0.6,0.42,0.77
0015_253.6,0.95,0.65,1.09,0.9,0.6,1.06,0.81,0.53,1.01
0015_255.9,1.1,0.73,1.14,1.08,0.67,1.12,0.97,0.6,1.06
0015_257.3,1.25,0.85,1.26,1.22,0.79,1.24,1.1,0.7,1.17
0015_257.6,0.87,0.64,1.03,0.8,0.59,1.0,0.72,0.52,0.95
0015_258.8,0.91,0.61,0.9,0.86,0.56,0.86,0.78,0.5,0.81
0015_260.0,0.94,0.66,0.9,0.9,0.6,0.83,0.81,0.54,0.79
0015_261.8,0.94,0.65,0.89,0.86,0.57,0.78,0.73,0.5,0.75
0015_263.4,1.08,0.81,1.03,1.06,0.74,1.01,0.95,0.66,0.96
0015_264.2,1.08,0.81,1.03,1.06,0.74,1.01,0.95,0.66,0.96
0015_265.6,1.17,0.89,1.02,1.15,0.82,1.0,1.04,0.73,0.95
0015_266.5,1.18,1.0,1.08,1.15,0.97,1.06,1.04,0.87,1.01
0015_267.0,1.18,1.0,1.08,1.15,0.97,1.06,1.04,0.87,1.01
0015_267.9,1.18,1.0,1.08,1.15,0.97,1.06,1.04,0.87,1.01
0015_269.0,1.03,0.92,1.08,1.0,0.88,1.05,0.9,0.78,1.0
0015_269.6,1.03,0.92,1.08,1.0,0.88,1.05,0.9,0.78,1.0
0015_270.6,0.94,0.81,0.91,0.89,0.75,0.83,0.81,0.67,0.79
0015_271.6,1.04,0.93,1.03,1.02,0.88,1.01,0.92,0.78,0.96
0015_272.7,1.11,0.97,1.09,1.09,0.92,1.06,0.98,0.82,1.01
0015_274.7,0.99,0.82,1.02,0.96,0.76,0.99,0.86,0.68,0.94
0015_275.3,0.96,0.81,0.97,0.91,0.75,0.92,0.82,0.67,0.87
0015_276.4,1.03,0.89,1.06,0.99,0.82,1.04,0.9,0.73,0.99
0015_278.5,1.04,0.86,1.03,1.02,0.79,1.01,0.92,0.7,0.96
0015_279.6,0.99,0.87,1.05,0.96,0.8,1.03,0.87,0.71,0.98
0015_282.2,0.83,0.66,1.16,0.76,0.61,1.14,0.69,0.54,1.08
0015_283.3,1.04,0.74,1.04,1.02,0.68,1.02,0.92,0.6,0.97
0015_283.9,0.89,0.8,0.96,0.82,0.74,0.91,0.74,0.66,0.86
0015_285.1,0.92,0.84,1.01,0.85,0.77,0.98,0.76,0.69,0.93
0015_285.5,1.0,0.84,1.13,0.97,0.77,1.11,0.87,0.69,1.05
0015_285.8,1.0,0.8,1.07,0.91,0.7,1.0,0.78,0.62,0.95
0015_286.8,1.01,0.84,1.13,0.98,0.77,1.11,0.88,0.69,1.06
0015_288.2,0.91,0.74,0.98,0.83,0.68,0.93,0.75,0.61,0.89
0015_289.8,1.02,0.89,1.03,1.0,0.82,1.0,0.9,0.73,0.95
0015_291.4,0.91,0.77,0.97,0.84,0.71,0.92,0.75,0.63,0.87
0015_292.6,0.9,0.79,0.97,0.83,0.73,0.92,0.75,0.65,0.87
0015_293.0,0.92,0.81,1.0,0.88,0.74,0.97,0.79,0.66,0.92
0015_293.6,0.92,0.81,1.0,0.88,0.74,0.97,0.79,0.66,0.92
0015_295.6,1.09,1.0,1.15,1.07,0.97,1.13,0.97,0.86,1.07
0015_297.9,1.03,0.81,1.05,1.0,0.75,1.03,0.9,0.67,0.98
0015_299.0,0.93,0.82,0.95,0.88,0.76,0.9,0.8,0.68,0.86
0015_300.3,1.02,0.92,1.04,0.99,0.87,1.02,0.89,0.77,0.97
0015_301.7,1.02,0.94,1.05,1.0,0.9,1.03,0.9,0.8,0.98
0015_302.5,1.03,0.95,1.06,1.01,0.9,1.04,0.91,0.8,0.99
0015_303.4,1.0,0.94,1.13,0.97,0.89,1.11,0.87,0.79,1.05
0015_304.7,1.27,1.49,1.55,1.24,1.46,1.52,1.12,1.3,1.45
0015_305.2,1.24,1.1,1.26,1.22,1.08,1.24,1.09,0.96,1.17
0015_305.9,1.2,1.13,1.28,1.18,1.11,1.25,1.06,0.99,1.19
0015_306.3,1.15,1.16,1.28,1.13,1.13,1.26,1.02,1.01,1.19
0015_307.2,1.31,1.3,1.39,1.29,1.27,1.36,1.16,1.14,1.29
0015_307.5,1.41,1.26,1.58,1.38,1.23,1.54,1.25,1.1,1.47
0015_307.6,0.89,0.81,0.91,0.81,0.75,0.84,0.73,0.66,0.8
0015_307.8,0.88,0.81,0.97,0.81,0.75,0.92,0.73,0.66,0.88
0015_308.4,0.97,0.85,1.0,0.92,0.78,0.97,0.83,0.7,0.92
0015_309.3,0.88,0.82,0.97,0.81,0.76,0.92,0.73,0.68,0.88
0015_310.2,0.89,0.82,0.98,0.82,0.75,0.93,0.74,0.67,0.88
0015_311.4,0.93,0.78,0.99,0.82,0.68,0.9,0.71,0.6,0.86
0015_311.8,1.08,0.97,1.22,1.06,0.93,1.2,0.95,0.82,1.14
0015_313.7,0.99,0.89,1.04,0.94,0.82,1.02,0.85,0.73,0.97
0015_315.3,0.99,0.85,1.03,0.96,0.78,1.0,0.86,0.69,0.95
0015_316.9,1.01,0.84,1.05,0.98,0.77,1.03,0.88,0.69,0.98
0015_317.6,0.91,0.69,0.94,0.86,0.63,0.89,0.77,0.56,0.85
0015_318.3,0.98,0.79,1.04,0.96,0.73,1.01,0.86,0.65,0.96
0015_319.5,1.05,0.84,1.08,1.03,0.77,1.06,0.93,0.69,1.01
0015_321.0,1.03,0.75,0.91,0.99,0.69,0.87,0.9,0.62,0.82
0015_322.0,1.02,0.7,0.91,0.99,0.64,0.87,0.89,0.57,0.82
0015_323.8,0.9,0.5,0.62,0.86,0.46,0.57,0.77,0.41,0.54
0015_324.4,1.05,0.8,0.85,1.03,0.74,0.78,0.92,0.66,0.74
0015_325.6,0.96,0.83,0.92,0.91,0.76,0.85,0.82,0.68,0.81
0015_328.7,1.01,0.93,1.1,0.98,0.88,1.07,0.88,0.79,1.02
0015_330.1,0.96,0.89,0.97,0.91,0.82,0.92,0.82,0.73,0.87
0015_331.6,0.97,0.9,0.98,0.92,0.82,0.93,0.83,0.73,0.88
0015_332.9,1.0,0.93,0.92,0.97,0.88,0.87,0.87,0.79,0.83
0015_334.1,0.99,0.93,0.91,0.94,0.88,0.85,0.85,0.79,0.81
0015_335.8,0.98,0.94,0.93,0.95,0.89,0.88,0.86,0.79,0.84
0015_337.0,0.98,0.91,0.92,0.95,0.87,0.88,0.86,0.77,0.83
0015_338.5,0.99,0.85,0.96,0.94,0.78,0.91,0.85,0.7,0.86
0015_339.1,0.99,0.81,0.99,0.94,0.74,0.94,0.85,0.66,0.9
0015_340.3,0.94,0.75,0.98,0.9,0.69,0.93,0.81,0.61,0.88
0015_342.0,1.08,0.87,1.16,1.05,0.8,1.14,0.95,0.72,1.08
0015_343.1,0.84,0.75,1.01,0.78,0.69,0.98,0.7,0.61,0.93
0015_343.9,0.97,0.77,0.96,0.92,0.71,0.91,0.83,0.63,0.86
0015_345.0,0.97,0.77,0.95,0.92,0.71,0.9,0.83,0.63,0.86
0015_346.7,0.9,0.66,0.82,0.79,0.58,0.72,0.68,0.51,0.69
0015_349.4,0.72,0.56,0.79,0.66,0.51,0.73,0.6,0.46,0.69
0015_351.9,0.75,0.58,0.84,0.66,0.51,0.74,0.57,0.45,0.71
0015_357.6,0.67,0.51,0.76,0.59,0.45,0.67,0.5,0.4,0.64
0015_362.0,0.65,0.47,0.76,0.58,0.41,0.66,0.49,0.36,0.63
0015_363.7,0.63,0.44,0.64,0.55,0.39,0.57,0.47,0.34,0.54
0015_365.5,0.58,0.35,0.5,0.51,0.3,0.44,0.38,0.26,0.41
0026_000.0,0.51,0.39,0.77,0.47,0.36,0.71,0.39,0.31,0.66
0026_000.2,0.51,0.4,0.77,0.47,0.36,0.71,0.39,0.31,0.65
0026_000.4,1.05,0.87,0.99,1.03,0.8,0.94,0.85,0.68,0.87
0026_000.7,1.07,0.92,1.15,1.04,0.85,1.13,0.86,0.72,1.04
0026_001.0,1.02,0.86,1.07,1.0,0.79,1.05,0.84,0.68,0.94
0026_001.3,1.04,0.84,1.05,1.02,0.77,1.03,0.85,0.67,0.92
0026_001.8,1.07,0.86,1.09,1.05,0.79,1.07,0.87,0.67,0.99
0026_002.7,1.11,0.92,1.17,1.09,0.85,1.15,0.9,0.72,1.06
0026_003.0,0.28,0.3,0.42,0.26,0.27,0.38,0.21,0.23,0.35
0026_003.2,0.3,0.31,0.48,0.28,0.29,0.44,0.23,0.24,0.41
0026_003.3,0.36,0.34,0.49,0.33,0.31,0.45,0.28,0.26,0.41
0026_003.5,0.35,0.28,0.4,0.32,0.26,0.37,0.27,0.22,0.34
0037_000.0,0.98,0.8,0.99,0.93,0.74,0.96,0.77,0.63,0.88
0037_001.0,0.89,0.74,0.91,0.82,0.68,0.87,0.68,0.59,0.78
0037_001.5,0.85,0.71,0.99,0.78,0.65,0.94,0.65,0.57,0.85
0037_002.0,0.68,0.52,0.99,0.62,0.48,0.96,0.52,0.41,0.86
0037_003.0,0.2,0.16,0.3,0.19,0.15,0.28,0.16,0.13,0.25
0037_003.5,0.22,0.18,0.37,0.19,0.16,0.32,0.16,0.14,0.28
0037_004.1,0.89,0.62,1.22,0.78,0.54,1.16,0.65,0.47,1.01
0037_004.5,0.26,0.24,0.43,0.23,0.21,0.38,0.19,0.19,0.33
0037_005.7,0.21,0.21,0.43,0.18,0.19,0.38,0.15,0.16,0.33
0037_006.2,0.19,0.16,0.32,0.17,0.14,0.29,0.14,0.12,0.25
0037_006.7,0.21,0.17,0.27,0.18,0.15,0.24,0.15,0.13,0.21
0037_007.2,0.14,0.13,0.2,0.12,0.12,0.17,0.1,0.1,0.15
0037_009.0,0.15,0.12,0.17,0.13,0.1,0.15,0.11,0.09,0.13
0037_009.6,0.72,0.61,1.05,0.64,0.53,0.98,0.53,0.46,0.86
0037_010.0,0.35,0.26,0.57,0.31,0.23,0.5,0.26,0.2,0.44
0037_010.5,0.41,0.28,0.62,0.37,0.26,0.57,0.31,0.23,0.51
0037_011.5,0.43,0.31,0.64,0.4,0.28,0.59,0.33,0.25,0.53
0038_000.0,0.12,0.08,0.13,0.11,0.07,0.12,0.09,0.06,0.11
0038_000.5,0.18,0.12,0.16,0.16,0.1,0.14,0.13,0.09,0.13
0038_003.2,0.15,0.1,0.13,0.13,0.08,0.11,0.1,0.07,0.1
0039_000.0,0.86,0.6,0.94,0.75,0.53,0.83,0.64,0.46,0.77
0039_000.5,0.82,0.63,0.86,0.72,0.56,0.76,0.61,0.48,0.7
0039_001.5,0.77,0.55,0.84,0.68,0.49,0.74,0.58,0.42,0.68
0039_002.4,0.88,0.63,0.91,0.78,0.56,0.81,0.65,0.48,0.7
0039_003.5,0.5,0.34,0.56,0.46,0.32,0.52,0.38,0.27,0.46
0039_004.0,0.72,0.6,0.97,0.66,0.55,0.92,0.55,0.48,0.82
0039_004.3,0.8,0.65,1.02,0.73,0.59,0.99,0.61,0.52,0.89
0039_005.1,0.7,0.66,1.02,0.65,0.61,0.99,0.54,0.52,0.91
0039_006.0,0.79,0.68,0.98,0.73,0.63,0.95,0.6,0.54,0.88
0039_006.1,0.79,0.69,1.07,0.73,0.63,1.05,0.6,0.54,0.96
0039_006.2,0.82,0.68,1.17,0.76,0.63,1.15,0.63,0.53,1.06
0039_006.4,0.65,0.56,0.98,0.6,0.52,0.93,0.5,0.45,0.84
0039_007.3,0.53,0.49,0.73,0.49,0.45,0.67,0.4,0.39,0.6
0039_007.7,0.42,0.28,0.51,0.38,0.25,0.47,0.32,0.22,0.43
0039_007.9,0.26,0.15,0.31,0.24,0.14,0.29,0.2,0.12,0.26
0039_008.7,0.42,0.22,0.41,0.38,0.21,0.38,0.32,0.18,0.34
0048_000.0,1.11,0.94,1.19,1.09,0.89,1.17,0.9,0.76,1.07
0048_000.5,1.12,0.81,1.15,1.09,0.74,1.13,0.91,0.65,1.01
0048_001.0,0.97,0.68,1.08,0.92,0.63,1.06,0.77,0.54,0.95
0048_001.5,1.0,0.7,1.17,0.97,0.64,1.15,0.8,0.55,1.06
0048_002.0,0.64,0.48,0.94,0.59,0.44,0.9,0.49,0.38,0.83
0048_002.5,0.56,0.48,0.88,0.51,0.45,0.81,0.42,0.38,0.75
0048_003.3,0.57,0.56,0.84,0.53,0.51,0.77,0.43,0.44,0.71
0048_003.5,1.05,0.98,1.27,1.03,0.94,1.25,0.85,0.8,1.15
0048_003.9,1.04,1.15,1.36,1.02,1.12,1.33,0.85,0.96,1.23
0048_004.1,1.02,1.09,1.34,1.0,1.07,1.32,0.83,0.91,1.21
0051_000.0,0.42,0.37,0.61,0.38,0.34,0.56,0.32,0.29,0.52
0051_000.6,0.55,0.56,0.84,0.51,0.52,0.77,0.42,0.45,0.69
0051_001.0,0.53,0.51,0.81,0.48,0.47,0.75,0.4,0.41,0.67
0051_001.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0051_002.4,0.71,0.62,0.96,0.65,0.57,0.91,0.54,0.5,0.82
0052_000.0,0.38,0.36,0.56,0.35,0.33,0.51,0.29,0.28,0.47
0052_000.5,0.85,0.8,1.01,0.78,0.74,0.98,0.65,0.63,0.9
0052_000.6,0.84,0.79,0.92,0.77,0.73,0.87,0.64,0.62,0.8
0052_001.0,0.83,0.73,0.93,0.76,0.68,0.88,0.63,0.58,0.81
0052_001.5,0.82,0.65,0.91,0.75,0.6,0.86,0.62,0.51,0.79
0052_001.8,0.94,0.75,1.13,0.89,0.69,1.11,0.74,0.59,1.02
0052_002.1,0.91,0.76,1.15,0.83,0.7,1.13,0.69,0.59,1.04
0052_002.6,0.57,0.51,0.9,0.52,0.47,0.85,0.44,0.41,0.77
0052_003.1,1.14,0.9,1.7,1.12,0.85,1.66,0.93,0.73,1.53
0052_003.7,0.82,0.59,1.12,0.75,0.54,1.1,0.62,0.46,1.01
0053_000.1,0.76,0.63,0.9,0.7,0.58,0.83,0.58,0.51,0.74
0053_000.9,0.92,0.81,1.08,0.88,0.75,1.06,0.73,0.64,0.98
0053_001.5,1.27,1.17,1.49,1.24,1.15,1.46,1.03,0.98,1.35
0053_001.7,0.62,0.54,0.79,0.57,0.5,0.73,0.47,0.42,0.67
0053_001.8,0.7,0.57,0.82,0.65,0.53,0.75,0.53,0.45,0.69
0060_000.0,0.71,0.92,1.32,0.65,0.85,1.29,0.54,0.74,1.16
0060_000.8,0.16,0.14,0.39,0.14,0.12,0.34,0.12,0.11,0.3
0060_003.7,0.15,0.12,0.35,0.13,0.1,0.31,0.11,0.09,0.27
0060_004.4,0.25,0.23,0.38,0.22,0.2,0.33,0.18,0.18,0.29
0060_007.4,0.23,0.28,0.53,0.2,0.25,0.47,0.17,0.22,0.41
0065_000.1,0.11,0.09,0.15,0.1,0.08,0.13,0.08,0.07,0.12
0065_002.4,0.14,0.08,0.14,0.12,0.07,0.13,0.08,0.05,0.11
0067_000.0,1.09,0.84,1.15,1.07,0.77,1.12,0.87,0.57,0.97
0067_001.0,1.09,0.84,1.15,1.07,0.77,1.12,0.87,0.57,0.97
0067_004.0,0.41,0.23,0.61,0.38,0.21,0.56,0.32,0.19,0.5
0067_004.1,1.09,0.91,1.14,1.03,0.8,1.09,0.84,0.59,0.94
0067_007.3,1.18,0.89,1.27,1.16,0.82,1.25,0.94,0.6,1.08
0067_010.1,0.89,0.78,1.0,0.82,0.71,0.97,0.66,0.53,0.84
0068_000.0,0.08,0.06,0.14,0.07,0.05,0.13,0.06,0.04,0.11
0068_009.1,0.08,0.06,0.15,0.07,0.05,0.13,0.06,0.05,0.12
0068_012.8,0.08,0.06,0.15,0.07,0.05,0.13,0.06,0.05,0.12
0068_017.2,0.1,0.07,0.19,0.09,0.07,0.16,0.07,0.06,0.14
0068_023.7,0.5,0.33,0.68,0.44,0.29,0.59,0.37,0.25,0.52
0068_024.7,0.9,0.58,0.98,0.8,0.51,0.89,0.66,0.44,0.77
0068_025.0,0.78,0.56,0.79,0.71,0.52,0.72,0.59,0.45,0.65
0068_025.4,1.23,0.91,1.28,1.2,0.87,1.25,1.0,0.75,1.12
0068_026.5,1.4,0.99,1.4,1.37,0.94,1.37,1.14,0.82,1.23
0068_026.9,1.39,0.95,1.45,1.32,0.86,1.38,1.09,0.75,1.2
0068_027.4,0.71,0.52,0.78,0.65,0.47,0.71,0.54,0.41,0.64
0068_028.3,0.73,0.46,0.78,0.67,0.43,0.72,0.56,0.37,0.65
0068_029.3,0.72,0.46,0.72,0.66,0.43,0.66,0.55,0.37,0.6
0068_029.7,0.69,0.47,0.71,0.64,0.43,0.65,0.53,0.38,0.59
0068_030.5,0.99,0.65,1.02,0.94,0.6,1.0,0.78,0.52,0.9
0068_031.0,0.83,0.61,0.87,0.76,0.56,0.8,0.64,0.48,0.72
0068_031.5,0.78,0.55,0.82,0.72,0.51,0.76,0.6,0.44,0.68
0068_031.7,0.71,0.34,0.89,0.65,0.31,0.82,0.54,0.27,0.74
0068_032.2,0.63,0.3,0.81,0.58,0.28,0.75,0.48,0.24,0.67
0068_032.4,0.72,0.36,0.92,0.66,0.33,0.84,0.55,0.28,0.78
0068_032.7,0.79,0.37,1.02,0.73,0.34,0.99,0.6,0.29,0.91
0068_033.3,0.21,0.1,0.29,0.2,0.1,0.27,0.16,0.08,0.25
0068_033.6,0.39,0.2,0.49,0.36,0.19,0.45,0.3,0.16,0.4
0068_034.0,0.17,0.06,0.23,0.16,0.05,0.21,0.13,0.05,0.19
0068_034.5,0.25,0.08,0.3,0.23,0.08,0.27,0.19,0.07,0.25
0068_034.6,0.56,0.17,0.72,0.52,0.16,0.66,0.43,0.14,0.59
0068_036.0,0.68,0.22,0.89,0.6,0.19,0.78,0.49,0.17,0.68
0068_038.1,0.86,0.26,1.07,0.76,0.23,1.01,0.63,0.2,0.89
0068_039.2,0.9,0.24,1.11,0.83,0.22,1.09,0.69,0.19,0.98
0068_039.8,0.96,0.34,1.45,0.85,0.3,1.37,0.7,0.26,1.2
0068_040.1,0.89,0.33,1.19,0.82,0.3,1.16,0.68,0.26,1.04
0068_040.8,0.41,0.26,0.78,0.38,0.24,0.72,0.32,0.21,0.65
0068_041.3,0.43,0.25,0.79,0.39,0.23,0.73,0.33,0.2,0.66
0068_042.3,0.53,0.32,0.79,0.49,0.3,0.73,0.41,0.26,0.65
0068_043.3,0.54,0.31,0.8,0.5,0.28,0.74,0.42,0.25,0.66
0068_043.8,0.75,0.42,1.09,0.69,0.38,1.06,0.58,0.33,0.96
0068_045.1,0.68,0.41,0.91,0.63,0.38,0.87,0.52,0.32,0.8
0068_045.8,0.78,0.49,1.02,0.72,0.45,0.99,0.59,0.38,0.91
0068_046.8,1.0,0.53,1.36,0.95,0.49,1.33,0.78,0.41,1.23
0068_047.2,0.99,0.55,1.4,0.96,0.5,1.37,0.79,0.43,1.27
0068_047.8,0.99,0.54,1.31,0.96,0.5,1.28,0.79,0.43,1.18
0068_048.3,1.09,0.55,1.37,1.07,0.51,1.34,0.88,0.43,1.24
0068_049.3,0.96,0.55,1.2,0.91,0.51,1.18,0.75,0.43,1.08
0068_050.3,1.47,0.88,1.75,1.44,0.81,1.71,1.19,0.69,1.58
0068_050.7,1.43,1.07,1.79,1.4,1.05,1.76,1.16,0.9,1.62
0068_051.3,1.07,0.59,1.22,1.05,0.54,1.19,0.87,0.46,1.1
0068_052.1,1.08,0.57,1.26,1.05,0.52,1.23,0.87,0.45,1.13
0068_052.3,1.03,0.61,1.28,1.01,0.57,1.25,0.83,0.48,1.15
0068_053.1,1.06,0.81,1.47,1.04,0.75,1.44,0.86,0.64,1.33
0068_053.3,0.92,0.49,1.14,0.85,0.46,1.12,0.7,0.39,1.03
0068_054.3,0.61,0.4,1.02,0.56,0.37,1.0,0.46,0.31,0.92
0068_054.8,0.61,0.4,0.99,0.56,0.37,0.94,0.47,0.32,0.87
0068_055.7,0.63,0.46,0.92,0.58,0.42,0.85,0.48,0.36,0.78
0068_056.2,0.86,0.49,1.19,0.79,0.45,1.17,0.65,0.38,1.08
0068_056.3,0.82,0.5,1.29,0.75,0.46,1.26,0.62,0.39,1.16
0068_056.8,0.61,0.51,1.09,0.56,0.47,1.07,0.47,0.4,0.98
0068_057.3,0.55,0.49,1.15,0.51,0.45,1.12,0.42,0.38,1.04
0068_058.1,0.5,0.48,1.3,0.46,0.44,1.28,0.38,0.38,1.15
0068_058.7,0.88,0.61,1.23,0.81,0.56,1.2,0.67,0.48,1.11
0068_059.1,0.82,0.67,0.98,0.75,0.61,0.93,0.62,0.52,0.86
0068_059.5,1.02,0.56,1.32,0.99,0.51,1.29,0.82,0.44,1.19
0068_060.4,0.9,0.36,0.98,0.83,0.33,0.95,0.69,0.29,0.86
0068_060.8,1.06,0.43,1.26,1.04,0.39,1.23,0.87,0.34,1.11
0068_061.8,1.11,0.38,1.25,1.09,0.35,1.23,0.91,0.3,1.1
0068_062.6,0.58,0.24,0.65,0.53,0.22,0.6,0.44,0.19,0.54
0068_063.8,0.68,0.29,0.7,0.63,0.27,0.65,0.52,0.23,0.58
0068_064.4,0.55,0.26,0.62,0.5,0.24,0.57,0.42,0.21,0.51
0068_065.7,1.2,0.59,1.35,1.18,0.54,1.32,0.98,0.47,1.19
0068_066.6,0.95,0.59,1.07,0.91,0.55,1.05,0.76,0.47,0.94
0068_067.3,0.5,0.24,0.64,0.46,0.22,0.59,0.38,0.19,0.53
0068_068.2,0.56,0.32,0.7,0.51,0.29,0.64,0.43,0.25,0.58
0068_068.7,0.64,0.45,0.94,0.59,0.41,0.89,0.49,0.35,0.82
0068_068.9,0.62,0.51,0.8,0.57,0.47,0.74,0.47,0.4,0.68
0068_069.0,0.7,0.82,0.7,0.65,0.76,0.65,0.53,0.65,0.59
0068_069.2,0.64,0.73,0.73,0.59,0.68,0.67,0.49,0.58,0.62
0068_069.6,1.09,0.7,1.31,1.07,0.65,1.28,0.89,0.55,1.18
0068_070.0,1.13,0.69,1.31,1.1,0.64,1.29,0.91,0.54,1.19
0068_070.2,1.13,0.69,1.24,1.11,0.63,1.21,0.92,0.54,1.12
0068_070.5,0.85,0.38,0.9,0.78,0.35,0.83,0.65,0.3,0.77
0071_000.0,0.92,0.7,1.1,0.85,0.64,1.08,0.71,0.56,0.97
0071_000.4,0.8,0.63,1.0,0.73,0.58,0.95,0.61,0.5,0.85
0071_001.4,0.98,0.73,1.19,0.93,0.67,1.17,0.78,0.58,1.05
0071_002.4,0.65,0.43,0.99,0.6,0.4,0.96,0.5,0.34,0.86
0071_002.9,0.72,0.42,1.06,0.66,0.39,1.04,0.55,0.34,0.94
0071_004.1,0.76,0.55,1.08,0.7,0.51,1.06,0.58,0.43,0.98
0071_004.7,0.57,0.56,0.94,0.53,0.52,0.89,0.43,0.44,0.82
0071_005.0,0.66,0.61,0.91,0.61,0.56,0.84,0.5,0.48,0.77
0071_005.1,0.82,0.84,1.03,0.75,0.77,1.01,0.62,0.66,0.93
0071_005.5,0.98,0.9,1.12,0.93,0.83,1.09,0.77,0.7,1.01
