STATIONGROUP,FACTOR,DOWGROUP
CO0,0.704786027970164,D1-Monday
CO1,0.7870386965648666,D1-Monday
CO2,0.721934063100403,D1-Monday
CO3,0.8178061145637082,D1-Monday
CO4,0.8340179403904823,D1-Monday
CO5,0.9195213880549208,D1-Monday
CO6,1.017864077817633,D1-Monday
CO7,0.8691929224083703,D1-Monday
CO8,1.080990841952511,D1-Monday
CO9,0.9090156265535382,D1-Monday
COA,0.8232024638278378,D1-Monday
COB,1.0094878143966135,D1-Monday
COC,1.0572076456265325,D1-Monday
COD,0.957153847662803,D1-Monday
COE,0.8875522279229453,D1-Monday
COF,1.1729572409240463,D1-Monday
COG,1.0673711661848424,D1-Monday
COH,0.9738465119096852,D1-Monday
COI,0.7705520473543357,D1-Monday
COJ,0.8912436110366966,D1-Monday
COK,1.000242738107426,D1-Monday
COL,0.910829433471242,D1-Monday
COM,0.6530651039270341,D1-Monday
CON,0.917490104220112,D1-Monday
COO,0.939143812653744,D1-Monday
COP,0.9505513985422844,D1-Monday
COQ,0.9151166948417452,D1-Monday
COR,0.9691627027014098,D1-Monday
COS,1.0517231791968942,D1-Monday
COT,1.0505824409707358,D1-Monday
COU,1.0545071946731264,D1-Monday
COV,1.0519404285050684,D1-Monday
COW,1.037559407960683,D1-Monday
COX,1.0445090626436695,D1-Monday
COY,0.8869276316612359,D1-Monday
COZ,0.9509964297924024,D1-Monday
XX3,1.1071038047963595,D1-Monday
CO0,0.6745280955353647,D2-Tuesday
CO1,0.769153482707906,D2-Tuesday
CO2,0.7434858842815091,D2-Tuesday
CO3,0.809171783949583,D2-Tuesday
CO4,0.8108144099547652,D2-Tuesday
CO5,0.921979334625435,D2-Tuesday
CO6,1.0481760143618557,D2-Tuesday
CO7,0.8545210001084321,D2-Tuesday
CO8,1.1223125649453238,D2-Tuesday
CO9,0.926450413997079,D2-Tuesday
COA,0.8323337761446146,D2-Tuesday
COB,1.0340514775822045,D2-Tuesday
COC,1.0905633940896349,D2-Tuesday
COD,0.9885923715002712,D2-Tuesday
COE,0.903059154544916,D2-Tuesday
COF,1.218505315542027,D2-Tuesday
COG,1.0986477512404738,D2-Tuesday
COH,1.0037924686280433,D2-Tuesday
COI,0.7956823900394515,D2-Tuesday
COJ,0.8807437867785437,D2-Tuesday
COK,1.0328911383746464,D2-Tuesday
COL,0.9261667139757832,D2-Tuesday
COM,0.6423430091100091,D2-Tuesday
CON,0.906498310114142,D2-Tuesday
COO,0.9490129418583982,D2-Tuesday
COP,0.9628362519806064,D2-Tuesday
COQ,0.9236075788429834,D2-Tuesday
