STATIONGROUP,FACTOR,DOWGROUP
COR,0.988413640709218,D2-Tuesday
COS,1.0743601605508002,D2-Tuesday
COT,1.0812824163240309,D2-Tuesday
COU,1.085062023746547,D2-Tuesday
COV,1.071038795185127,D2-Tuesday
COW,1.0476232417898954,D2-Tuesday
COX,1.0707484605988713,D2-Tuesday
COY,0.9118909839328754,D2-Tuesday
COZ,0.9737817187502962,D2-Tuesday
XX3,1.1464861263113784,D2-Tuesday
CO0,0.729429643123707,D3-Wednesday
CO1,0.7945782090476463,D3-Wednesday
CO2,0.8268175395832139,D3-Wednesday
CO3,0.8373659520273493,D3-Wednesday
CO4,0.8850486096592385,D3-Wednesday
CO5,0.959512525782434,D3-Wednesday
CO6,1.0601107394942064,D3-Wednesday
CO7,0.8891005457705142,D3-Wednesday
CO8,1.1352586811058056,D3-Wednesday
CO9,0.9741210359546808,D3-Wednesday
COA,0.8738036933911105,D3-Wednesday
COB,1.0548869223005564,D3-Wednesday
COC,1.1107086039517684,D3-Wednesday
COD,1.0228142766076966,D3-Wednesday
COE,0.9552751715327148,D3-Wednesday
COF,1.2270193856797051,D3-Wednesday
COG,1.1139475286135496,D3-Wednesday
COH,1.014159676437753,D3-Wednesday
COI,0.8290334040042372,D3-Wednesday
COJ,0.919885802481043,D3-Wednesday
COK,1.0555461485372306,D3-Wednesday
COL,0.9554111162188216,D3-Wednesday
COM,0.6841430102013774,D3-Wednesday
CON,0.9604176041971024,D3-Wednesday
COO,0.989053667036885,D3-Wednesday
COP,0.9772681693140182,D3-Wednesday
COQ,0.9528758421727468,D3-Wednesday
COR,1.0049255682088407,D3-Wednesday
COS,1.0877839030290757,D3-Wednesday
COT,1.088654752698495,D3-Wednesday
COU,1.0925155872836307,D3-Wednesday
COV,1.0626768192395697,D3-Wednesday
COW,1.0695308829011292,D3-Wednesday
COX,1.0933536906676335,D3-Wednesday
COY,0.9754215236669924,D3-Wednesday
COZ,1.001962439279802,D3-Wednesday
XX3,1.1587395168146173,D3-Wednesday
CO0,0.7417879583384472,D4-Thursday
CO1,0.9083970320676362,D4-Thursday
CO2,0.8019453482971677,D4-Thursday
CO3,0.9138950064100204,D4-Thursday
CO4,1.019046330477413,D4-Thursday
CO5,1.0289411521164742,D4-Thursday
CO6,1.0877827240326576,D4-Thursday
CO7,0.974000774290246,D4-Thursday
CO8,1.1470469553106826,D4-Thursday
CO9,1.0383138257358802,D4-Thursday
COA,0.9380989909711682,D4-Thursday
COB,1.0766987083619148,D4-Thursday
COC,1.1307527658118317,D4-Thursday
COD,1.055055018268641,D4-Thursday
COE,1.0111159248596002,D4-Thursday
COF,1.230385485850255,D4-Thursday
COG,1.1177351472531278,D4-Thursday
COH,1.0546479970789795,D4-Thursday
COI,0.8642684478569291,D4-Thursday
COJ,0.9721251615053416,D4-Thursday
COK,1.0705986918767074,D4-Thursday
COL,0.9849970860933812,D4-Thursday
COM,0.8217448840058711,D4-Thursday
CON,1.005358595975648,D4-Thursday
COO,1.0280656747701302,D4-Thursday
COP,1.0119800960709848,D4-Thursday
COQ,1.0013025679320815,D4-Thursday
COR,1.0427347917552252,D4-Thursday
COS,1.1132450873183186,D4-Thursday
COT,1.1071489124842309,D4-Thursday
COU,1.1063420277192069,D4-Thursday
COV,1.079760173628249,D4-Thursday
COW,1.0858760050891985,D4-Thursday
COX,1.0996382527676858,D4-Thursday
COY,1.014421777439525,D4-Thursday
COZ,1.0437517872397224,D4-Thursday
XX3,1.165054061913939,D4-Thursday
CO0,1.0010664825562483,D5-Friday
CO1,1.2329864988181414,D5-Friday
CO2,1.0138763799103645,D5-Friday
CO3,1.1948829667782124,D5-Friday
CO4,1.2285515537234462,D5-Friday
CO5,1.1792921078282086,D5-Friday
CO6,1.143646063524841,D5-Friday
CO7,1.2340018762598424,D5-Friday
CO8,1.1521043062211545,D5-Friday
CO9,1.0997618699771428,D5-Friday
COA,1.121896185821532,D5-Friday
COB,1.144095891248578,D5-Friday
COC,1.1342890585224783,D5-Friday
COD,1.1363233718328902,D5-Friday
COE,1.155350735007553,D5-Friday
COF,1.1802746464791734,D5-Friday
COG,1.1486534005301068,D5-Friday
COH,1.1681738032733078,D5-Friday
COI,1.0372291480065732,D5-Friday
COJ,1.1153347373802696,D5-Friday
COK,1.123787396231475,D5-Friday
COL,1.091320598389146,D5-Friday
COM,1.268187670185232,D5-Friday
CON,1.1349974589801497,D5-Friday
COO,1.1062686770197412,D5-Friday
COP,1.1504889294427074,D5-Friday
COQ,1.178218048418184,D5-Friday
COR,1.174994794170062,D5-Friday
COS,1.1558305841333394,D5-Friday
COT,1.141810622150401,D5-Friday
COU,1.144961159267729,D5-Friday
COV,1.1549315642989324,D5-Friday
COW,1.153679660892354,D5-Friday
COX,1.125734693917569,D5-Friday
COY,1.1263375640091615,D5-Friday
COZ,1.1464176786278986,D5-Friday
XX3,1.160343293762326,D5-Friday
CO0,1.6199936739241174,D6-Saturday
CO1,1.476477575976541,D6-Saturday
CO2,1.462379942352107,D6-Saturday
CO3,1.3215554918671828,D6-Saturday
CO4,1.013477932243044,D6-Saturday
CO5,1.0531499514408829,D6-Saturday
CO6,0.9653033901469468,D6-Saturday
CO7,1.1097087712280234,D6-Saturday
CO8,0.7860020207303481,D6-Saturday
CO9,1.0466493718763603,D6-Saturday
COA,1.2339030755257454,D6-Saturday
COB,0.9631840291247816,D6-Saturday
COC,0.8309228702627643,D6-Saturday
COD,1.011837600437542,D6-Saturday
COE,1.0336176263404653,D6-Saturday
COF,0.5624981545831619,D6-Saturday
COG,0.8509452957925829,D6-Saturday
COH,1.0186908092614415,D6-Saturday
COI,1.3792115186686804,D6-Saturday
COJ,1.136523561341364,D6-Saturday
COK,0.9464324236867242,D6-Saturday
COL,1.1356625537042204,D6-Saturday
COM,1.4991326238891676,D6-Saturday
CON,1.064473148113044,D6-Saturday
COO,1.0187271221875878,D6-Saturday
COP,1.0649410526144274,D6-Saturday
COQ,1.1070571720782514,D6-Saturday
COR,1.1048243107361595,D6-Saturday
COS,0.8741788187907082,D6-Saturday
COT,0.9244627585519316,D6-Saturday
COU,0.8873023346148212,D6-Saturday
COV,1.0111856671891075,D6-Saturday
COW,0.96416647550556,D6-Saturday
COX,0.8487299517313828,D6-Saturday
COY,1.079128557026349,D6-Saturday
COZ,1.0712771454078671,D6-Saturday
XX3,0.7331537757217338,D6-Saturday
CO0,1.528408118551952,D7-Sunday
CO1,1.0313685048172614,D7-Sunday
CO2,1.429560842475235,D7-Sunday
CO3,1.1053226844039432,D7-Sunday
CO4,1.209043223551615,D7-Sunday
CO5,0.9376035401516436,D7-Sunday
CO6,0.6771169906218597,D7-Sunday
CO7,1.0694741099345686,D7-Sunday
CO8,0.576284629734163,D7-Sunday
CO9,1.005687855905319,D7-Sunday
COA,1.1767618143179934,D7-Sunday
COB,0.7175951569853477,D7-Sunday
COC,0.6455556617349884,D7-Sunday
COD,0.8282235136901551,D7-Sunday
COE,1.0540291597918068,D7-Sunday
COF,0.4083597709416303,D7-Sunday
COG,0.6026997103853158,D7-Sunday
COH,0.7666887334107909,D7-Sunday
COI,1.3240230440697904,D7-Sunday
COJ,1.0841433394767417,D7-Sunday
COK,0.7705014631857953,D7-Sunday
COL,0.9956124981474092,D7-Sunday
COM,1.4313836986813049,D7-Sunday
CON,1.0107647783998006,D7-Sunday
COO,0.9697281044735182,D7-Sunday
COP,0.8819341020349726,D7-Sunday
COQ,0.921822095714005,D7-Sunday
COR,0.7149441917190826,D7-Sunday
COS,0.6428782669808594,D7-Sunday
COT,0.6060580968201829,D7-Sunday
COU,0.6293096726949293,D7-Sunday
COV,0.5684665519539454,D7-Sunday
COW,0.6415643258611764,D7-Sunday
COX,0.7172858876731857,D7-Sunday
COY,1.0058719622638612,D7-Sunday
COZ,0.8118128009020145,D7-Sunday
XX3,0.529119420679641,D7-Sunday
CO0,0.7152485656658395,1-Weekday (Tu-Th)
CO1,0.8240429079410628,1-Weekday (Tu-Th)
CO2,0.7907495907206302,1-Weekday (Tu-Th)
CO3,0.8534775807956506,1-Weekday (Tu-Th)
CO4,0.9049697833638056,1-Weekday (Tu-Th)
CO5,0.9701443375081144,1-Weekday (Tu-Th)
CO6,1.0653564926295738,1-Weekday (Tu-Th)
CO7,0.905874106723064,1-Weekday (Tu-Th)
CO8,1.1348727337872708,1-Weekday (Tu-Th)
CO9,0.9796284252292132,1-Weekday (Tu-Th)
COA,0.8814121535022974,1-Weekday (Tu-Th)
COB,1.0552123694148918,1-Weekday (Tu-Th)
COC,1.1106749212844116,1-Weekday (Tu-Th)
COD,1.0221538887922028,1-Weekday (Tu-Th)
COE,0.9564834169790768,1-Weekday (Tu-Th)
COF,1.2253033956906625,1-Weekday (Tu-Th)
COG,1.1101101423690505,1-Weekday (Tu-Th)
COH,1.024200047381592,1-Weekday (Tu-Th)
COI,0.8296614139668727,1-Weekday (Tu-Th)
COJ,0.9242515835883096,1-Weekday (Tu-Th)
COK,1.0530119929295276,1-Weekday (Tu-Th)
COL,0.9555249720959952,1-Weekday (Tu-Th)
COM,0.7160769677724191,1-Weekday (Tu-Th)
CON,0.9574248367622974,1-Weekday (Tu-Th)
COO,0.9887107612218042,1-Weekday (Tu-Th)
COP,0.9840281724552028,1-Weekday (Tu-Th)
COQ,0.9592619963159372,1-Weekday (Tu-Th)
COR,1.012024666891095,1-Weekday (Tu-Th)
COS,1.0917963836327311,1-Weekday (Tu-Th)
COT,1.0923620271689187,1-Weekday (Tu-Th)
COU,1.0946398795831278,1-Weekday (Tu-Th)
COV,1.0711585960176482,1-Weekday (Tu-Th)
COW,1.067676709926741,1-Weekday (Tu-Th)
COX,1.0879134680113975,1-Weekday (Tu-Th)
COY,0.967244761679798,1-Weekday (Tu-Th)
COZ,1.0064986484232732,1-Weekday (Tu-Th)
XX3,1.1567599016799783,1-Weekday (Tu-Th)
CO0,1.5742008962380347,2-Weekend (Sa-Su)
CO1,1.2539230403969015,2-Weekend (Sa-Su)
CO2,1.445970392413671,2-Weekend (Sa-Su)
CO3,1.2134390881355632,2-Weekend (Sa-Su)
CO4,1.11126057789733,2-Weekend (Sa-Su)
CO5,0.9953767457962636,2-Weekend (Sa-Su)
CO6,0.8212101903844026,2-Weekend (Sa-Su)
CO7,1.089591440581296,2-Weekend (Sa-Su)
CO8,0.6811433252322558,2-Weekend (Sa-Su)
CO9,1.0261686138908392,2-Weekend (Sa-Su)
COA,1.2053324449218692,2-Weekend (Sa-Su)
COB,0.8403895930550647,2-Weekend (Sa-Su)
COC,0.7382392659988763,2-Weekend (Sa-Su)
COD,0.9200305570638484,2-Weekend (Sa-Su)
COE,1.0438233930661365,2-Weekend (Sa-Su)
COF,0.4854289627623963,2-Weekend (Sa-Su)
COG,0.7268225030889494,2-Weekend (Sa-Su)
COH,0.8926897713361164,2-Weekend (Sa-Su)
COI,1.3516172813692355,2-Weekend (Sa-Su)
COJ,1.1103334504090527,2-Weekend (Sa-Su)
COK,0.8584669434362601,2-Weekend (Sa-Su)
COL,1.0656375259258148,2-Weekend (Sa-Su)
COM,1.4652581612852362,2-Weekend (Sa-Su)
CON,1.037618963256422,2-Weekend (Sa-Su)
COO,0.9942276133305534,2-Weekend (Sa-Su)
COP,0.9734375773246998,2-Weekend (Sa-Su)
COQ,1.0144396338961297,2-Weekend (Sa-Su)
COR,0.909884251227621,2-Weekend (Sa-Su)
COS,0.7585285428857836,2-Weekend (Sa-Su)
COT,0.7652604276860578,2-Weekend (Sa-Su)
COU,0.7583060036548741,2-Weekend (Sa-Su)
COV,0.7898261095715267,2-Weekend (Sa-Su)
COW,0.8028654006833681,2-Weekend (Sa-Su)
COX,0.783007919702284,2-Weekend (Sa-Su)
COY,1.0425002596451052,2-Weekend (Sa-Su)
COZ,0.9415449731549408,2-Weekend (Sa-Su)
XX3,0.6311365982006876,2-Weekend (Sa-Su)
