SiteGroupSeason,SeasonGroup,DOWGroup,Period,HourPercentOf,VolMaxHourPercent
SN0,M01-Jan,1-Monday,AM,Period,0.552833078101072
SN0,M01-Jan,1-Monday,EV,Period,0.29262295081967216
SN0,M01-Jan,1-Monday,MD,Period,0.2534118276692534
SN0,M01-Jan,1-Monday,PM,Period,0.41794871794871796
SN0,M01-Jan,2-Tuesday,AM,Period,0.49377593360995853
SN0,M01-Jan,2-Tuesday,EV,Period,0.29966965549787633
SN0,M01-Jan,2-Tuesday,MD,Period,0.2527881040892193
SN0,M01-Jan,2-Tuesday,PM,Period,0.408686365254539
SN0,M01-Jan,3-Wednesday,AM,Period,0.516728624535316
SN0,M01-Jan,3-Wednesday,EV,Period,0.282792352156514
SN0,M01-Jan,3-Wednesday,MD,Period,0.2519550342130987
SN0,M01-Jan,3-Wednesday,PM,Period,0.4020766201217329
SN0,M01-Jan,4-Thursday,AM,Period,0.517948717948718
SN0,M01-Jan,4-Thursday,EV,Period,0.2809152872444012
SN0,M01-Jan,4-Thursday,MD,Period,0.249008373732922
SN0,M01-Jan,4-Thursday,PM,Period,0.42168674698795183
SN0,M01-Jan,5-Friday,AM,Period,0.5403930131004366
SN0,M01-Jan,5-Friday,EV,Period,0.26643339165208696
SN0,M01-Jan,5-Friday,MD,Period,0.2531687242798354
SN0,M01-Jan,5-Friday,PM,Period,0.4378127233738385
SN0,M01-Jan,6-Saturday,AM,Period,0.5463639861485187
SN0,M01-Jan,6-Saturday,EV,Period,0.23055198973042362
SN0,M01-Jan,6-Saturday,MD,Period,0.23339962435090045
SN0,M01-Jan,6-Saturday,PM,Period,0.4181532592841916
SN0,M01-Jan,7-Sunday,AM,Period,0.588597842835131
SN0,M01-Jan,7-Sunday,EV,Period,0.2968359700249792
SN0,M01-Jan,7-Sunday,MD,Period,0.28444301490296986
SN0,M01-Jan,7-Sunday,PM,Period,0.41410723581467984
SN0,M01-Jan,W1-Weekday,AM,Period,0.5194060074249072
SN0,M01-Jan,W1-Weekday,EV,Period,0.28853703219052607
SN0,M01-Jan,W1-Weekday,MD,Period,0.25167662480185343
SN0,M01-Jan,W1-Weekday,PM,Period,0.41246427583663686
SN0,M01-Jan,W2-Weekend,AM,Period,0.5516330451488953
SN0,M01-Jan,W2-Weekend,EV,Period,0.2599533890075743
SN0,M01-Jan,W2-Weekend,MD,Period,0.2511938872970392
