FACGEO,AREATYPE,VOLUMEFROM,VOLUMETO,FUNCGROUP,STATIONGROUP
I80NevSR36,1,0,1000000,Arterial,COQ
I80NevSR36,2,0,1000000,Arterial,COS
I80NevSR36,3,0,1000000,Arterial,COT
I80NevSR36,4,0,1000000,Arterial,COU
I80NevSR36,5,0,1000000,Arterial,COU
I80SR36SR154,1,0,1000000,Arterial,COQ
I80SR36SR154,2,0,1000000,Arterial,COS
I80SR36SR154,3,0,1000000,Arterial,COT
I80SR36SR154,4,0,1000000,Arterial,COU
I80SR36SR154,5,0,1000000,Arterial,COU
I80SR154SR186,1,0,1000000,Arterial,COQ
I80SR154SR186,2,0,1000000,Arterial,COS
I80SR154SR186,3,0,1000000,Arterial,COT
I80SR154SR186,4,0,1000000,Arterial,COU
I80SR154SR186,5,0,1000000,Arterial,COU
I80SR186US40,1,0,1000000,Arterial,COQ
I80SR186US40,2,0,1000000,Arterial,COS
I80SR186US40,3,0,1000000,Arterial,COT
I80SR186US40,4,0,1000000,Arterial,COU
I80SR186US40,5,0,1000000,Arterial,COU
I80US40Wyo,1,0,1000000,Arterial,COQ
I80US40Wyo,2,0,1000000,Arterial,COS
I80US40Wyo,3,0,1000000,Arterial,COT
I80US40Wyo,4,0,1000000,Arterial,COU
I80US40Wyo,5,0,1000000,Arterial,COU
I84West,1,0,1000000,Arterial,COQ
I84West,2,0,1000000,Arterial,COS
I84West,3,0,1000000,Arterial,COT
I84West,4,0,1000000,Arterial,COU
I84West,5,0,1000000,Arterial,COU
I84East,1,0,1000000,Arterial,COQ
I84East,2,0,1000000,Arterial,COS
I84East,3,0,1000000,Arterial,COT
I84East,4,0,1000000,Arterial,COU
I84East,5,0,1000000,Arterial,COU
Legacy,1,0,1000000,Arterial,COQ
Legacy,2,0,1000000,Arterial,COS
Legacy,3,0,1000000,Arterial,COT
Legacy,4,0,1000000,Arterial,COU
Legacy,5,0,1000000,Arterial,COU
SR201,1,0,1000000,Arterial,COQ
SR201,2,0,1000000,Arterial,COS
SR201,3,0,1000000,Arterial,COT
SR201,4,0,1000000,Arterial,COU
SR201,5,0,1000000,Arterial,COU
US40,1,0,1000000,Arterial,COQ
US40,2,0,1000000,Arterial,COS
